@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5-9,12,16,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,5951,A61,A73,2,A92,A121,1,1,2
A11,2647,A63,A73,2,A93,A121,1,2,1
A11,1164,A61,A75,3,A93,A124,2,2,1
A11,1977,A65,A75,4,A93,A124,1,1,2
A11,3965,A61,A72,4,A93,A123,1,1,2
A14,9436,A65,A73,2,A93,A122,1,2,1
A12,15945,A61,A72,3,A93,A124,1,1,2
A12,1919,A61,A74,4,A93,A123,1,1,1
A12,6078,A61,A74,2,A93,A123,1,1,1
A12,6260,A61,A74,3,A93,A121,1,1,1
A11,2132,A65,A72,2,A92,A121,2,1,1
A12,1924,A65,A72,4,A92,A121,1,1,2
A11,701,A61,A73,4,A94,A121,1,1,1
A13,1881,A61,A73,2,A92,A123,1,1,1
A14,1582,A64,A75,4,A93,A123,2,1,1
A11,1288,A62,A75,3,A93,A121,2,2,1
A11,950,A61,A75,4,A93,A123,2,2,2
A14,7485,A65,A71,4,A92,A121,1,1,2
A14,1935,A61,A75,4,A93,A121,3,1,1
A14,1544,A61,A74,2,A93,A121,3,2,1
A12,2767,A62,A75,4,A91,A123,2,1,2
A14,1595,A61,A74,3,A93,A122,1,2,1
A11,666,A64,A74,3,A92,A121,2,1,1
A11,1657,A61,A73,2,A93,A121,1,1,1
A11,1603,A61,A75,4,A92,A123,1,1,1
A14,4611,A61,A72,1,A92,A122,1,1,2
A12,1092,A61,A73,4,A92,A121,2,1,1
A11,1024,A61,A72,4,A94,A121,1,1,2
A12,9960,A61,A72,1,A92,A123,1,1,2
A12,3804,A61,A73,4,A92,A123,1,1,2
A11,1038,A61,A74,4,A93,A122,2,1,1
A14,4811,A65,A74,2,A92,A122,1,1,1
A12,2101,A61,A72,2,A92,A122,1,1,1
A12,1521,A61,A73,4,A91,A123,1,1,1
A14,3229,A65,A71,2,A93,A124,1,1,1
A14,727,A63,A75,4,A93,A124,1,1,1
A11,3446,A61,A75,4,A93,A123,1,2,2
A14,846,A65,A75,3,A93,A124,1,1,1
A14,1283,A65,A74,4,A92,A122,1,1,1
A11,3249,A61,A74,2,A93,A124,1,2,1
A12,2039,A61,A72,1,A94,A122,1,1,2
A14,1149,A64,A73,4,A93,A121,2,1,1
A14,1287,A64,A75,4,A92,A121,2,1,1
A11,1620,A61,A73,2,A92,A122,1,1,1
A12,2576,A61,A73,2,A93,A121,1,1,1
A14,2679,A61,A72,4,A92,A124,1,1,1
A11,1478,A61,A75,4,A93,A123,2,2,1
A14,1934,A61,A75,2,A93,A124,2,1,1
A13,2360,A63,A73,2,A93,A123,1,1,1
A12,6850,A62,A71,1,A93,A122,1,2,2
A14,8588,A62,A75,4,A93,A123,1,1,1
A11,759,A61,A74,4,A93,A121,1,1,2
A13,2687,A61,A74,2,A93,A122,1,1,1
A12,918,A61,A73,4,A92,A122,1,1,2
A14,1808,A61,A74,4,A92,A121,1,1,2
A14,640,A61,A73,4,A91,A121,1,1,1
A13,2116,A61,A73,2,A93,A121,1,1,1
A11,1553,A61,A73,4,A93,A123,1,1,2
A14,1376,A63,A74,4,A92,A123,1,1,1
A11,4583,A61,A73,2,A91,A121,2,1,1
A12,4221,A61,A73,2,A92,A123,2,1,1
A11,900,A65,A73,4,A94,A123,1,1,2
A14,4530,A61,A74,4,A92,A123,1,1,1
A11,2384,A61,A75,4,A93,A121,1,1,1
A14,2753,A62,A75,3,A93,A123,1,1,1
A14,926,A61,A71,1,A92,A122,1,1,1
A14,1123,A63,A73,4,A92,A123,1,1,2
A14,5324,A63,A75,1,A92,A124,1,1,1
A12,1206,A61,A75,4,A92,A121,1,1,1
A12,2118,A61,A73,2,A93,A121,1,2,1
A11,1987,A61,A73,2,A93,A121,1,2,2
A12,4280,A62,A73,4,A92,A123,2,1,2
A11,2483,A63,A73,4,A93,A121,1,1,1
A11,976,A61,A72,1,A92,A123,1,1,2
A14,1940,A64,A75,4,A93,A121,1,1,1
A12,6224,A61,A75,4,A93,A124,1,1,2
A13,3016,A61,A73,3,A94,A123,1,1,1
A14,4165,A61,A73,2,A93,A123,2,2,2
A11,2957,A61,A75,4,A93,A122,2,1,1
A14,1471,A61,A73,4,A93,A124,2,1,1
A14,3577,A62,A73,1,A93,A121,1,2,1
A14,2169,A61,A73,4,A94,A123,1,1,2
A14,1829,A61,A75,4,A93,A123,2,1,1
A14,1592,A64,A74,3,A92,A122,1,1,1
A11,2625,A61,A75,2,A93,A122,1,1,2
A14,1817,A61,A73,4,A92,A124,2,1,1
A11,1366,A61,A72,3,A92,A122,1,1,2
A12,2002,A61,A74,3,A93,A122,1,2,1
A11,1344,A61,A73,4,A93,A121,2,2,1
A11,1498,A61,A73,4,A92,A123,1,1,1
A14,929,A65,A74,4,A93,A123,1,1,1
A11,1845,A61,A72,4,A92,A122,1,1,1
A14,10974,A61,A71,4,A92,A123,2,1,2
A11,1893,A61,A73,4,A92,A122,1,1,1
A14,1740,A61,A75,2,A94,A121,2,1,1
A14,7393,A61,A73,1,A93,A122,1,2,1
A12,753,A61,A73,2,A92,A121,1,1,1
A11,6579,A61,A71,4,A93,A124,1,1,1
A14,2390,A65,A75,4,A93,A123,1,1,1
A14,804,A61,A75,4,A93,A123,1,1,1
