@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,9,19-21'

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A34,2096,A61,A93,A191,A201,1
A32,7882,A61,A93,A191,A201,1
A34,2424,A65,A93,A191,A201,1
A34,2134,A61,A93,A192,A201,1
A32,1913,A64,A94,A192,A201,1
A32,1158,A63,A91,A192,A201,1
A33,6204,A61,A93,A192,A201,1
A34,1393,A61,A92,A191,A201,1
A32,1352,A63,A92,A192,A201,1
A34,7228,A61,A93,A191,A201,1
A32,3378,A65,A93,A192,A201,1
A33,2225,A61,A93,A192,A201,2
A34,6229,A61,A92,A192,A201,2
A32,2315,A61,A93,A191,A201,1
A32,2323,A61,A93,A191,A201,1
A32,1410,A63,A94,A192,A201,1
A33,1449,A62,A91,A191,A201,1
A34,3578,A65,A93,A192,A201,1
A34,2366,A63,A91,A192,A201,1
A34,3868,A61,A92,A192,A201,1
A32,1768,A61,A93,A191,A201,1
A34,781,A61,A93,A192,A201,1
A34,1860,A61,A93,A192,A201,1
A34,3499,A61,A92,A191,A201,2
A32,1984,A61,A93,A191,A201,1
A34,7758,A64,A92,A191,A201,1
A32,1282,A61,A92,A191,A201,2
A34,1055,A61,A92,A191,A201,1
A32,763,A61,A92,A192,A201,1
A33,4297,A61,A91,A192,A201,2
A33,5117,A61,A93,A191,A201,1
A33,2978,A65,A93,A192,A201,1
A32,2141,A62,A93,A191,A201,1
A32,1823,A61,A93,A191,A201,2
A32,433,A61,A92,A191,A201,2
A32,2662,A65,A93,A191,A202,1
A32,4788,A61,A93,A191,A201,1
A32,2515,A61,A93,A192,A201,1
A32,1494,A65,A93,A191,A202,1
A32,1938,A61,A91,A191,A201,2
A34,3384,A61,A91,A192,A201,2
A32,776,A61,A94,A191,A201,1
A32,2473,A61,A93,A191,A201,2
A32,3001,A61,A92,A191,A201,1
A34,1957,A61,A92,A191,A201,1
A34,2406,A61,A93,A191,A201,1
A33,802,A61,A93,A191,A201,1
A34,7253,A61,A93,A192,A201,1
A34,2292,A61,A93,A192,A201,2
A32,1381,A65,A92,A191,A201,2
A32,2579,A61,A93,A191,A201,2
A32,3186,A64,A92,A191,A201,1
A32,2136,A61,A93,A191,A201,1
A32,3017,A61,A92,A191,A201,1
A32,2569,A63,A93,A191,A201,1
A34,1163,A63,A93,A192,A201,1
A33,1209,A61,A93,A192,A201,2
A32,1309,A65,A93,A191,A201,2
A30,7119,A61,A93,A191,A201,2
A31,1750,A63,A93,A191,A201,1
A34,1995,A62,A93,A191,A201,1
A32,5433,A65,A92,A192,A201,1
A34,2820,A61,A91,A191,A201,2
A32,1289,A61,A93,A191,A201,1
A31,1837,A61,A92,A191,A201,2
A33,9157,A65,A93,A191,A201,1
A32,1979,A65,A93,A191,A201,1
A34,4042,A63,A93,A192,A201,1
A32,1444,A65,A93,A191,A201,1
A32,1393,A61,A93,A192,A201,1
A32,1922,A61,A93,A191,A201,2
A33,8086,A62,A93,A192,A201,2
A32,10222,A65,A93,A192,A201,1
A32,1453,A61,A92,A191,A201,1
A33,2862,A62,A93,A191,A201,1
A32,2631,A62,A92,A191,A201,1
A34,1138,A61,A93,A191,A201,1
A32,1228,A61,A92,A191,A201,2
A31,2325,A62,A93,A191,A201,1
A32,5248,A65,A93,A191,A201,1
A32,841,A62,A92,A191,A201,1
A32,1393,A61,A93,A192,A201,1
A32,7511,A65,A93,A192,A201,2
A34,1597,A61,A93,A191,A201,1
A32,1101,A61,A94,A192,A201,1
A32,886,A65,A92,A191,A201,1
A32,5179,A61,A93,A191,A201,2
A31,1559,A61,A93,A192,A201,1
A31,1442,A61,A93,A191,A201,2
A33,10875,A61,A93,A192,A201,1
A34,2442,A61,A93,A192,A201,1
A33,8947,A65,A93,A192,A201,1
A32,4153,A61,A93,A191,A201,2
A34,4736,A61,A92,A191,A201,2
A31,3161,A61,A93,A192,A201,2
A34,522,A63,A93,A192,A201,1
A32,1533,A61,A94,A191,A201,2
A34,3656,A65,A93,A191,A201,1
A31,1264,A62,A94,A191,A201,2
A32,4844,A61,A93,A192,A201,2
