@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,1255,A75,A93,A101,4,A172,1
A11,4583,A73,A91,A103,2,A173,1
A14,1221,A73,A94,A101,2,A173,1
A11,2964,A75,A93,A101,4,A173,1
A11,1603,A75,A92,A101,4,A173,1
A14,3275,A75,A93,A101,4,A174,1
A14,6842,A73,A93,A101,4,A174,1
A12,5866,A73,A93,A101,2,A173,1
A11,1409,A75,A93,A101,3,A173,1
A13,1424,A75,A92,A101,4,A174,1
A14,3777,A73,A93,A101,4,A173,1
A14,2611,A75,A94,A102,3,A173,1
A12,753,A73,A92,A103,3,A173,1
A12,5965,A75,A93,A101,2,A174,1
A14,2515,A73,A93,A101,4,A173,1
A14,1525,A74,A92,A101,3,A173,1
A11,1288,A75,A93,A103,4,A173,1
A11,1138,A73,A93,A101,4,A172,1
A13,2892,A75,A91,A101,4,A173,1
A11,339,A75,A94,A101,1,A172,1
A14,1582,A75,A93,A101,4,A173,1
A14,2764,A73,A92,A101,2,A173,1
A12,484,A74,A94,A103,3,A172,1
A12,2862,A75,A93,A101,3,A173,1
A11,1289,A73,A93,A103,1,A172,1
A12,3195,A73,A92,A101,2,A172,1
A14,1520,A75,A93,A101,4,A173,1
A14,2058,A73,A91,A101,2,A173,1
A12,1444,A72,A93,A101,1,A173,1
A11,1049,A72,A92,A101,4,A173,1
A11,731,A75,A93,A101,4,A172,1
A14,2708,A72,A93,A101,3,A172,1
A12,1103,A74,A93,A103,3,A173,1
A14,522,A75,A93,A101,4,A173,1
A11,1940,A72,A93,A102,4,A174,1
A14,1231,A75,A93,A101,4,A172,1
A12,1068,A75,A93,A101,4,A173,1
A14,6070,A75,A93,A101,4,A173,1
A12,7582,A71,A93,A101,4,A174,1
A14,1364,A73,A92,A101,4,A173,1
A12,12169,A71,A93,A102,4,A174,1
A12,866,A73,A94,A103,2,A172,1
A14,1471,A73,A93,A101,4,A173,1
A14,3368,A75,A93,A101,4,A173,1
A12,7418,A73,A93,A101,1,A172,1
A11,2606,A72,A92,A101,4,A174,1
A14,640,A73,A91,A101,2,A172,1
A14,1740,A75,A94,A101,2,A173,1
A13,3016,A73,A94,A101,1,A173,1
A11,2121,A73,A93,A101,2,A173,1
A11,6419,A75,A92,A101,4,A174,1
A14,3422,A75,A93,A101,4,A173,1
A11,1880,A74,A94,A101,1,A174,1
A12,1007,A73,A94,A101,1,A173,1
A14,2241,A75,A93,A101,2,A173,1
A13,1126,A75,A91,A101,4,A173,1
A14,672,A71,A92,A101,4,A171,1
A14,5117,A74,A93,A101,4,A173,1
A14,1552,A74,A93,A101,1,A173,1
A12,754,A75,A93,A101,4,A173,1
A12,458,A73,A93,A101,3,A173,1
A14,2288,A72,A92,A101,4,A173,1
A12,1158,A73,A91,A101,1,A173,1
A12,1795,A75,A92,A103,4,A172,1
A12,9857,A74,A93,A101,3,A172,1
A14,2445,A72,A94,A101,4,A173,1
A11,3509,A74,A92,A103,1,A173,1
A12,3652,A74,A93,A101,3,A173,1
A11,338,A75,A93,A101,4,A173,1
A14,1473,A72,A94,A101,4,A173,1
A14,3565,A72,A93,A101,1,A172,1
A14,1927,A73,A92,A101,2,A173,1
A14,1495,A75,A93,A101,1,A172,1
A11,2325,A74,A93,A101,3,A173,1
A11,662,A72,A93,A101,4,A172,1
A12,4795,A72,A92,A101,1,A174,1
A11,2647,A73,A93,A101,3,A173,1
A11,1361,A72,A93,A101,4,A172,1
A12,2366,A74,A91,A101,3,A174,1
A13,1275,A72,A92,A101,2,A173,1
A12,3496,A73,A93,A101,2,A173,1
A14,894,A74,A92,A101,3,A173,1
A14,3079,A73,A93,A101,4,A173,1
A14,2872,A75,A93,A101,4,A173,1
A11,4788,A74,A93,A101,3,A173,1
A11,2924,A73,A93,A103,4,A173,1
A14,3757,A75,A92,A102,4,A173,1
A12,1913,A72,A94,A101,3,A173,1
A14,3331,A75,A93,A101,4,A173,1
A14,6742,A74,A93,A101,3,A173,1
A11,2957,A75,A93,A101,4,A173,1
A12,2576,A73,A93,A103,2,A173,1
A14,1924,A73,A93,A101,4,A173,1
A11,3149,A72,A93,A101,1,A173,1
A11,1498,A73,A92,A101,1,A173,1
A14,8588,A75,A93,A101,2,A174,1
A14,926,A71,A92,A101,2,A171,1
A12,2030,A74,A93,A101,1,A173,1
A13,3749,A72,A92,A101,4,A173,1
A14,1455,A74,A93,A101,1,A172,1
A12,2427,A75,A93,A101,2,A173,1
A13,3913,A73,A93,A101,2,A173,1
A14,4139,A73,A93,A101,3,A172,1
A14,6314,A71,A93,A102,2,A174,1
A11,10722,A72,A92,A101,1,A172,1
A12,790,A73,A92,A101,3,A172,1
A12,7966,A72,A93,A101,3,A173,1
A14,1346,A75,A93,A101,4,A173,1
A14,2859,A71,A93,A101,4,A174,1
A12,3832,A72,A94,A101,1,A173,1
A14,3972,A74,A92,A101,4,A173,1
A11,3104,A74,A93,A101,1,A173,1
A14,1224,A73,A93,A101,1,A173,1
A14,1533,A72,A92,A101,3,A173,1
A12,7758,A75,A92,A101,4,A173,1
A11,8471,A73,A92,A101,2,A173,1
A11,2812,A75,A92,A101,4,A173,1
A12,585,A73,A94,A102,4,A173,1
A14,1287,A75,A93,A102,2,A172,1
A14,2404,A73,A92,A101,2,A173,1
A14,3160,A75,A93,A101,3,A173,1
A12,625,A72,A94,A103,1,A172,1
A13,3017,A75,A93,A101,4,A173,1
A14,727,A75,A93,A101,4,A173,1
A14,3380,A74,A92,A101,1,A173,1
A14,2679,A72,A92,A101,1,A174,1
A14,1376,A74,A92,A101,1,A173,1
A11,2171,A73,A93,A101,4,A172,1
A11,1845,A72,A92,A103,1,A173,1
A13,4796,A75,A93,A101,4,A173,1
A11,1352,A71,A92,A101,2,A171,1
A11,1680,A75,A94,A101,1,A173,1
A14,2901,A72,A92,A101,4,A173,1
A14,618,A75,A93,A101,4,A173,1
A14,1474,A72,A94,A101,3,A173,1
A11,3357,A72,A92,A101,2,A173,1
A14,3181,A72,A92,A101,4,A173,1
A12,5954,A74,A92,A101,1,A172,1
A14,1532,A73,A92,A101,3,A173,1
A14,10875,A75,A93,A101,2,A173,1
A14,2255,A72,A93,A101,1,A173,1
A14,1412,A73,A92,A103,2,A174,1
A14,362,A73,A92,A101,4,A172,1
A14,9566,A73,A92,A101,2,A173,1
A12,4771,A74,A93,A101,4,A173,1
A14,2831,A73,A92,A101,2,A173,1
A14,930,A75,A93,A101,4,A173,1
A11,7721,A72,A92,A101,2,A173,1
A14,4657,A73,A93,A101,2,A173,1
A14,5711,A75,A93,A101,2,A174,1
A13,1347,A74,A93,A101,2,A173,1
A14,2684,A73,A93,A101,2,A172,1
A13,3656,A75,A93,A101,4,A172,1
A12,2028,A73,A93,A101,2,A173,1
A11,609,A74,A92,A101,3,A173,1
A13,1047,A73,A92,A101,4,A172,1
A12,454,A72,A94,A101,1,A172,1
A11,2249,A74,A93,A101,3,A174,1
A14,2197,A74,A93,A101,4,A173,1
A14,1503,A73,A94,A101,4,A173,1
A11,4169,A73,A93,A101,4,A173,1
A14,976,A75,A93,A101,4,A173,1
A11,8072,A72,A93,A101,3,A173,1
