@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5-7,9,12,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,8072,A65,A72,A93,A123,A191,1
A11,1374,A61,A73,A93,A121,A192,1
A11,6836,A61,A75,A93,A124,A192,2
A11,4020,A61,A73,A93,A123,A191,1
A12,1391,A61,A73,A94,A121,A192,1
A14,1568,A62,A73,A92,A122,A191,1
A12,2337,A61,A75,A93,A121,A191,1
A14,6458,A61,A75,A93,A124,A192,2
A11,1680,A63,A75,A94,A121,A191,1
A11,4281,A63,A73,A92,A123,A191,2
A11,1835,A61,A73,A92,A121,A192,2
A11,6887,A61,A73,A93,A122,A192,2
A12,4795,A61,A72,A92,A124,A192,1
A14,2288,A61,A72,A92,A122,A192,1
A14,1346,A62,A75,A93,A124,A192,1
A12,1935,A61,A75,A91,A121,A192,2
A14,1963,A61,A74,A93,A123,A192,1
A14,1360,A61,A73,A93,A122,A191,1
A14,3074,A65,A73,A93,A121,A191,1
A12,14555,A65,A71,A93,A122,A192,2
A11,5302,A61,A75,A93,A124,A192,1
A14,1402,A63,A74,A92,A123,A192,1
A11,10722,A61,A72,A92,A121,A192,1
A13,3749,A61,A72,A92,A123,A191,1
A11,708,A61,A73,A93,A122,A191,1
A11,2659,A64,A73,A93,A123,A191,1
A14,1525,A64,A74,A92,A123,A192,1
A12,1068,A61,A75,A93,A123,A191,1
A11,3599,A61,A74,A92,A123,A191,1
A14,1743,A62,A73,A93,A121,A191,1
A12,1246,A61,A72,A93,A121,A191,2
A11,3650,A61,A72,A92,A123,A191,1
A14,2238,A61,A73,A92,A123,A191,1
A11,2578,A61,A71,A92,A124,A191,1
A13,939,A63,A74,A94,A121,A192,2
A14,1597,A63,A73,A93,A124,A191,1
A11,1190,A61,A71,A92,A124,A191,2
A11,1872,A61,A71,A93,A124,A192,1
A13,609,A61,A72,A92,A121,A191,2
A12,1512,A64,A73,A94,A122,A191,2
A11,2924,A61,A73,A93,A124,A192,1
A12,1201,A61,A72,A93,A122,A191,1
A14,4686,A61,A73,A93,A124,A192,1
A14,3488,A62,A74,A92,A123,A191,1
A14,1503,A61,A73,A94,A121,A191,1
A14,1311,A62,A74,A94,A122,A192,1
A11,1374,A65,A71,A92,A122,A192,1
A14,2032,A61,A75,A93,A124,A192,1
A14,8858,A65,A74,A93,A124,A192,1
A11,3552,A61,A74,A93,A123,A191,2
A11,2964,A65,A75,A93,A124,A192,1
A11,1546,A61,A74,A93,A123,A191,2
A12,12389,A65,A73,A93,A124,A192,2
A12,3979,A65,A74,A93,A123,A192,1
A12,2930,A61,A74,A92,A121,A191,1
A12,2384,A61,A72,A93,A124,A191,2
A11,2039,A61,A73,A92,A121,A191,2
A11,2246,A61,A75,A93,A122,A191,2
A12,2329,A61,A72,A92,A121,A191,1
A14,3349,A61,A73,A92,A123,A192,2
A11,3632,A61,A73,A92,A123,A191,1
A14,4623,A62,A73,A93,A122,A192,2
A11,2303,A61,A75,A93,A121,A191,2
A14,5150,A61,A75,A93,A123,A192,1
A11,975,A61,A73,A91,A122,A191,1
A12,1103,A61,A74,A93,A121,A191,1
A12,11560,A61,A73,A92,A123,A191,2
A11,14179,A65,A74,A93,A122,A192,1
A14,2463,A62,A74,A94,A122,A192,1
A12,1155,A61,A75,A94,A121,A191,1
A11,3509,A61,A74,A92,A121,A191,1
A12,836,A62,A72,A92,A122,A191,2
A12,1941,A64,A73,A93,A122,A192,1
A12,1188,A61,A75,A92,A122,A191,2
A11,1345,A61,A73,A94,A121,A191,2
A11,2712,A61,A75,A93,A122,A191,2
A11,3966,A61,A75,A92,A121,A192,2
A11,1216,A61,A72,A92,A123,A192,2
A11,11816,A61,A75,A93,A123,A191,2
A14,3331,A61,A75,A93,A122,A191,1
A14,874,A65,A72,A92,A121,A191,1
A11,1422,A61,A72,A93,A124,A192,2
A14,7814,A61,A74,A93,A123,A192,1
A12,2181,A65,A75,A93,A121,A191,1
A14,6614,A61,A75,A93,A123,A192,1
A11,2171,A61,A73,A93,A122,A191,1
A14,3485,A65,A72,A91,A121,A192,1
A14,1278,A61,A75,A93,A121,A192,1
A11,1107,A61,A73,A93,A121,A192,1
A14,2848,A62,A73,A93,A121,A191,1
A14,12749,A63,A74,A93,A123,A192,1
A14,6842,A65,A73,A93,A122,A192,1
A14,3527,A65,A72,A93,A122,A192,1
A14,1546,A61,A73,A93,A121,A191,1
A14,1455,A61,A74,A93,A121,A191,1
A12,8358,A63,A72,A92,A123,A191,1
A14,2859,A65,A71,A93,A124,A192,1
A11,1231,A64,A75,A92,A122,A192,1
A12,3069,A62,A75,A93,A124,A191,1
A14,2831,A61,A73,A92,A123,A192,1
