@relation german

@attribute DurationMonth numeric
@attribute ResidenceSince numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
18,3,2,1,A192,1
12,2,1,1,A191,1
36,4,1,1,A192,1
15,2,1,1,A191,1
18,2,2,1,A191,1
6,4,2,1,A192,1
6,3,1,1,A191,1
6,2,1,1,A191,1
60,4,2,1,A192,1
12,4,1,1,A192,1
10,4,1,1,A191,1
6,1,1,1,A192,1
36,4,1,1,A191,1
15,4,1,1,A192,1
22,4,1,1,A191,1
24,2,1,1,A191,1
12,3,2,1,A191,1
28,4,2,2,A192,1
30,2,2,1,A191,1
11,4,3,1,A191,1
6,2,2,1,A191,1
18,2,1,1,A192,1
12,4,1,1,A191,1
6,4,1,2,A191,1
15,2,1,1,A191,1
42,1,2,1,A191,1
12,4,1,1,A191,1
7,2,1,1,A191,1
60,4,1,1,A192,1
12,1,1,1,A191,1
24,2,1,1,A192,1
6,4,1,2,A192,1
18,1,1,1,A191,1
12,3,2,2,A191,1
27,2,1,1,A191,1
18,4,3,2,A192,1
6,2,1,1,A192,1
6,2,2,1,A192,1
24,3,1,1,A191,1
42,2,1,1,A192,1
24,1,1,1,A192,1
30,2,2,1,A191,1
6,4,1,1,A191,1
12,1,1,1,A191,1
24,3,1,1,A192,1
6,2,2,1,A191,1
12,2,1,1,A191,1
24,2,1,1,A192,1
39,4,2,1,A192,1
15,4,2,1,A191,1
9,2,2,1,A192,1
9,2,2,2,A191,1
13,1,2,1,A191,1
24,1,1,1,A191,1
30,2,2,2,A192,1
24,2,2,1,A192,1
24,4,2,1,A192,1
6,2,1,1,A191,1
30,4,2,1,A191,1
13,4,1,1,A191,1
12,1,1,1,A191,1
24,2,1,1,A191,1
36,4,2,1,A192,1
9,2,1,1,A191,1
9,4,1,1,A191,1
48,4,1,1,A192,1
48,3,2,2,A191,1
24,4,1,1,A192,1
15,4,1,1,A191,1
15,4,1,1,A191,1
36,4,1,2,A191,1
18,1,2,1,A191,1
15,2,2,1,A191,1
21,2,2,1,A191,1
18,1,1,1,A191,1
30,1,1,1,A191,1
18,4,2,1,A191,1
12,4,2,1,A191,1
12,2,1,1,A191,1
24,4,1,1,A192,1
36,4,1,1,A191,1
36,2,2,2,A192,1
15,2,1,1,A192,1
13,4,2,1,A191,1
6,2,2,1,A191,1
12,3,1,1,A191,1
12,4,3,1,A192,1
20,4,2,2,A192,1
6,3,2,1,A191,1
21,2,2,1,A192,1
12,2,1,1,A191,1
21,1,1,1,A192,1
12,1,1,1,A191,1
18,3,1,1,A191,1
12,4,1,1,A191,1
18,3,2,1,A192,1
39,2,1,1,A192,1
24,3,1,1,A192,1
10,2,1,1,A191,1
30,2,1,2,A192,1
24,4,1,1,A192,1
15,4,1,1,A192,1
12,4,1,1,A192,1
36,4,1,2,A192,1
12,2,2,1,A191,1
18,4,3,1,A192,1
24,4,2,1,A191,1
9,4,1,1,A191,1
12,4,2,1,A192,1
36,4,1,2,A192,1
18,4,1,1,A192,1
48,1,2,1,A191,1
6,2,1,1,A192,1
45,4,1,1,A191,1
9,4,3,1,A191,1
10,2,1,1,A191,1
10,2,1,1,A191,1
21,3,2,1,A192,1
6,4,2,2,A192,1
60,1,1,1,A191,1
6,3,1,1,A192,1
24,4,1,1,A192,1
9,4,1,1,A191,1
30,4,1,1,A191,1
24,3,2,1,A192,1
24,2,2,1,A191,1
24,4,1,1,A192,1
36,1,1,1,A192,1
24,4,1,1,A192,1
8,4,2,2,A192,1
9,3,1,1,A191,1
30,4,1,1,A191,1
6,4,2,1,A192,1
10,4,1,1,A192,1
6,2,2,2,A191,1
8,4,2,1,A191,1
12,1,1,1,A191,1
12,2,2,1,A192,1
12,4,1,2,A192,1
36,4,2,1,A192,1
27,4,4,2,A192,1
36,2,2,1,A191,1
36,4,2,1,A191,1
10,1,2,1,A191,1
12,4,1,1,A191,1
14,4,1,1,A191,1
18,2,1,1,A192,1
9,4,2,1,A191,1
24,4,2,2,A192,1
36,2,1,1,A191,1
12,4,3,1,A192,1
12,4,1,1,A191,1
12,4,1,1,A191,1
15,4,2,1,A192,1
6,3,1,1,A191,1
24,2,1,1,A192,1
30,4,2,1,A191,1
16,3,3,1,A192,1
24,2,1,1,A191,1
24,4,1,2,A192,1
12,4,1,1,A191,1
12,2,2,1,A192,1
36,2,2,1,A192,1
20,3,2,1,A192,1
24,2,1,1,A192,1
8,2,1,1,A191,1
6,4,1,2,A192,1
36,4,1,1,A191,1
9,1,1,1,A192,1
8,2,1,1,A191,1
18,4,2,1,A192,1
24,4,2,1,A191,1
6,2,1,2,A191,1
6,1,2,1,A192,1
6,2,2,1,A191,1
21,2,1,1,A191,1
15,2,1,1,A192,1
24,4,1,1,A191,1
30,2,1,1,A191,1
12,4,3,1,A191,1
24,4,1,1,A191,1
24,2,1,2,A192,1
18,4,1,2,A191,1
10,2,1,1,A191,1
10,4,1,1,A192,1
6,4,2,1,A191,1
24,3,3,1,A192,1
22,4,1,1,A191,1
24,4,1,1,A191,1
6,2,1,1,A191,1
18,2,2,1,A192,1
10,2,1,2,A191,1
12,4,1,1,A191,1
24,4,2,2,A192,1
24,4,1,1,A191,1
24,4,1,1,A191,1
30,3,1,2,A191,1
36,2,1,1,A191,1
12,3,1,1,A191,1
15,3,2,1,A192,1
18,2,1,1,A191,1
24,4,1,1,A192,1
24,1,2,1,A191,1
18,1,2,1,A192,1
12,4,1,1,A191,1
36,2,1,1,A191,1
15,4,1,1,A191,1
12,2,1,1,A192,1
21,2,2,1,A191,1
24,2,2,1,A191,1
18,4,1,1,A192,1
24,4,1,1,A191,1
4,1,2,2,A191,1
6,4,2,2,A191,1
9,4,1,1,A191,1
30,4,3,2,A192,1
24,4,2,1,A192,1
10,3,2,1,A192,1
24,2,1,1,A191,1
18,2,2,1,A191,1
6,4,1,2,A192,1
12,2,1,1,A191,1
15,2,1,1,A192,1
10,1,1,2,A191,1
36,4,2,1,A192,1
15,2,1,1,A191,1
18,1,2,1,A191,1
24,4,1,1,A192,1
10,4,1,1,A192,1
12,3,1,2,A191,1
39,3,1,1,A192,1
24,1,1,1,A191,1
30,3,2,1,A191,1
9,4,2,1,A192,1
12,4,1,1,A192,1
24,3,2,1,A192,1
21,4,1,1,A192,1
24,3,2,1,A192,1
12,2,1,1,A191,1
12,2,2,1,A191,1
6,3,1,1,A191,1
24,2,1,1,A191,1
30,4,2,1,A191,1
24,1,1,1,A192,1
7,1,1,1,A191,1
12,3,1,1,A191,1
24,2,1,1,A192,1
20,4,2,1,A191,1
12,4,1,1,A192,1
12,3,2,1,A191,1
6,4,1,1,A191,1
12,4,1,1,A191,1
24,1,1,1,A192,1
18,2,2,1,A191,1
18,2,1,1,A192,1
12,2,1,1,A192,1
24,4,2,1,A192,1
36,3,1,1,A192,1
15,3,2,1,A191,1
12,2,2,2,A191,1
24,4,1,1,A192,1
24,4,1,2,A192,1
48,3,1,1,A192,1
12,1,1,1,A191,1
12,4,2,1,A191,1
30,2,1,1,A192,1
36,4,2,1,A191,1
15,4,1,1,A192,1
24,1,1,1,A191,1
12,3,2,1,A191,1
20,4,1,1,A192,1
21,2,1,1,A191,1
6,2,1,2,A191,1
7,2,2,1,A192,1
18,2,1,1,A192,1
9,2,1,2,A191,1
36,4,1,1,A191,1
42,4,1,1,A191,1
9,4,1,1,A191,1
42,1,2,1,A191,1
12,1,1,1,A191,1
48,2,2,2,A191,1
6,3,1,1,A191,1
48,1,1,1,A192,1
24,2,2,1,A191,1
8,4,2,1,A191,1
30,4,1,1,A191,1
12,4,2,1,A191,1
21,4,1,1,A191,1
21,4,1,1,A192,1
36,2,2,1,A191,1
24,4,1,1,A192,1
12,4,3,1,A191,1
15,1,1,1,A191,1
42,4,2,1,A191,1
6,4,1,1,A191,1
12,2,2,1,A191,1
24,3,2,1,A191,1
24,4,2,1,A192,1
36,2,2,1,A192,1
30,4,1,1,A192,1
24,4,1,1,A191,1
24,4,2,1,A192,1
15,4,1,1,A191,1
24,3,2,1,A191,1
12,2,2,2,A191,1
15,4,2,1,A191,1
12,2,1,1,A191,1
4,1,1,2,A191,1
24,2,1,1,A191,1
47,1,1,1,A192,1
6,4,2,1,A191,1
18,3,1,1,A191,1
12,1,1,1,A191,1
24,2,2,1,A191,1
10,4,1,1,A192,1
18,4,2,1,A192,1
24,4,2,1,A192,1
12,2,1,1,A191,1
12,4,1,1,A191,1
36,2,1,1,A192,1
24,1,1,1,A191,1
12,4,2,1,A191,1
36,4,2,1,A192,1
48,1,2,2,A192,1
6,1,1,1,A191,1
18,2,2,1,A192,1
30,4,2,1,A192,1
33,2,2,1,A192,1
12,4,1,1,A192,1
54,2,1,2,A191,1
28,2,2,1,A191,1
18,2,2,1,A192,1
11,2,1,1,A192,1
5,4,1,1,A191,1
12,1,1,1,A191,1
18,1,1,1,A191,1
11,2,2,2,A191,1
24,4,2,1,A191,1
9,2,1,1,A191,1
18,1,2,1,A191,1
24,4,1,1,A192,1
9,4,1,1,A191,1
21,3,2,1,A191,1
24,3,2,1,A192,1
15,4,1,1,A191,1
15,2,1,1,A192,1
6,1,2,1,A191,1
18,3,2,1,A191,1
12,2,1,2,A192,1
21,4,1,1,A191,1
36,3,1,1,A191,1
12,2,1,2,A191,1
24,3,2,1,A191,1
12,4,1,1,A191,1
6,1,1,1,A191,1
6,3,2,2,A192,1
36,2,2,1,A191,1
12,4,1,1,A192,1
24,2,2,1,A192,1
9,4,2,2,A191,1
24,2,2,1,A192,1
7,2,1,1,A191,1
12,3,1,1,A191,1
18,1,2,1,A192,1
11,2,2,2,A191,1
12,2,2,1,A191,1
18,4,2,1,A192,1
12,3,2,1,A192,1
12,1,1,1,A191,1
27,2,2,1,A191,1
10,3,2,1,A191,1
60,4,1,1,A192,1
12,2,2,1,A191,1
18,4,2,1,A192,1
9,1,2,1,A191,1
30,1,2,1,A191,1
9,3,1,1,A192,1
18,4,2,1,A191,1
12,1,1,1,A191,1
27,2,2,2,A192,1
10,2,1,2,A191,1
15,4,1,1,A192,1
13,4,1,1,A191,1
18,4,1,1,A192,1
21,3,2,1,A191,1
