@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A12,3617,A123,A143,1
A14,3535,A123,A143,1
A11,1231,A122,A143,1
A14,3488,A123,A143,1
A11,4716,A121,A143,1
A11,3599,A123,A143,1
A11,2241,A121,A143,1
A14,1597,A124,A143,1
A14,4686,A124,A143,1
A14,2241,A121,A143,1
A14,3430,A123,A143,1
A12,3017,A121,A143,1
A14,15653,A123,A143,1
A14,1592,A122,A143,1
A14,2463,A122,A143,1
A11,731,A121,A143,1
A12,2745,A123,A143,1
A14,1585,A122,A143,1
A12,7582,A124,A143,1
A12,9283,A124,A141,1
A14,3577,A121,A143,1
A14,3757,A124,A143,1
A11,3650,A123,A143,1
A11,3643,A122,A143,1
A11,666,A121,A143,1
A11,2799,A121,A143,1
A14,3780,A123,A143,1
A14,1736,A121,A143,1
A12,2329,A121,A143,1
A13,2687,A122,A143,1
A14,1963,A123,A143,1
A14,996,A121,A143,1
A14,1101,A121,A143,1
A12,1919,A123,A143,1
A11,10623,A124,A143,1
A12,2728,A121,A141,1
A12,1308,A123,A143,1
A11,860,A124,A143,1
A11,1168,A121,A143,1
A14,3485,A121,A143,1
A12,1175,A123,A143,1
A14,1572,A121,A141,1
A14,3077,A123,A143,1
A12,3244,A123,A141,1
A14,3160,A122,A143,1
A11,7721,A122,A143,1
A12,2273,A123,A143,1
A12,2337,A121,A143,1
A12,1743,A122,A143,1
A14,2032,A124,A143,1
A14,886,A123,A143,1
A12,3512,A123,A141,1
A14,1163,A121,A143,1
A14,2171,A123,A141,1
A11,2442,A123,A142,1
A14,1766,A122,A143,1
A14,1258,A121,A143,1
A12,2930,A121,A143,1
A12,1301,A121,A143,1
A14,707,A121,A141,1
A14,1236,A121,A143,1
A14,1471,A124,A143,1
A12,1715,A123,A143,1
A11,3632,A123,A141,1
A14,5103,A124,A143,1
A14,5117,A123,A143,1
A13,5152,A123,A141,1
A12,1007,A121,A143,1
A13,2360,A123,A143,1
A12,7758,A124,A143,1
A12,454,A122,A143,1
A12,2353,A122,A143,1
A11,3959,A122,A143,1
A11,3857,A122,A143,1
A14,1149,A121,A143,1
A14,1597,A124,A143,1
A14,2788,A123,A141,1
A11,1409,A121,A143,1
A11,3249,A124,A141,1
A12,4351,A122,A143,1
A12,2366,A123,A143,1
A14,700,A124,A143,1
A14,2279,A124,A143,1
A14,10875,A123,A143,1
A12,3758,A124,A143,1
A14,1316,A122,A143,1
A11,662,A121,A143,1
A14,3863,A124,A143,1
A14,1568,A122,A143,1
A14,12749,A123,A143,1
A12,4439,A121,A141,1
A14,2684,A121,A143,1
A14,1884,A123,A143,1
A14,846,A124,A143,1
A11,4272,A122,A143,1
A14,929,A123,A142,1
A12,1113,A121,A143,1
A13,1445,A123,A141,1
A14,2708,A122,A141,1
A12,3590,A123,A143,1
A14,1291,A122,A143,1
A14,1287,A122,A143,1
A12,3496,A123,A142,1
A13,3949,A122,A143,1
A14,1817,A124,A143,1
A11,8072,A123,A141,1
A11,7882,A122,A143,1
A12,1322,A123,A143,1
A13,1258,A123,A143,1
A11,3509,A121,A143,1
A14,9055,A124,A143,1
A12,2002,A122,A143,1
A14,1313,A123,A143,1
A14,1262,A123,A143,1
A14,2835,A122,A143,1
A14,3368,A124,A143,1
A13,1299,A121,A143,1
A11,428,A122,A141,1
A11,1053,A121,A143,1
A14,10222,A123,A142,1
A11,708,A122,A143,1
A14,362,A123,A143,1
A14,6110,A124,A141,1
A14,3105,A123,A143,1
A14,1542,A123,A143,1
A13,3656,A122,A142,1
A14,3074,A121,A143,1
A12,6948,A123,A143,1
A14,3343,A124,A143,1
A14,682,A123,A143,1
A12,2896,A123,A143,1
A14,13756,A124,A141,1
A12,2631,A121,A143,1
A11,3590,A122,A143,1
A14,522,A122,A143,1
A12,2118,A121,A143,1
A12,6078,A123,A143,1
A12,2028,A123,A143,1
A14,2753,A123,A143,1
A12,5866,A123,A143,1
A11,2171,A122,A141,1
A14,2978,A121,A143,1
A13,3399,A123,A143,1
A14,1386,A121,A143,1
A14,1574,A121,A143,1
A13,1494,A121,A143,1
A14,8858,A124,A143,1
A14,1204,A124,A141,1
A12,882,A121,A143,1
A12,484,A121,A141,1
A12,2326,A123,A141,1
A14,1393,A121,A143,1
A14,3077,A123,A143,1
A14,1595,A122,A143,1
A14,2028,A122,A143,1
A12,4221,A123,A143,1
A12,2899,A123,A143,1
A14,5150,A123,A143,1
A11,339,A123,A141,1
A12,907,A121,A143,1
A11,1620,A122,A143,1
A12,2323,A123,A143,1
A11,2212,A123,A143,1
A12,1553,A122,A143,1
A12,841,A121,A143,1
A14,3186,A123,A143,1
A11,1038,A122,A143,1
A12,2333,A122,A141,1
A14,2748,A124,A141,1
A12,1577,A121,A143,1
A14,2186,A121,A141,1
A12,3652,A122,A143,1
A14,1559,A123,A141,1
A14,937,A123,A143,1
A12,4712,A122,A141,1
A11,2214,A122,A143,1
A12,1995,A123,A143,1
A14,4526,A121,A143,1
A13,2923,A123,A141,1
A13,2247,A123,A142,1
A12,12204,A123,A141,1
A12,2576,A121,A143,1
A14,640,A121,A143,1
A11,2325,A123,A141,1
A14,3029,A123,A143,1
A11,3973,A124,A143,1
A14,6614,A123,A143,1
A12,1068,A123,A143,1
A14,5801,A122,A143,1
A14,3609,A121,A142,1
A11,1433,A122,A143,1
A14,2675,A123,A143,1
A12,1967,A123,A143,1
A13,1925,A121,A143,1
A12,625,A121,A141,1
A14,4042,A121,A143,1
A14,1237,A122,A143,1
A13,1047,A122,A143,1
A11,1361,A121,A143,1
A14,1213,A122,A142,1
A11,1747,A122,A143,1
A12,2862,A124,A143,1
A11,2522,A122,A143,1
A11,3149,A124,A141,1
A14,9566,A123,A142,1
A14,6742,A122,A143,1
A14,8947,A123,A142,1
A11,806,A122,A143,1
A14,7629,A123,A141,1
A14,2515,A121,A143,1
A14,518,A121,A143,1
A13,1126,A121,A143,1
A11,2511,A123,A143,1
A12,760,A121,A143,1
A14,1520,A122,A143,1
A14,5804,A121,A143,1
A14,1409,A121,A143,1
A13,5848,A123,A143,1
A14,926,A122,A143,1
A12,4576,A123,A143,1
A11,1858,A123,A143,1
A14,776,A121,A143,1
A11,1344,A121,A143,1
A12,3872,A123,A143,1
A11,4380,A123,A143,1
A13,3749,A123,A143,1
A12,6148,A123,A141,1
A12,1444,A122,A143,1
A14,2603,A123,A143,1
A14,10477,A124,A143,1
A11,15857,A123,A143,1
A12,1239,A124,A143,1
A12,1391,A121,A141,1
A14,7228,A122,A143,1
A14,3556,A124,A143,1
A12,754,A122,A143,1
A14,3527,A122,A143,1
A14,1346,A124,A141,1
A14,8588,A123,A143,1
A11,5302,A124,A143,1
A11,3620,A122,A143,1
A11,1936,A123,A143,1
A11,1200,A122,A141,1
A11,1893,A122,A143,1
A12,3069,A124,A143,1
A14,1543,A121,A143,1
A14,1532,A123,A143,1
A14,1360,A122,A143,1
A14,7678,A123,A143,1
A14,6842,A122,A143,1
