@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Customer {1,2}

@data
12,A34,1
5,A32,1
36,A34,1
42,A32,1
12,A34,1
18,A32,1
12,A32,1
6,A32,1
6,A34,1
12,A32,1
10,A34,1
24,A33,1
36,A34,1
10,A32,1
30,A34,1
10,A32,1
36,A32,1
24,A34,1
9,A34,1
24,A32,1
12,A32,1
24,A34,1
36,A34,1
12,A32,1
24,A32,1
24,A34,1
15,A34,1
24,A32,1
12,A32,1
6,A32,1
6,A34,1
24,A32,1
21,A32,1
6,A34,1
30,A32,1
18,A32,1
36,A32,1
45,A34,1
10,A34,1
24,A33,1
6,A33,1
15,A34,1
12,A34,1
18,A32,1
28,A34,1
24,A32,1
24,A34,1
30,A34,1
9,A32,1
15,A34,1
24,A32,1
24,A31,1
24,A34,1
9,A32,1
18,A32,1
15,A34,1
18,A32,1
36,A32,1
48,A31,1
15,A32,1
30,A34,1
30,A33,1
7,A34,1
24,A32,1
36,A34,1
26,A32,1
24,A32,1
12,A32,1
6,A34,1
21,A33,1
24,A32,1
12,A32,1
12,A34,1
36,A32,1
24,A32,1
11,A34,1
13,A32,1
6,A32,1
24,A32,1
12,A32,1
18,A32,1
11,A34,1
30,A31,1
24,A33,1
24,A32,1
9,A34,1
6,A31,1
18,A34,1
24,A33,1
20,A34,1
48,A33,1
21,A34,1
24,A34,1
12,A32,1
6,A32,1
12,A32,1
48,A34,1
12,A32,1
24,A32,1
36,A34,1
24,A31,1
36,A32,1
6,A34,1
15,A32,1
6,A34,1
22,A32,1
6,A32,1
36,A34,1
21,A32,1
9,A32,1
24,A34,1
6,A34,1
18,A33,1
10,A34,1
36,A33,1
36,A32,1
18,A34,1
12,A32,1
30,A32,1
15,A32,1
60,A32,1
24,A32,1
42,A30,1
15,A32,1
24,A32,1
24,A34,1
24,A34,1
18,A34,1
6,A32,1
12,A34,1
24,A32,1
15,A32,1
6,A33,1
48,A31,1
15,A33,1
6,A32,1
9,A34,1
10,A34,1
24,A32,1
12,A34,1
42,A34,1
18,A32,1
15,A32,1
54,A30,1
39,A34,1
36,A33,1
9,A34,1
12,A32,1
21,A32,1
12,A32,1
18,A34,1
20,A30,1
48,A32,1
12,A34,1
9,A32,1
18,A34,1
24,A34,1
18,A32,1
36,A32,1
6,A32,1
28,A31,1
47,A32,1
24,A32,1
36,A34,1
18,A34,1
10,A32,1
9,A32,1
36,A34,1
9,A32,1
9,A32,1
11,A32,1
9,A34,1
18,A32,1
18,A34,1
15,A32,1
6,A32,1
4,A34,1
12,A32,1
15,A32,1
12,A30,1
12,A34,1
12,A32,1
18,A32,1
15,A34,1
12,A32,1
30,A30,1
24,A32,1
12,A34,1
12,A32,1
24,A31,1
42,A34,1
9,A32,1
12,A32,1
15,A33,1
60,A33,1
12,A34,1
14,A33,1
30,A34,1
12,A32,1
12,A30,1
15,A32,1
8,A32,1
13,A34,1
27,A34,1
18,A32,1
12,A34,1
18,A32,1
18,A32,1
7,A32,1
24,A34,1
12,A32,1
4,A32,1
6,A33,1
24,A32,1
24,A33,1
20,A33,1
18,A32,1
18,A32,1
36,A34,1
39,A32,1
36,A32,1
27,A33,1
27,A32,1
18,A32,1
12,A32,1
15,A32,1
9,A32,1
18,A34,1
36,A32,1
9,A32,1
24,A34,1
21,A32,1
12,A31,1
21,A32,1
12,A34,1
18,A34,1
48,A32,1
24,A31,1
36,A34,1
9,A32,1
30,A34,1
6,A33,1
60,A32,1
36,A34,1
60,A32,1
6,A34,1
24,A32,1
12,A32,1
12,A32,1
21,A34,1
27,A32,1
30,A32,1
24,A34,1
60,A33,1
10,A32,1
6,A34,1
9,A34,1
36,A33,1
12,A32,1
36,A31,1
24,A33,1
24,A34,1
12,A32,1
18,A34,1
12,A32,1
24,A34,1
18,A32,1
12,A32,1
24,A33,1
24,A32,1
6,A32,1
9,A32,1
24,A34,1
9,A32,1
24,A32,1
12,A33,1
24,A32,1
12,A34,1
15,A32,1
24,A34,1
15,A34,1
36,A32,1
6,A34,1
10,A32,1
48,A34,1
6,A34,1
21,A34,1
24,A32,1
48,A34,1
24,A32,1
6,A32,1
9,A32,1
15,A32,1
12,A32,1
18,A34,1
11,A33,1
15,A34,1
12,A34,1
12,A32,1
42,A34,1
12,A32,1
36,A32,1
24,A34,1
12,A32,1
24,A34,1
18,A32,1
36,A32,1
48,A32,1
24,A32,1
36,A32,1
16,A34,1
24,A32,1
6,A34,1
18,A32,1
6,A34,1
7,A32,1
12,A34,1
6,A30,1
15,A34,1
10,A34,1
15,A33,1
42,A34,1
12,A34,1
18,A34,1
21,A33,1
24,A34,1
8,A32,1
21,A32,1
12,A34,1
6,A32,1
6,A31,1
24,A34,1
18,A32,1
24,A34,1
24,A32,1
24,A32,1
12,A32,1
18,A32,1
24,A31,1
12,A32,1
15,A32,1
48,A34,1
12,A34,1
15,A32,1
18,A32,1
12,A32,1
13,A34,1
18,A32,1
60,A33,1
24,A34,1
24,A34,1
12,A32,1
30,A34,1
18,A30,1
36,A32,1
48,A34,1
30,A34,1
12,A31,1
30,A34,1
36,A32,1
15,A32,1
18,A32,1
36,A33,1
12,A32,1
24,A32,1
18,A33,1
24,A32,1
36,A30,1
9,A34,1
12,A32,1
18,A34,1
10,A34,1
12,A32,1
39,A33,1
12,A34,1
6,A32,1
24,A33,1
12,A32,1
6,A34,1
12,A32,1
22,A32,1
60,A34,1
30,A32,1
10,A32,1
12,A34,1
48,A32,1
18,A32,1
15,A32,1
33,A34,1
20,A34,1
12,A32,1
48,A30,1
12,A32,1
12,A33,1
21,A33,1
24,A34,1
18,A34,1
36,A32,1
8,A34,1
6,A32,1
24,A32,1
48,A32,1
15,A34,1
18,A33,1
6,A34,1
6,A32,1
48,A33,1
27,A32,1
12,A34,1
18,A34,1
24,A32,1
18,A32,1
12,A34,1
24,A33,1
12,A34,1
24,A34,1
27,A34,1
12,A32,1
15,A34,1
6,A32,1
8,A34,1
12,A34,1
9,A32,1
18,A34,1
12,A32,1
15,A32,1
21,A32,1
30,A30,1
15,A32,1
9,A34,1
30,A34,1
20,A32,1
21,A32,1
6,A32,1
24,A32,1
48,A33,1
15,A34,1
12,A32,1
18,A34,1
24,A32,1
24,A32,1
24,A34,1
12,A32,1
9,A32,1
9,A34,1
24,A32,1
18,A32,1
10,A34,1
15,A32,1
9,A32,1
24,A34,1
9,A32,1
24,A34,1
6,A32,1
24,A33,1
24,A32,1
18,A32,1
12,A34,1
36,A32,1
10,A32,1
18,A34,1
24,A32,1
21,A34,1
36,A33,1
30,A32,1
24,A32,1
24,A33,1
24,A32,1
15,A34,1
36,A32,1
12,A32,1
24,A32,1
12,A34,1
12,A32,1
12,A32,1
33,A33,1
21,A34,1
21,A32,1
12,A32,1
10,A32,1
30,A32,1
7,A33,1
21,A32,1
12,A32,1
24,A32,1
4,A34,1
39,A32,1
18,A34,1
18,A33,1
20,A32,1
24,A32,1
27,A33,1
30,A32,1
24,A34,1
13,A32,1
12,A32,1
10,A32,1
