@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2,4,10,12,21'

@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Guarantors {A101,A103,A102}
@attribute Property {A121,A122,A124,A123}
@attribute Customer {1,2}

@data
24,A40,A101,A124,2
36,A46,A101,A124,1
30,A40,A101,A123,2
12,A43,A101,A123,1
15,A40,A101,A123,1
12,A42,A101,A122,1
48,A46,A101,A124,1
18,A43,A102,A121,2
12,A43,A101,A124,2
36,A43,A101,A123,1
20,A41,A101,A122,1
60,A43,A101,A121,1
6,A40,A101,A124,1
15,A44,A101,A122,1
36,A40,A101,A122,1
8,A43,A103,A121,1
12,A42,A101,A123,1
36,A49,A101,A121,2
21,A40,A101,A122,2
48,A49,A101,A124,2
27,A49,A101,A123,2
24,A49,A101,A123,1
30,A49,A101,A121,2
24,A42,A101,A121,1
12,A42,A101,A124,2
36,A43,A101,A123,2
30,A43,A103,A122,1
48,A41,A101,A124,2
24,A49,A101,A121,1
14,A40,A101,A122,2
48,A43,A101,A121,2
36,A41,A101,A123,2
24,A42,A101,A122,1
12,A42,A101,A122,1
36,A43,A101,A123,1
18,A46,A101,A124,1
12,A49,A101,A123,1
10,A42,A101,A121,1
18,A43,A101,A121,1
18,A49,A101,A121,1
15,A43,A101,A121,1
21,A40,A101,A123,1
9,A42,A101,A123,1
5,A49,A101,A121,1
9,A46,A101,A122,1
24,A43,A101,A123,2
24,A45,A101,A124,1
4,A43,A101,A121,1
18,A42,A101,A121,2
18,A40,A101,A123,2
21,A40,A101,A122,2
6,A43,A101,A122,1
12,A40,A101,A123,2
30,A43,A102,A123,1
18,A40,A103,A121,2
9,A40,A101,A121,1
21,A49,A101,A121,1
24,A49,A101,A121,1
10,A40,A101,A124,2
6,A40,A101,A121,1
9,A42,A102,A123,2
36,A49,A101,A123,2
48,A46,A101,A124,1
12,A40,A101,A123,2
6,A42,A101,A122,1
36,A49,A101,A123,1
24,A43,A101,A123,1
6,A41,A101,A122,1
24,A43,A101,A124,1
48,A40,A101,A122,2
24,A43,A101,A123,1
6,A46,A101,A122,2
6,A40,A101,A121,1
24,A43,A101,A123,1
8,A43,A103,A121,1
6,A40,A101,A121,1
15,A43,A101,A124,2
18,A42,A101,A121,2
24,A43,A101,A122,1
18,A45,A101,A123,1
39,A43,A103,A121,2
20,A41,A101,A121,1
24,A41,A101,A123,1
12,A42,A101,A122,1
6,A44,A101,A121,1
21,A42,A101,A123,1
9,A43,A101,A121,1
15,A42,A101,A123,1
12,A42,A102,A122,1
24,A41,A101,A124,1
24,A49,A101,A124,1
36,A46,A101,A123,1
36,A43,A101,A121,1
6,A43,A101,A123,1
18,A49,A101,A123,1
9,A43,A101,A121,1
21,A40,A101,A122,1
21,A40,A101,A123,1
15,A42,A101,A122,1
18,A43,A101,A123,1
