@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13,18,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,24,A41,44,1,A201,2
A12,12,A41,44,1,A201,1
A12,18,A40,30,1,A201,1
A14,30,A43,30,1,A201,1
A11,48,A41,58,1,A201,2
A14,36,A43,39,1,A201,1
A12,24,A42,29,1,A201,1
A12,27,A41,30,1,A201,1
A14,12,A43,25,1,A201,1
A14,6,A40,26,2,A201,1
A12,11,A43,51,1,A201,1
A12,30,A42,22,1,A201,1
A12,12,A40,54,1,A201,1
A14,12,A46,61,1,A201,1
A12,15,A43,35,1,A201,1
A11,18,A42,22,1,A201,2
A14,12,A40,51,1,A201,1
A14,10,A43,38,1,A202,1
A14,6,A43,34,2,A201,1
A12,10,A40,70,1,A201,1
A11,18,A42,33,1,A201,2
A14,24,A49,54,1,A201,2
A12,45,A43,21,1,A201,2
A11,12,A46,23,1,A201,1
A14,36,A45,27,1,A201,1
A12,48,A43,27,1,A201,2
A12,60,A43,27,1,A201,1
A14,24,A43,35,1,A201,1
A14,36,A49,36,1,A201,1
A11,30,A45,34,1,A201,2
A14,18,A43,26,1,A201,1
A12,24,A40,37,1,A201,1
A14,6,A42,33,1,A201,1
A11,15,A42,27,1,A201,1
A11,8,A40,39,1,A202,1
A11,24,A41,75,1,A201,1
A14,18,A46,30,1,A201,2
A11,24,A42,23,2,A201,2
A14,9,A44,23,1,A201,1
A13,12,A43,37,1,A201,1
A14,6,A40,52,1,A201,1
A12,18,A42,40,1,A201,1
A11,36,A42,46,1,A201,1
A12,18,A40,43,2,A201,1
A11,18,A46,23,1,A201,1
A14,21,A42,34,1,A201,1
A12,18,A41,21,1,A201,1
A14,36,A41,30,1,A201,1
A11,12,A41,35,1,A201,2
A14,6,A48,36,2,A201,1
A14,24,A40,62,1,A201,1
A14,24,A42,40,1,A201,1
A12,18,A43,32,1,A201,1
A12,12,A43,20,1,A201,1
A12,15,A40,28,1,A201,2
A14,24,A40,37,1,A201,1
A14,12,A45,23,1,A201,1
A12,24,A43,23,1,A201,1
A11,15,A49,22,1,A201,1
A11,24,A40,23,1,A201,2
A12,36,A43,50,1,A201,2
A12,30,A42,21,1,A201,2
A12,9,A40,29,1,A201,2
A14,60,A43,21,1,A201,1
A12,15,A45,38,1,A201,1
A14,24,A43,33,1,A201,1
A14,21,A42,50,1,A201,1
A14,6,A40,24,1,A201,1
A14,6,A46,56,1,A201,1
A14,12,A43,37,1,A201,1
A13,10,A43,27,1,A201,1
A12,10,A43,23,1,A201,1
A11,12,A40,37,1,A201,2
A14,15,A41,33,1,A201,1
A14,12,A45,55,2,A201,2
A14,21,A40,30,1,A201,2
A14,12,A43,63,1,A201,1
A11,36,A46,25,1,A201,2
A14,36,A40,37,1,A201,1
A11,40,A46,27,1,A201,2
A14,6,A42,27,1,A201,1
A11,20,A42,24,1,A201,1
A14,12,A43,65,1,A201,1
A11,36,A41,24,1,A201,2
A13,15,A43,25,1,A201,2
A14,21,A41,28,1,A201,1
A14,18,A40,68,1,A201,2
A14,24,A40,33,1,A201,1
A11,24,A43,35,1,A201,2
A12,11,A40,40,1,A201,1
A11,18,A43,36,1,A201,1
A12,24,A42,43,1,A201,2
A12,9,A40,33,1,A201,1
A12,30,A43,25,1,A201,1
A11,6,A40,68,1,A201,2
A11,18,A42,21,1,A201,1
A11,24,A42,24,1,A202,1
A12,24,A41,28,1,A201,2
A12,27,A43,23,1,A201,2
A11,36,A41,26,2,A201,2
