@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,9,17-18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A34,9566,A92,A173,1,1
A13,A32,1961,A92,A174,1,1
A14,A32,3181,A92,A173,1,1
A12,A32,1007,A94,A173,1,1
A14,A32,1819,A93,A173,1,2
A12,A32,12612,A93,A173,2,2
A13,A34,3617,A93,A173,1,1
A11,A32,7721,A92,A173,1,1
A14,A33,8613,A93,A173,1,1
A11,A32,3416,A93,A174,1,1
A12,A32,1577,A92,A173,1,1
A12,A32,951,A92,A173,1,2
A11,A30,5293,A93,A173,1,2
A13,A32,2251,A92,A172,1,1
A14,A32,1574,A93,A173,1,1
A14,A34,1520,A93,A173,1,1
A12,A33,7582,A93,A174,1,1
A14,A32,4675,A92,A173,1,1
A14,A32,672,A92,A171,1,1
A14,A34,10127,A93,A173,1,2
A12,A32,276,A94,A172,1,1
A12,A32,685,A94,A172,1,2
A12,A34,4249,A94,A174,1,2
A11,A32,4169,A93,A173,1,1
A12,A32,959,A92,A173,1,2
A12,A32,14318,A93,A174,1,2
A14,A33,8648,A93,A173,1,2
A14,A34,2197,A93,A173,2,1
A12,A32,2028,A93,A173,1,1
A13,A32,1424,A92,A174,1,1
A14,A32,4594,A93,A173,1,1
A11,A32,3620,A93,A173,2,1
A11,A32,654,A93,A172,1,2
A11,A32,3622,A92,A173,1,1
A14,A32,1418,A93,A172,1,1
A14,A32,2255,A93,A173,1,1
A11,A34,1361,A93,A172,2,1
A11,A32,7763,A93,A174,1,2
A13,A32,3049,A92,A172,1,1
A11,A32,6350,A93,A173,1,2
A11,A32,6758,A92,A173,1,2
A12,A32,2718,A92,A172,1,2
A14,A32,1300,A93,A173,2,1
A14,A32,3914,A91,A173,1,2
A11,A32,1858,A92,A173,1,1
A11,A32,2600,A93,A173,1,2
A11,A34,1880,A94,A174,1,1
A11,A32,684,A93,A172,2,2
A13,A32,1297,A94,A173,1,1
A12,A31,3496,A93,A173,2,1
A14,A31,3609,A92,A173,1,1
A12,A32,5595,A94,A173,1,2
A12,A33,2503,A93,A173,1,1
A12,A32,2528,A92,A173,2,1
A12,A30,2969,A92,A173,1,2
A11,A31,1198,A92,A173,1,2
A14,A32,2603,A92,A173,1,1
A14,A34,6761,A93,A174,2,1
A11,A34,691,A93,A173,1,2
A14,A34,5045,A92,A173,1,1
A11,A32,3108,A91,A172,1,2
A11,A32,2812,A92,A173,1,1
A12,A32,1549,A93,A171,1,1
A12,A34,1795,A92,A172,1,1
A14,A34,976,A93,A173,1,1
A12,A32,590,A94,A172,1,1
A12,A32,907,A94,A173,1,1
A14,A34,1554,A92,A173,1,1
A11,A34,731,A93,A172,1,1
A14,A34,3780,A91,A174,1,1
A12,A32,5084,A92,A173,1,1
A11,A30,1082,A93,A173,1,2
A14,A32,3422,A93,A173,2,1
A14,A34,4042,A93,A173,1,1
A14,A32,894,A92,A173,1,1
A14,A34,3343,A93,A173,1,1
A14,A34,5804,A93,A173,1,1
A11,A32,2389,A92,A173,1,1
A14,A32,7409,A93,A173,1,1
A11,A32,652,A92,A173,1,1
A14,A34,6742,A93,A173,1,1
A14,A34,1098,A92,A171,1,1
A14,A34,1169,A93,A173,1,1
A11,A32,2606,A92,A174,1,1
A14,A32,2186,A92,A172,1,1
A14,A34,10477,A93,A173,1,1
A11,A32,3763,A93,A172,1,1
A14,A33,3594,A92,A172,1,1
A14,A32,2142,A91,A173,1,1
A11,A31,6872,A91,A173,1,2
A14,A34,1224,A93,A173,1,1
A11,A31,3349,A93,A173,2,2
A11,A32,4006,A93,A172,1,2
A14,A32,3556,A93,A173,1,1
A14,A32,7166,A94,A173,1,1
A11,A31,1193,A92,A171,1,2
A11,A32,7297,A93,A173,1,2
A14,A32,1409,A92,A173,1,1
A11,A32,1845,A93,A173,1,2
A12,A34,4576,A93,A173,1,1
