@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,8,12-13,16,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A32,A64,2,A121,61,1,1,1
A11,A32,A62,4,A123,32,1,1,2
A14,A34,A65,2,A123,26,2,1,1
A13,A31,A64,3,A121,42,2,1,1
A11,A34,A62,1,A123,24,2,1,1
A14,A32,A62,4,A121,28,1,1,1
A12,A30,A61,2,A123,25,1,1,2
A14,A32,A65,4,A122,48,4,2,1
A12,A34,A61,2,A121,41,2,1,1
A14,A32,A65,1,A123,44,2,1,2
A11,A32,A62,4,A123,30,1,2,1
A12,A32,A62,4,A123,34,1,1,1
A14,A32,A62,4,A121,41,1,1,1
A13,A32,A64,2,A121,27,1,1,1
A11,A34,A61,3,A122,28,2,1,1
A11,A34,A61,4,A121,65,2,1,1
A14,A34,A64,4,A121,50,1,1,1
A12,A34,A61,4,A123,36,1,2,2
A12,A31,A61,2,A124,74,1,2,2
A12,A34,A61,2,A123,34,2,1,2
A11,A30,A61,3,A122,31,1,1,1
A13,A32,A61,2,A121,23,1,1,1
A12,A32,A61,4,A121,25,1,1,1
A14,A32,A61,4,A123,38,1,1,1
A14,A32,A65,4,A123,25,2,1,1
A14,A32,A61,1,A121,32,1,2,1
A11,A34,A61,2,A124,44,2,2,1
A13,A34,A61,4,A124,56,1,1,1
A14,A34,A61,4,A123,32,2,1,1
A12,A32,A62,4,A122,24,1,1,2
A14,A34,A62,2,A123,24,2,1,2
A14,A34,A61,4,A123,43,1,1,1
A14,A34,A65,1,A121,49,1,1,1
A11,A31,A61,2,A123,37,1,1,2
A14,A32,A61,2,A122,30,1,1,1
A12,A32,A64,1,A121,19,1,1,1
A12,A33,A62,2,A124,32,1,1,1
A12,A32,A61,1,A121,46,2,1,2
A14,A32,A61,3,A121,39,1,1,1
A14,A32,A63,3,A123,26,1,1,1
A14,A34,A61,2,A122,35,2,2,1
A14,A34,A61,4,A123,29,2,1,1
A11,A34,A61,4,A123,65,2,1,1
A12,A33,A61,2,A123,29,2,1,1
A14,A30,A61,2,A122,34,2,1,1
A11,A34,A61,2,A121,36,2,2,1
A11,A32,A61,4,A121,27,1,1,1
A11,A32,A61,2,A121,36,1,1,1
A14,A33,A61,2,A123,26,2,1,1
A12,A32,A62,3,A123,22,1,1,2
A11,A30,A61,1,A122,26,1,1,2
A14,A33,A64,3,A122,30,2,1,1
A11,A32,A61,4,A122,24,1,1,2
A12,A32,A61,2,A123,30,2,1,1
A13,A34,A61,2,A123,33,1,1,2
A11,A31,A61,4,A121,24,1,1,2
A12,A32,A61,4,A122,67,2,1,1
A14,A34,A65,3,A123,33,2,1,1
A14,A32,A61,4,A121,26,1,1,1
A12,A33,A65,4,A123,42,2,1,1
A14,A34,A61,2,A122,31,2,1,2
A14,A32,A61,4,A121,33,1,1,1
A13,A32,A61,4,A124,38,1,2,2
A12,A34,A61,2,A124,41,1,1,1
A14,A34,A61,4,A124,27,2,1,1
A13,A34,A61,4,A122,47,1,1,1
A14,A34,A62,3,A122,27,2,1,1
A14,A32,A61,2,A122,42,1,1,1
A14,A33,A61,4,A121,33,2,1,1
A14,A32,A65,4,A124,34,1,2,1
A11,A32,A64,1,A122,31,1,2,1
A14,A34,A63,4,A122,32,2,1,1
A14,A34,A65,1,A123,63,2,1,1
A13,A30,A61,4,A123,34,2,1,2
A11,A32,A61,4,A123,25,2,1,2
A11,A34,A61,3,A122,28,2,1,1
A14,A34,A61,4,A123,25,2,1,1
A14,A34,A64,4,A123,38,2,1,1
A12,A30,A61,2,A121,31,1,1,1
A14,A34,A65,4,A123,38,2,2,1
A14,A32,A62,2,A122,22,1,1,1
A14,A33,A65,4,A123,54,2,1,1
A11,A32,A61,4,A124,46,1,2,2
A12,A33,A61,2,A122,54,1,1,1
A14,A34,A61,4,A121,46,2,1,1
A11,A34,A61,4,A122,33,2,1,2
A11,A32,A61,3,A122,29,1,1,2
A14,A34,A64,4,A121,32,2,2,1
A14,A32,A61,4,A123,28,1,1,1
A11,A32,A61,4,A122,53,1,1,2
A12,A32,A61,2,A123,23,1,1,2
A14,A31,A65,3,A121,40,2,2,1
A12,A34,A61,3,A123,34,2,1,1
A11,A32,A62,1,A122,33,1,1,2
A14,A32,A65,4,A123,58,1,1,1
A12,A32,A61,4,A123,22,1,1,2
A13,A32,A61,3,A121,28,1,1,2
A11,A33,A61,2,A123,24,2,1,2
A14,A32,A63,3,A123,35,2,1,2
A14,A33,A61,4,A123,47,2,2,2
