@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,2745,A152,A173,A192,1
A14,1867,A152,A173,A192,1
A14,5045,A152,A173,A192,1
A12,4351,A152,A172,A192,1
A14,2069,A152,A173,A191,1
A13,781,A153,A173,A192,1
A11,2241,A151,A172,A191,1
A12,2337,A152,A173,A191,1
A14,2759,A152,A173,A191,1
A14,4454,A152,A173,A191,1
A12,2622,A152,A173,A191,1
A13,1275,A152,A173,A192,1
A12,2896,A152,A173,A191,1
A14,5248,A152,A173,A191,1
A14,1544,A152,A172,A191,1
A13,4473,A152,A173,A191,1
A14,10144,A152,A173,A192,1
A14,2670,A152,A174,A192,1
A12,2326,A152,A173,A191,1
A11,6187,A151,A173,A191,1
A13,3913,A152,A173,A192,1
A14,996,A152,A173,A191,1
A11,3416,A152,A174,A191,1
A14,1393,A152,A173,A192,1
A14,10222,A152,A173,A192,1
A11,5371,A152,A173,A191,1
A14,1503,A151,A173,A191,1
A11,4020,A152,A173,A191,1
A11,975,A152,A173,A191,1
A11,2812,A151,A173,A191,1
A11,3249,A153,A174,A192,1
A14,3074,A152,A173,A191,1
A12,2930,A152,A173,A191,1
A13,2923,A152,A174,A192,1
A12,1158,A152,A173,A192,1
A12,7308,A153,A174,A192,1
A12,7418,A152,A172,A191,1
A12,454,A152,A172,A191,1
A12,958,A152,A172,A191,1
A11,2214,A152,A172,A191,1
A14,2331,A152,A173,A192,1
A14,1569,A152,A172,A191,1
A14,3527,A152,A174,A192,1
A14,2186,A151,A172,A191,1
A11,3763,A152,A172,A191,1
A12,7374,A152,A174,A192,1
A11,15857,A152,A174,A191,1
A11,4788,A152,A173,A191,1
A14,4686,A153,A174,A192,1
A14,1743,A152,A172,A191,1
A11,701,A152,A172,A191,1
A14,1316,A152,A172,A191,1
A14,1585,A152,A173,A191,1
A14,1264,A151,A172,A191,1
A14,1287,A152,A173,A192,1
A14,2831,A152,A173,A192,1
A11,2348,A152,A173,A192,1
A14,3342,A152,A173,A192,1
A12,2415,A152,A173,A191,1
A14,2238,A152,A173,A191,1
A11,1797,A152,A172,A191,1
A12,3612,A152,A173,A192,1
A12,7432,A151,A173,A191,1
A12,5954,A152,A172,A191,1
A14,5511,A152,A173,A191,1
A14,9055,A153,A172,A192,1
A14,640,A152,A172,A191,1
A14,4594,A152,A173,A192,1
A12,1919,A151,A173,A192,1
A14,727,A153,A173,A192,1
A14,2611,A152,A173,A191,1
A14,1076,A152,A173,A192,1
A11,2442,A152,A174,A192,1
A11,338,A152,A173,A191,1
A12,3244,A152,A173,A192,1
A14,1346,A153,A173,A192,1
A14,1455,A152,A172,A191,1
A11,3509,A152,A173,A191,1
A11,7882,A153,A173,A191,1
A12,882,A152,A173,A191,1
A14,5801,A151,A173,A192,1
A14,1543,A152,A173,A191,1
A14,886,A152,A173,A191,1
A13,1330,A152,A173,A191,1
A14,3868,A151,A174,A192,1
A14,1413,A152,A173,A191,1
A14,2507,A153,A172,A191,1
A12,3496,A152,A173,A192,1
A14,1338,A152,A173,A191,1
A14,2788,A152,A173,A191,1
A14,6527,A153,A173,A192,1
A14,10875,A152,A173,A192,1
A13,3016,A152,A173,A191,1
A11,2659,A152,A173,A191,1
A14,4042,A152,A173,A192,1
A11,2132,A151,A173,A191,1
A14,2051,A152,A173,A191,1
A14,930,A152,A173,A191,1
A12,1092,A152,A173,A192,1
A13,4796,A153,A173,A191,1
A12,1199,A152,A174,A192,1
A12,3069,A153,A173,A191,1
A14,2782,A152,A174,A191,1
A14,6614,A152,A174,A192,1
A13,2360,A152,A173,A192,1
A12,1050,A152,A174,A192,1
A12,754,A152,A173,A191,1
A11,1038,A152,A173,A192,1
A14,1532,A152,A173,A191,1
A12,1068,A152,A173,A191,1
A13,392,A151,A173,A192,1
A12,276,A151,A172,A191,1
A11,666,A152,A172,A192,1
A14,3105,A152,A173,A191,1
A12,2333,A152,A172,A191,1
A14,894,A152,A173,A192,1
A11,1747,A152,A172,A191,1
A12,6403,A152,A173,A191,1
A11,3660,A152,A173,A191,1
A11,2136,A152,A173,A191,1
A14,1169,A152,A173,A192,1
A14,1546,A152,A172,A191,1
A12,3573,A152,A172,A191,1
A12,5084,A152,A173,A192,1
A11,1880,A152,A174,A192,1
A12,8487,A152,A173,A191,1
A12,1322,A152,A173,A191,1
A14,3595,A152,A173,A191,1
A12,4771,A152,A173,A191,1
A14,1582,A152,A173,A191,1
A14,522,A152,A173,A192,1
A12,1941,A152,A172,A192,1
A14,2978,A152,A173,A192,1
A14,2697,A152,A173,A191,1
A11,1138,A152,A172,A191,1
A14,1520,A152,A173,A191,1
A14,1478,A152,A173,A191,1
A12,3990,A152,A171,A191,1
A12,1913,A152,A173,A192,1
A14,5324,A153,A173,A191,1
A12,3878,A152,A173,A192,1
A11,2384,A151,A172,A191,1
A14,6761,A152,A174,A192,1
A14,1934,A152,A173,A191,1
A11,571,A152,A173,A191,1
A14,1300,A153,A173,A191,1
A12,2862,A153,A173,A191,1
A14,10366,A152,A174,A192,1
A12,2728,A152,A173,A192,1
A14,3577,A151,A173,A191,1
A11,6579,A153,A174,A192,1
A12,3758,A151,A171,A191,1
A14,1595,A152,A173,A191,1
A14,5771,A152,A173,A191,1
A11,8471,A151,A173,A192,1
