@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-3,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Customer {1,2}

@data
6,A34,1
24,A32,1
6,A30,1
10,A32,1
9,A32,1
15,A34,1
36,A32,1
12,A34,1
15,A32,1
12,A34,1
12,A34,2
36,A34,2
12,A32,2
15,A32,1
12,A34,1
36,A32,1
24,A33,1
24,A32,1
24,A33,2
12,A34,1
12,A34,1
12,A32,1
24,A32,1
12,A34,1
12,A31,1
12,A34,1
24,A32,1
24,A33,1
12,A31,2
11,A34,1
15,A34,1
18,A31,1
48,A32,1
36,A31,2
24,A32,1
24,A34,1
18,A32,1
18,A32,1
9,A34,2
36,A33,2
30,A32,2
18,A34,1
18,A34,1
18,A32,1
24,A32,1
18,A32,2
12,A32,2
24,A32,2
12,A32,2
6,A32,1
12,A32,1
12,A32,2
6,A32,1
18,A34,2
12,A32,1
6,A34,1
6,A32,1
12,A34,1
36,A32,2
24,A32,2
24,A34,2
24,A32,1
36,A34,2
6,A32,1
18,A32,2
36,A32,2
6,A32,1
12,A32,2
12,A34,1
48,A32,2
18,A34,2
24,A34,1
24,A32,2
9,A32,1
18,A32,2
24,A31,2
12,A32,2
21,A32,1
48,A30,1
18,A32,2
12,A32,2
14,A32,1
24,A34,1
36,A33,1
6,A34,1
9,A32,1
4,A34,1
15,A32,1
21,A34,1
24,A32,1
6,A32,1
48,A33,1
4,A32,1
24,A32,1
36,A33,1
6,A34,1
24,A34,1
15,A32,1
24,A34,1
12,A32,1
