@relation german

@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Guarantors {A101,A103,A102}
@attribute Property {A121,A122,A124,A123}
@attribute Customer {1,2}

@data
24,A41,A101,A121,1
12,A40,A101,A122,1
6,A41,A101,A122,1
18,A41,A101,A123,1
9,A40,A101,A121,1
24,A41,A101,A123,1
12,A40,A101,A121,1
10,A40,A101,A124,1
30,A41,A101,A122,1
24,A40,A101,A124,1
10,A40,A101,A124,1
24,A43,A101,A121,1
12,A46,A101,A123,1
18,A40,A101,A124,1
12,A43,A103,A121,1
24,A49,A101,A122,1
12,A40,A101,A122,1
6,A40,A101,A123,1
8,A40,A101,A121,1
6,A43,A101,A123,1
9,A43,A101,A123,1
18,A49,A101,A122,1
30,A49,A101,A122,1
36,A46,A101,A123,1
12,A46,A101,A123,1
6,A43,A101,A121,1
12,A43,A101,A121,1
11,A40,A101,A123,1
7,A43,A103,A121,1
30,A42,A103,A121,1
18,A42,A101,A121,1
9,A40,A101,A124,1
24,A40,A103,A121,1
24,A40,A101,A121,1
24,A42,A101,A122,1
18,A49,A101,A122,1
36,A49,A101,A122,1
12,A40,A101,A121,1
24,A40,A101,A121,1
12,A40,A101,A121,1
24,A42,A101,A122,1
12,A42,A103,A122,1
6,A43,A101,A122,1
18,A42,A101,A122,1
16,A40,A101,A123,1
48,A43,A101,A123,1
24,A43,A101,A123,1
12,A41,A101,A123,1
24,A43,A101,A122,1
18,A43,A103,A121,1
24,A45,A101,A121,1
36,A43,A101,A123,1
36,A41,A101,A122,1
36,A43,A101,A123,1
12,A43,A101,A121,1
48,A43,A101,A123,1
12,A43,A103,A121,1
9,A40,A101,A121,1
13,A43,A103,A121,1
12,A40,A101,A121,1
10,A40,A101,A121,1
18,A40,A101,A122,1
15,A41,A101,A124,1
14,A40,A101,A124,1
27,A49,A101,A123,1
36,A42,A101,A122,1
24,A42,A101,A121,1
15,A43,A101,A122,1
12,A45,A101,A121,1
12,A49,A101,A124,1
28,A41,A103,A121,1
36,A41,A101,A123,1
30,A49,A101,A122,1
27,A49,A101,A122,1
18,A43,A101,A124,1
36,A40,A101,A124,1
12,A42,A101,A121,1
24,A42,A102,A124,1
12,A43,A101,A124,1
18,A43,A101,A123,1
11,A40,A101,A122,1
12,A43,A101,A123,1
42,A41,A101,A124,1
12,A42,A101,A121,1
12,A49,A101,A121,1
9,A42,A101,A123,1
6,A42,A101,A122,1
15,A42,A101,A122,1
24,A41,A101,A124,1
6,A43,A101,A121,1
12,A40,A101,A122,1
6,A40,A101,A123,1
15,A40,A101,A123,1
24,A41,A101,A123,1
12,A42,A101,A121,1
18,A49,A102,A121,1
18,A43,A103,A121,1
12,A40,A101,A121,1
10,A43,A101,A121,1
30,A43,A101,A123,1
12,A41,A101,A121,1
12,A43,A101,A121,1
12,A43,A101,A123,1
30,A42,A101,A122,1
12,A42,A101,A122,1
24,A41,A101,A124,1
18,A43,A101,A123,1
12,A43,A103,A121,1
12,A41,A101,A122,1
6,A43,A103,A121,1
11,A40,A101,A123,1
12,A43,A101,A122,1
9,A43,A101,A121,1
22,A43,A101,A123,1
6,A49,A101,A123,1
30,A43,A101,A122,1
15,A41,A101,A124,1
36,A410,A102,A123,1
24,A41,A101,A123,1
36,A43,A101,A121,1
6,A42,A101,A123,1
24,A42,A101,A122,1
36,A43,A101,A123,1
12,A40,A101,A123,1
15,A42,A101,A122,1
30,A42,A101,A122,1
6,A40,A101,A121,1
21,A41,A101,A121,1
15,A41,A101,A123,1
15,A41,A101,A122,1
27,A45,A101,A122,1
6,A42,A101,A122,1
48,A410,A101,A124,1
24,A40,A101,A123,1
9,A43,A101,A121,1
24,A42,A101,A123,1
12,A42,A101,A121,1
24,A43,A101,A123,1
24,A42,A101,A124,1
48,A49,A101,A123,1
42,A49,A101,A122,1
15,A42,A103,A122,1
11,A40,A101,A121,1
18,A42,A101,A122,1
6,A40,A101,A121,1
24,A43,A101,A123,1
24,A42,A101,A122,1
9,A43,A102,A123,1
24,A40,A101,A122,1
30,A40,A101,A121,1
24,A41,A101,A124,1
9,A42,A101,A123,1
20,A42,A101,A122,1
24,A40,A101,A121,1
12,A43,A101,A121,1
6,A43,A101,A124,1
60,A40,A101,A122,1
14,A49,A101,A121,1
8,A49,A101,A121,1
18,A49,A101,A122,1
18,A43,A101,A121,1
6,A44,A101,A121,1
12,A40,A103,A122,1
60,A43,A101,A123,1
15,A45,A101,A123,1
24,A42,A102,A122,1
24,A40,A102,A124,1
24,A40,A101,A121,1
20,A42,A101,A123,1
6,A45,A101,A122,1
7,A43,A103,A121,1
24,A43,A101,A123,1
12,A41,A101,A123,1
10,A43,A101,A122,1
12,A40,A101,A123,1
24,A410,A102,A124,1
10,A42,A101,A123,1
24,A42,A101,A122,1
18,A43,A101,A121,1
12,A42,A102,A122,1
24,A41,A101,A122,1
36,A43,A101,A121,1
6,A48,A101,A122,1
6,A42,A101,A121,1
24,A42,A101,A123,1
12,A42,A101,A123,1
6,A40,A103,A122,1
18,A40,A101,A123,1
18,A43,A101,A122,1
21,A40,A101,A121,1
12,A40,A101,A122,1
6,A43,A101,A123,1
12,A43,A101,A123,1
24,A41,A101,A124,1
10,A41,A101,A121,1
12,A42,A101,A121,1
6,A43,A101,A122,1
18,A40,A101,A123,1
36,A41,A101,A123,1
30,A43,A101,A123,1
12,A43,A101,A123,1
24,A43,A101,A123,1
24,A43,A101,A121,1
10,A40,A101,A121,1
24,A41,A101,A122,1
36,A40,A101,A121,1
15,A43,A101,A124,1
15,A45,A103,A121,1
12,A43,A103,A121,1
18,A43,A101,A121,1
12,A48,A101,A121,1
11,A43,A101,A122,1
24,A41,A101,A124,1
12,A46,A101,A122,1
6,A43,A101,A123,1
30,A43,A101,A123,1
42,A42,A103,A122,1
12,A43,A101,A123,1
24,A49,A101,A122,1
24,A43,A101,A123,1
18,A42,A101,A122,1
10,A40,A101,A123,1
6,A43,A101,A121,1
18,A41,A101,A124,1
12,A49,A101,A121,1
12,A48,A101,A123,1
24,A43,A101,A123,1
12,A43,A101,A122,1
12,A43,A101,A123,1
24,A43,A101,A123,1
12,A43,A101,A121,1
12,A43,A101,A121,1
42,A41,A101,A124,1
7,A43,A101,A124,1
24,A42,A101,A124,1
9,A40,A103,A121,1
12,A42,A101,A124,1
24,A40,A101,A122,1
24,A49,A101,A123,1
24,A42,A101,A122,1
12,A41,A101,A123,1
12,A49,A101,A121,1
24,A43,A102,A121,1
36,A41,A101,A122,1
6,A42,A101,A122,1
18,A40,A101,A122,1
12,A43,A101,A123,1
18,A42,A101,A123,1
24,A49,A101,A121,1
15,A43,A101,A123,1
18,A40,A101,A123,1
18,A46,A101,A123,1
12,A48,A101,A121,1
36,A41,A101,A124,1
24,A46,A101,A124,1
24,A41,A101,A123,1
30,A43,A101,A122,1
36,A43,A101,A124,1
33,A49,A101,A123,1
27,A49,A101,A123,1
36,A45,A101,A123,1
10,A42,A102,A121,1
60,A40,A101,A124,1
6,A43,A101,A121,1
42,A49,A101,A121,1
12,A40,A101,A123,1
12,A43,A101,A121,1
24,A410,A103,A121,1
12,A40,A101,A123,1
12,A46,A101,A121,1
30,A49,A101,A123,1
18,A43,A101,A123,1
6,A43,A101,A122,1
18,A49,A101,A123,1
6,A40,A101,A121,1
12,A40,A101,A122,1
10,A43,A101,A121,1
12,A42,A101,A121,1
12,A43,A102,A121,1
24,A40,A101,A123,1
12,A40,A101,A123,1
6,A45,A101,A121,1
6,A42,A101,A121,1
12,A42,A101,A121,1
15,A49,A101,A122,1
36,A49,A101,A122,1
18,A43,A101,A121,1
15,A43,A101,A123,1
21,A42,A101,A123,1
12,A46,A101,A124,1
36,A43,A101,A123,1
24,A40,A101,A123,1
27,A41,A101,A123,1
6,A40,A101,A124,1
12,A40,A101,A121,1
28,A43,A101,A123,1
21,A42,A101,A121,1
15,A46,A101,A122,1
12,A40,A101,A124,1
4,A43,A101,A121,1
12,A43,A101,A121,1
21,A41,A101,A123,1
48,A40,A102,A124,1
9,A49,A101,A123,1
13,A43,A101,A121,1
24,A46,A101,A123,1
39,A46,A101,A124,1
30,A43,A101,A122,1
36,A42,A103,A122,1
15,A43,A103,A121,1
15,A41,A101,A123,1
24,A41,A101,A124,1
12,A43,A101,A123,1
6,A43,A101,A121,1
6,A43,A101,A122,1
15,A49,A101,A123,1
42,A42,A101,A121,1
24,A43,A101,A121,1
18,A40,A101,A123,1
21,A43,A101,A122,1
18,A40,A101,A123,1
4,A40,A101,A121,1
15,A40,A101,A124,1
48,A43,A101,A123,1
12,A42,A101,A122,1
24,A41,A101,A124,1
15,A44,A101,A121,1
36,A49,A101,A121,1
21,A41,A101,A123,1
48,A40,A101,A123,1
48,A43,A101,A121,1
48,A41,A101,A123,1
24,A40,A101,A123,1
18,A40,A101,A121,1
15,A43,A101,A121,1
36,A42,A101,A122,1
18,A43,A101,A121,1
36,A42,A101,A123,1
18,A45,A101,A121,1
12,A43,A101,A121,1
9,A45,A103,A121,1
39,A41,A101,A123,1
48,A410,A101,A124,1
24,A43,A103,A123,1
24,A49,A101,A124,1
36,A41,A101,A124,1
15,A40,A101,A124,1
42,A45,A102,A123,1
20,A40,A101,A121,1
24,A40,A101,A123,1
15,A46,A101,A123,1
6,A40,A101,A122,1
12,A43,A101,A121,1
18,A42,A101,A124,1
24,A40,A101,A123,1
24,A42,A101,A123,1
24,A41,A101,A122,1
24,A43,A101,A122,1
12,A40,A101,A122,1
12,A43,A101,A123,1
6,A42,A101,A121,1
11,A42,A101,A121,1
6,A40,A101,A122,1
9,A43,A101,A121,1
6,A43,A101,A121,1
24,A42,A101,A123,1
12,A42,A101,A123,1
12,A40,A101,A121,1
10,A40,A101,A121,1
18,A43,A101,A123,1
12,A49,A103,A121,1
21,A49,A101,A122,1
15,A43,A101,A122,1
12,A46,A101,A122,1
24,A41,A103,A124,1
48,A49,A101,A123,1
24,A41,A101,A124,1
12,A40,A101,A121,1
15,A43,A101,A123,1
36,A43,A101,A123,1
15,A43,A101,A122,1
10,A40,A102,A122,1
18,A42,A101,A123,1
30,A41,A101,A123,1
12,A40,A101,A121,1
30,A43,A101,A123,1
36,A41,A101,A123,1
27,A41,A101,A123,1
24,A43,A101,A123,1
60,A43,A101,A124,1
12,A43,A101,A124,1
12,A43,A101,A124,1
24,A43,A101,A122,1
48,A40,A101,A123,1
24,A43,A101,A122,1
15,A43,A101,A123,1
15,A42,A101,A123,1
9,A40,A101,A123,1
15,A42,A101,A122,1
24,A43,A101,A123,1
18,A43,A101,A123,1
12,A41,A101,A124,1
12,A42,A101,A123,1
24,A43,A101,A124,1
9,A43,A101,A121,1
24,A41,A101,A123,1
18,A49,A101,A121,1
24,A42,A101,A121,1
12,A40,A101,A124,1
15,A40,A101,A121,1
15,A40,A101,A123,1
18,A43,A103,A121,1
48,A41,A101,A122,1
11,A40,A101,A121,1
24,A41,A101,A123,1
12,A43,A101,A123,1
9,A44,A101,A121,1
24,A42,A101,A124,1
6,A40,A101,A121,1
24,A41,A101,A123,1
13,A43,A103,A122,1
18,A43,A101,A123,1
24,A43,A101,A123,1
9,A42,A101,A121,1
24,A42,A101,A121,1
12,A43,A102,A121,1
24,A40,A101,A122,1
10,A40,A101,A121,1
12,A42,A101,A121,1
9,A43,A101,A121,1
60,A43,A101,A121,1
10,A42,A101,A123,1
15,A41,A101,A123,1
12,A43,A102,A121,1
10,A42,A101,A122,1
12,A46,A101,A122,1
15,A49,A101,A122,1
36,A40,A101,A123,1
21,A41,A101,A121,1
30,A42,A101,A123,1
36,A41,A101,A123,1
6,A43,A101,A124,1
22,A40,A101,A122,1
10,A44,A101,A123,1
9,A46,A101,A122,1
18,A49,A101,A123,1
21,A42,A101,A122,1
15,A42,A101,A122,1
4,A42,A101,A121,1
11,A49,A101,A121,1
15,A42,A101,A121,1
9,A43,A101,A121,1
7,A43,A101,A122,1
10,A40,A102,A122,1
27,A43,A101,A123,1
15,A43,A103,A121,1
20,A410,A101,A123,1
12,A43,A101,A121,1
36,A43,A101,A123,1
18,A42,A101,A122,1
24,A41,A103,A123,1
10,A40,A101,A124,1
6,A46,A101,A124,1
12,A43,A101,A123,1
20,A41,A101,A123,1
10,A46,A101,A124,1
27,A42,A101,A121,1
9,A46,A101,A123,1
21,A43,A101,A122,1
6,A40,A101,A121,1
18,A43,A103,A121,1
30,A49,A101,A123,1
8,A410,A101,A124,1
12,A42,A101,A121,1
9,A40,A101,A121,1
6,A40,A101,A123,1
26,A41,A101,A123,1
24,A41,A101,A122,1
18,A42,A101,A124,1
9,A49,A101,A121,1
10,A43,A101,A122,1
9,A43,A101,A121,1
10,A41,A102,A121,1
30,A43,A101,A123,1
12,A43,A101,A121,1
18,A43,A102,A124,1
12,A42,A103,A122,1
11,A43,A101,A121,1
12,A43,A101,A121,1
21,A40,A102,A121,1
36,A40,A101,A123,1
30,A41,A101,A122,1
30,A43,A101,A123,1
6,A48,A101,A122,1
12,A43,A101,A123,1
12,A40,A101,A121,1
