@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,9,14,18-19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,6,A34,A65,A93,A143,1,A192,1
A14,24,A32,A63,A93,A143,1,A191,1
A14,6,A30,A61,A94,A143,1,A191,1
A13,10,A32,A61,A93,A143,1,A192,1
A12,9,A32,A61,A93,A143,1,A191,1
A12,15,A34,A65,A93,A143,1,A192,1
A14,36,A32,A61,A92,A141,1,A191,1
A11,12,A34,A61,A93,A143,1,A191,1
A14,15,A32,A63,A93,A142,1,A192,1
A14,12,A34,A61,A93,A143,1,A191,1
A14,12,A34,A65,A92,A141,2,A191,2
A14,36,A34,A61,A92,A142,1,A192,2
A12,12,A32,A61,A93,A143,1,A191,2
A14,15,A32,A61,A93,A141,1,A191,1
A14,12,A34,A65,A92,A143,1,A192,1
A13,36,A32,A61,A93,A143,1,A191,1
A12,24,A33,A62,A93,A143,1,A192,1
A12,24,A32,A62,A93,A141,1,A192,1
A12,24,A33,A61,A92,A143,1,A192,2
A14,12,A34,A61,A93,A143,2,A191,1
A12,12,A34,A61,A93,A143,1,A191,1
A12,12,A32,A61,A94,A141,1,A191,1
A11,24,A32,A61,A93,A141,1,A191,1
A14,12,A34,A61,A92,A143,1,A191,1
A14,12,A31,A63,A92,A143,2,A191,1
A14,12,A34,A61,A93,A143,1,A191,1
A13,24,A32,A61,A93,A143,1,A191,1
A14,24,A33,A62,A93,A143,1,A191,1
A11,12,A31,A61,A91,A143,1,A191,2
A14,11,A34,A62,A92,A143,1,A191,1
A14,15,A34,A64,A93,A143,1,A192,1
A13,18,A31,A65,A93,A141,1,A191,1
A12,48,A32,A65,A93,A141,1,A192,1
A11,36,A31,A61,A93,A141,1,A191,2
A11,24,A32,A61,A93,A143,1,A192,1
A12,24,A34,A61,A92,A143,1,A192,1
A12,18,A32,A63,A94,A143,1,A191,1
A12,18,A32,A61,A93,A141,1,A192,1
A12,9,A34,A64,A93,A143,2,A191,2
A14,36,A33,A61,A93,A143,1,A192,2
A11,30,A32,A61,A92,A143,1,A191,2
A14,18,A34,A61,A93,A143,1,A191,1
A14,18,A34,A61,A93,A143,1,A192,1
A14,18,A32,A65,A92,A143,1,A192,1
A12,24,A32,A61,A92,A143,1,A192,1
A12,18,A32,A65,A92,A143,1,A191,2
A12,12,A32,A65,A92,A141,1,A192,2
A12,24,A32,A61,A93,A141,1,A192,2
A12,12,A32,A65,A94,A143,1,A192,2
A14,6,A32,A63,A94,A143,1,A191,1
A14,12,A32,A61,A93,A143,1,A192,1
A14,12,A32,A61,A93,A141,2,A191,2
A14,6,A32,A61,A92,A143,1,A191,1
A12,18,A34,A61,A94,A143,1,A191,2
A12,12,A32,A62,A93,A143,1,A191,1
A14,6,A34,A62,A92,A143,1,A191,1
A12,6,A32,A65,A93,A143,1,A191,1
A11,12,A34,A61,A93,A143,2,A191,1
A12,36,A32,A62,A93,A143,1,A192,2
A11,24,A32,A61,A92,A143,1,A191,2
A12,24,A34,A62,A93,A141,2,A191,2
A14,24,A32,A61,A94,A143,1,A191,1
A14,36,A34,A61,A92,A143,1,A192,2
A11,6,A32,A62,A93,A143,1,A192,1
A11,18,A32,A61,A92,A143,1,A191,2
A11,36,A32,A61,A91,A143,1,A191,2
A11,6,A32,A61,A93,A143,2,A192,1
A12,12,A32,A61,A94,A143,1,A191,2
A14,12,A34,A61,A93,A143,1,A191,1
A11,48,A32,A61,A94,A143,1,A192,2
A12,18,A34,A61,A93,A143,1,A191,2
A14,24,A34,A64,A93,A143,1,A191,1
A11,24,A32,A61,A92,A143,1,A192,2
A12,9,A32,A61,A93,A143,1,A191,1
A11,18,A32,A61,A94,A143,1,A192,2
A11,24,A31,A65,A93,A142,1,A192,2
A11,12,A32,A62,A92,A143,1,A191,2
A11,21,A32,A64,A92,A141,1,A191,1
A12,48,A30,A65,A93,A141,1,A192,1
A11,18,A32,A61,A92,A143,1,A191,2
A14,12,A32,A63,A92,A143,1,A191,2
A11,14,A32,A61,A93,A143,1,A191,1
A14,24,A34,A61,A94,A143,1,A192,1
A12,36,A33,A62,A93,A143,2,A192,1
A11,6,A34,A65,A93,A143,2,A191,1
A12,9,A32,A63,A92,A143,1,A191,1
A14,4,A34,A61,A92,A143,2,A191,1
A11,15,A32,A61,A92,A143,1,A191,1
A14,21,A34,A61,A93,A143,1,A192,1
A13,24,A32,A61,A91,A143,1,A191,1
A12,6,A32,A61,A94,A141,1,A191,1
A12,48,A33,A65,A93,A143,2,A192,1
A14,4,A32,A61,A92,A143,2,A191,1
A14,24,A32,A61,A94,A143,1,A191,1
A14,36,A33,A63,A92,A143,1,A192,1
A13,6,A34,A61,A93,A143,2,A191,1
A11,24,A34,A62,A93,A143,1,A192,1
A14,15,A32,A65,A94,A143,1,A192,1
A12,24,A34,A61,A93,A143,1,A191,1
A14,12,A32,A61,A92,A143,1,A191,1
