@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,10,2848,A62,A102,32,A152,A173,1
A11,9,1288,A62,A103,48,A152,A173,1
A12,20,7057,A65,A101,36,A151,A174,1
A14,12,1255,A61,A101,61,A152,A172,1
A12,15,1537,A65,A103,50,A152,A173,1
A14,9,2134,A61,A101,48,A152,A173,1
A11,24,2325,A62,A101,32,A152,A173,1
A14,39,2569,A63,A101,24,A152,A173,1
A14,30,2333,A63,A101,30,A152,A174,1
A12,24,1201,A61,A101,26,A152,A173,1
A14,9,3074,A65,A101,33,A152,A173,1
A11,42,3394,A61,A102,65,A152,A171,1
A14,24,3868,A61,A101,41,A151,A174,1
A11,30,6187,A62,A101,24,A151,A173,1
A14,9,1244,A65,A101,41,A151,A172,1
A14,24,717,A65,A101,54,A152,A173,1
A14,12,996,A65,A101,23,A152,A173,1
A14,9,2301,A62,A101,22,A151,A173,1
A12,39,11760,A62,A101,32,A151,A173,1
A12,24,6403,A61,A101,33,A152,A173,1
A14,20,3485,A65,A101,44,A152,A173,1
A14,12,1934,A61,A101,26,A152,A173,1
A14,24,6313,A65,A101,41,A152,A174,1
A13,12,1474,A61,A101,33,A152,A174,1
A12,12,1318,A64,A101,54,A152,A173,1
A13,12,2247,A61,A101,36,A152,A173,1
A12,18,1941,A64,A101,35,A152,A172,1
A14,24,3430,A63,A101,31,A152,A173,1
A13,15,392,A61,A101,23,A151,A173,1
A14,9,2697,A61,A101,32,A152,A173,1
A12,48,12169,A65,A102,36,A153,A174,1
A14,24,937,A61,A101,27,A152,A172,1
A14,24,2223,A62,A101,52,A152,A173,1
A14,36,2613,A61,A101,27,A152,A173,1
A12,36,2323,A61,A101,24,A151,A173,1
A13,10,1347,A65,A101,27,A152,A173,1
A12,14,1410,A63,A101,35,A152,A173,1
A14,48,2751,A65,A101,38,A152,A173,1
A12,6,1050,A61,A101,35,A152,A174,1
A12,12,841,A62,A101,23,A151,A172,1
A12,21,2745,A64,A101,32,A152,A173,1
A14,18,1126,A65,A101,21,A151,A173,1
A14,6,1236,A63,A101,50,A151,A173,1
A13,12,409,A64,A101,42,A151,A173,1
A12,7,2329,A61,A103,45,A152,A173,1
A14,15,1459,A61,A101,43,A152,A172,1
A12,36,7432,A61,A101,54,A151,A173,1
A13,12,1297,A61,A101,23,A151,A173,1
A12,24,3878,A62,A101,37,A152,A173,1
A12,18,866,A61,A103,25,A152,A172,1
A11,8,1164,A61,A101,51,A153,A174,1
A14,18,1984,A61,A101,47,A153,A173,1
A12,24,4351,A65,A101,48,A152,A172,1
A14,24,4526,A61,A101,74,A152,A174,1
A11,18,1940,A61,A102,36,A153,A174,1
A12,15,1308,A61,A101,38,A152,A172,1
A14,18,2320,A61,A101,34,A152,A173,1
A14,12,2279,A65,A101,37,A153,A173,1
A14,24,1413,A61,A101,28,A152,A173,1
A13,15,1905,A61,A101,40,A151,A174,1
A12,11,1322,A64,A101,40,A152,A173,1
A14,12,2141,A62,A101,35,A152,A173,1
A14,18,1028,A61,A101,36,A152,A173,1
A14,54,9436,A65,A101,39,A152,A172,1
A14,6,1338,A63,A101,62,A152,A173,1
A11,30,8072,A65,A101,25,A152,A173,1
A14,9,2507,A63,A101,51,A153,A172,1
A11,18,2659,A64,A101,28,A152,A173,1
A11,42,7882,A61,A103,45,A153,A173,1
A11,12,1262,A65,A101,49,A152,A172,1
A11,21,3599,A61,A101,26,A151,A172,1
A14,15,1316,A63,A101,47,A152,A172,1
A14,12,3077,A61,A101,52,A152,A173,1
A14,12,2171,A61,A101,29,A152,A173,1
A14,48,12749,A63,A101,37,A152,A174,1
A14,15,3186,A64,A101,20,A151,A173,1
A14,24,4139,A62,A101,27,A152,A172,1
A12,48,12204,A65,A101,48,A152,A174,1
A12,24,1967,A61,A101,20,A152,A173,1
A14,24,6314,A61,A102,27,A152,A174,1
A13,18,3049,A61,A101,45,A152,A172,1
A14,18,1453,A61,A101,26,A152,A173,1
A11,15,1403,A61,A101,28,A151,A173,1
A12,9,2118,A61,A101,37,A152,A172,1
A14,12,1495,A61,A101,38,A152,A172,1
A11,12,2578,A61,A101,55,A153,A174,1
A14,27,4526,A64,A101,32,A152,A172,1
A12,16,1175,A61,A101,68,A153,A171,1
A14,24,1559,A61,A101,50,A152,A173,1
A12,12,3573,A61,A101,23,A152,A172,1
A11,12,1107,A61,A101,20,A151,A174,1
A14,12,640,A61,A101,49,A152,A172,1
A14,24,7814,A61,A101,38,A152,A174,1
A14,9,1224,A61,A101,30,A152,A173,1
A12,24,3512,A62,A101,38,A152,A173,1
A12,36,3990,A65,A101,29,A152,A171,1
A14,27,5190,A65,A101,48,A152,A173,1
A12,12,958,A61,A101,47,A152,A172,1
A14,12,1768,A61,A101,24,A151,A172,1
A14,12,2133,A65,A101,52,A153,A174,1
A12,12,1103,A61,A103,29,A152,A173,1
A14,24,1249,A61,A101,28,A152,A173,1
A13,12,1480,A63,A101,66,A153,A171,1
A11,12,2171,A61,A101,38,A152,A172,1
A14,36,5842,A61,A101,35,A152,A173,1
A11,15,1845,A61,A103,46,A151,A173,1
A14,12,1185,A61,A101,27,A152,A173,1
A14,24,929,A65,A101,31,A152,A173,1
A14,6,1750,A63,A101,45,A152,A172,1
A14,24,2603,A64,A101,28,A151,A173,1
A14,6,1543,A64,A101,33,A152,A173,1
A12,24,2333,A65,A101,29,A152,A172,1
A14,12,3331,A61,A101,42,A152,A173,1
A14,24,2670,A61,A101,35,A152,A174,1
A14,24,1927,A65,A101,33,A152,A173,1
A14,24,2424,A65,A101,53,A152,A173,1
A13,12,1330,A61,A101,26,A152,A173,1
A12,30,2991,A65,A101,25,A152,A173,1
A12,9,1919,A61,A101,35,A151,A173,1
A12,12,3617,A61,A101,28,A151,A173,1
A11,12,1526,A61,A101,66,A153,A174,1
A11,18,1049,A61,A101,21,A151,A173,1
A14,30,7596,A65,A101,63,A152,A173,1
A11,15,2511,A61,A101,23,A151,A173,1
A14,24,2463,A62,A101,27,A152,A173,1
A14,18,1820,A61,A101,30,A152,A174,1
A11,24,7721,A65,A101,30,A152,A173,1
A11,24,2924,A61,A103,63,A152,A173,1
A11,15,1478,A61,A101,44,A152,A173,1
A13,18,1445,A65,A101,49,A152,A172,1
A14,24,1278,A61,A101,36,A152,A174,1
A11,36,5493,A61,A101,42,A153,A173,1
A12,48,8358,A63,A101,30,A152,A173,1
A14,24,3757,A61,A102,62,A153,A173,1
A12,11,1577,A64,A101,20,A152,A173,1
A12,15,2326,A63,A101,27,A152,A173,1
A12,24,5743,A61,A101,24,A153,A173,1
A12,12,625,A61,A103,26,A152,A172,1
A14,6,518,A61,A101,29,A152,A173,1
A14,36,3595,A61,A101,28,A152,A173,1
A11,12,1498,A61,A101,23,A152,A173,1
A11,15,1053,A61,A101,27,A152,A173,1
A14,24,3972,A61,A101,25,A151,A173,1
A12,36,2862,A62,A101,30,A153,A173,1
A13,24,3749,A61,A101,26,A152,A173,1
A13,10,1275,A61,A101,23,A152,A173,1
A14,18,2662,A65,A101,32,A152,A173,1
