@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6,10,13,15,17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,10,2241,A61,A101,48,A151,A172,1
A12,7,2415,A61,A103,34,A152,A173,1
A12,45,4746,A61,A101,25,A152,A172,2
A14,7,730,A65,A101,46,A151,A172,1
A12,18,1295,A61,A101,27,A152,A173,1
A11,12,1409,A61,A101,54,A152,A173,1
A14,6,932,A61,A101,24,A152,A173,1
A14,12,2445,A65,A101,26,A151,A173,1
A11,42,7174,A65,A101,30,A152,A174,2
A11,12,2121,A61,A101,30,A152,A173,1
A12,48,8487,A65,A101,24,A152,A173,1
A12,48,3566,A62,A101,30,A152,A173,1
A11,21,3414,A61,A101,26,A152,A173,2
A14,6,2108,A61,A101,29,A151,A173,1
A12,24,2760,A65,A101,36,A153,A173,1
A11,12,1168,A61,A101,27,A152,A172,1
A11,30,10623,A61,A101,38,A153,A174,1
A14,36,3835,A65,A101,45,A152,A172,1
A14,36,3342,A65,A101,51,A152,A173,1
A12,6,932,A65,A101,39,A152,A172,1
A14,10,1364,A61,A101,64,A152,A173,1
A14,12,707,A61,A101,30,A152,A173,1
A14,6,1204,A62,A101,35,A151,A173,1
A12,30,2150,A61,A103,24,A152,A173,2
A14,15,3812,A62,A101,23,A152,A173,1
A14,12,2748,A61,A101,57,A153,A172,1
A12,15,802,A61,A101,37,A152,A173,2
A14,12,1076,A61,A101,26,A152,A173,1
A14,48,7629,A65,A101,46,A152,A174,1
A14,10,1287,A65,A102,45,A152,A172,1
A13,24,1344,A65,A101,37,A152,A172,2
A11,12,727,A62,A101,33,A152,A172,2
A11,15,1275,A65,A101,24,A151,A173,2
A13,10,3949,A61,A103,37,A152,A172,1
A12,24,3758,A63,A101,23,A151,A171,1
A14,6,1766,A61,A101,21,A151,A173,1
A11,20,2212,A65,A101,39,A152,A173,1
A12,18,12976,A61,A101,38,A153,A174,2
A14,30,4272,A62,A101,26,A152,A172,1
A14,24,1516,A64,A101,43,A152,A172,1
A11,36,1842,A61,A101,34,A152,A173,2
A11,24,4817,A61,A102,31,A152,A173,2
A12,12,754,A65,A101,38,A152,A173,1
A14,48,7238,A65,A101,32,A152,A173,1
A13,24,5152,A61,A101,25,A152,A173,1
A12,27,8318,A61,A101,42,A153,A174,2
A11,24,2996,A65,A101,20,A152,A173,2
A13,6,1323,A62,A101,28,A152,A173,1
A13,9,1126,A62,A101,49,A152,A173,1
A14,15,1532,A62,A101,31,A152,A173,1
A14,24,3105,A65,A101,25,A152,A173,1
A12,18,3612,A61,A101,37,A152,A173,1
A14,24,1552,A61,A101,32,A152,A173,1
A12,24,4712,A65,A101,37,A152,A174,1
A12,12,3124,A61,A101,49,A152,A172,1
A11,12,385,A61,A101,58,A152,A172,1
A12,6,931,A62,A101,32,A152,A172,2
A12,21,3652,A61,A101,27,A152,A173,1
A14,18,1530,A61,A101,32,A152,A173,2
A12,24,1355,A61,A101,25,A152,A172,2
A11,42,4370,A61,A101,26,A152,A173,2
A14,21,2580,A63,A101,41,A152,A172,2
A14,24,2284,A61,A101,28,A152,A173,1
A14,18,1800,A61,A101,24,A152,A173,1
A14,21,2476,A65,A101,46,A152,A174,1
A14,30,3077,A65,A101,40,A152,A173,1
A14,27,2570,A61,A101,21,A151,A173,2
A12,48,6416,A61,A101,59,A151,A173,2
A11,18,4380,A62,A101,35,A152,A172,1
A11,6,428,A61,A101,49,A152,A173,1
A11,24,1285,A65,A101,32,A151,A173,2
A11,12,2214,A61,A101,24,A152,A172,1
A14,24,3062,A63,A101,32,A151,A173,1
A12,12,7472,A65,A101,24,A151,A171,1
A11,36,9271,A61,A101,24,A152,A173,2
A12,42,9283,A61,A101,55,A153,A174,1
A12,15,1778,A61,A101,26,A151,A171,2
A11,48,3051,A61,A101,54,A152,A173,2
A11,36,15857,A61,A102,43,A152,A174,1
A11,21,1602,A61,A101,30,A152,A173,1
A11,36,8335,A65,A101,47,A153,A173,2
A14,24,2375,A63,A101,44,A152,A173,1
A14,18,1943,A61,A101,23,A152,A173,2
A11,12,709,A61,A101,57,A152,A172,2
A14,10,2210,A61,A101,25,A151,A172,2
A11,12,697,A61,A101,46,A152,A173,2
A11,48,10297,A61,A101,39,A153,A173,2
A12,6,454,A61,A101,22,A152,A172,1
A12,30,1715,A65,A101,26,A152,A173,1
A14,15,3568,A61,A101,54,A151,A174,1
A11,11,3939,A61,A101,40,A152,A172,1
A12,15,1514,A62,A103,22,A152,A173,1
A13,24,1258,A63,A101,57,A152,A172,1
A12,18,2427,A65,A101,42,A152,A173,1
A14,24,2028,A61,A101,30,A152,A172,1
A13,42,6289,A61,A101,33,A152,A173,1
A14,12,3565,A65,A101,37,A152,A172,1
A14,15,1569,A62,A101,34,A152,A172,1
A11,36,3959,A61,A101,30,A152,A174,1
A11,30,3857,A61,A101,40,A152,A174,1
