@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute Property {A121,A122,A124,A123}
@attribute Housing {A152,A153,A151}
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A64,3,A123,A152,1,2,1
A14,A61,2,A121,A152,1,1,1
A11,A61,4,A122,A152,1,1,1
A14,A61,2,A122,A152,2,1,1
A14,A65,4,A124,A153,2,1,1
A14,A62,2,A122,A152,2,1,1
A11,A61,4,A124,A153,2,1,1
A11,A61,2,A121,A152,1,1,1
A12,A61,3,A121,A152,2,1,1
A14,A63,3,A122,A152,2,1,1
A14,A62,1,A124,A152,1,1,1
A12,A62,4,A123,A152,1,1,1
A13,A62,4,A121,A152,1,1,1
A11,A61,4,A121,A151,1,1,1
A12,A61,4,A121,A152,1,1,1
A11,A61,1,A122,A152,1,1,1
A14,A65,4,A123,A151,1,1,1
A14,A61,1,A121,A152,2,2,1
A14,A61,2,A123,A152,1,1,1
A11,A61,3,A121,A152,1,1,1
A14,A65,4,A122,A151,1,1,1
A11,A61,4,A122,A151,1,1,1
A14,A65,4,A123,A152,1,1,1
A11,A61,2,A121,A151,2,2,1
A11,A61,4,A123,A151,1,1,1
A14,A61,1,A121,A152,1,1,1
A14,A61,1,A121,A152,2,2,1
A14,A64,3,A123,A151,1,1,1
A11,A61,4,A124,A153,2,2,1
A14,A61,1,A123,A152,2,1,1
A11,A61,1,A122,A152,1,1,1
A12,A61,2,A123,A152,2,1,1
A11,A61,1,A122,A151,1,1,1
A14,A61,2,A124,A152,2,1,1
A14,A62,4,A122,A151,1,1,1
A14,A65,4,A121,A152,2,1,1
A14,A61,2,A123,A152,2,1,1
A14,A61,4,A123,A152,2,1,1
A13,A65,2,A121,A152,1,2,1
A11,A62,4,A123,A151,2,1,1
A12,A65,2,A123,A152,1,1,1
A14,A65,2,A123,A152,2,1,1
A12,A61,4,A121,A152,3,1,1
A14,A61,2,A123,A152,2,1,1
A14,A65,1,A121,A152,1,1,1
A14,A65,3,A123,A152,2,2,1
A14,A61,2,A122,A152,1,1,1
A11,A61,4,A124,A153,1,2,1
A12,A61,4,A121,A152,2,1,1
A14,A62,4,A121,A152,1,1,1
A14,A62,4,A122,A152,2,1,1
A14,A61,4,A122,A152,1,1,1
A12,A65,1,A123,A152,1,1,1
A14,A64,4,A121,A152,1,1,1
A14,A61,3,A121,A152,1,2,1
A11,A61,4,A121,A152,2,1,1
A14,A65,3,A122,A152,1,1,1
A11,A65,4,A123,A152,1,1,1
A11,A61,4,A122,A153,1,2,1
A12,A62,3,A124,A151,1,1,1
A12,A61,2,A123,A152,2,1,1
A11,A62,2,A122,A152,1,1,1
A11,A64,2,A123,A152,1,1,1
A13,A61,2,A123,A152,1,1,1
A13,A64,2,A121,A152,1,1,1
A14,A61,4,A121,A152,1,1,1
A12,A61,4,A121,A152,1,1,1
A11,A61,3,A122,A152,2,1,1
A14,A61,1,A121,A152,3,2,1
A14,A61,4,A122,A152,1,1,1
A12,A65,4,A124,A153,1,2,1
A12,A62,2,A123,A152,2,1,1
A12,A61,1,A124,A152,1,1,1
A14,A63,4,A124,A153,1,1,1
A14,A62,1,A124,A151,1,1,1
A14,A61,2,A123,A152,2,1,1
A11,A61,4,A124,A153,2,1,1
A12,A61,3,A121,A152,2,1,1
A14,A65,2,A122,A152,2,1,1
A11,A65,4,A122,A151,1,1,1
A12,A61,4,A122,A152,2,1,1
A11,A61,4,A124,A153,1,1,1
A14,A61,4,A123,A152,2,1,1
A12,A64,2,A123,A152,1,2,1
A11,A61,3,A121,A151,3,2,1
A14,A62,4,A121,A152,1,1,1
A14,A65,4,A121,A151,2,2,1
A14,A65,4,A121,A152,1,1,1
A11,A64,4,A122,A151,2,1,1
A11,A61,1,A124,A153,1,1,1
A14,A61,2,A121,A152,2,1,1
A11,A61,4,A122,A152,2,1,1
A14,A65,3,A123,A152,1,1,1
A11,A61,2,A121,A151,2,2,1
A14,A61,2,A123,A152,2,1,1
A14,A61,4,A121,A152,1,1,1
A14,A61,4,A122,A152,3,2,1
A14,A65,2,A121,A152,2,2,1
A14,A65,2,A123,A152,1,1,1
A11,A61,1,A122,A152,1,1,1
A11,A61,1,A122,A152,2,1,1
A12,A65,4,A124,A153,1,1,1
A14,A65,4,A123,A151,1,1,1
A14,A61,2,A123,A151,1,1,1
A13,A65,4,A123,A152,1,1,1
A14,A65,4,A124,A153,1,1,1
A14,A61,2,A124,A153,1,1,1
A14,A65,2,A123,A152,1,1,1
A13,A61,4,A122,A152,1,1,1
A14,A62,4,A122,A151,1,1,1
A12,A61,4,A123,A151,1,1,1
A14,A61,2,A123,A151,2,1,1
A14,A63,4,A121,A152,2,1,1
A12,A65,4,A121,A152,2,1,1
A12,A65,2,A123,A152,1,1,1
A14,A65,2,A123,A152,2,1,1
A14,A61,2,A124,A153,1,1,1
A14,A61,2,A123,A152,2,2,1
A11,A61,2,A123,A152,1,1,1
A12,A61,1,A124,A152,1,1,1
A14,A61,3,A124,A152,2,2,1
A11,A61,4,A124,A153,3,1,1
A12,A61,3,A123,A151,1,1,1
A14,A65,3,A123,A152,1,1,1
A12,A61,4,A121,A152,1,1,1
A12,A61,2,A122,A151,1,1,1
A12,A65,4,A124,A153,1,1,1
A13,A61,1,A122,A152,1,1,1
A13,A61,1,A123,A152,1,1,1
A12,A61,4,A123,A152,1,1,1
A12,A65,4,A123,A151,2,1,1
A14,A61,2,A122,A152,2,1,1
A11,A61,3,A122,A152,1,1,1
A14,A61,2,A121,A152,2,1,1
A11,A61,4,A124,A152,1,2,1
A11,A61,3,A123,A152,1,1,1
A12,A65,2,A121,A152,1,1,1
A11,A61,4,A122,A152,1,1,1
A12,A61,3,A121,A152,1,1,1
A12,A65,4,A123,A152,1,1,1
A12,A63,1,A123,A152,1,1,1
A12,A65,2,A123,A152,1,1,1
A12,A65,4,A122,A152,1,1,1
A14,A61,2,A124,A152,2,1,1
A12,A61,2,A121,A152,1,1,1
A11,A65,2,A122,A152,1,1,1
A14,A63,3,A124,A151,1,1,1
A14,A63,1,A123,A152,1,1,1
A14,A63,4,A121,A151,1,1,1
A14,A61,4,A123,A152,2,1,1
A14,A63,2,A123,A152,1,1,1
A14,A63,2,A123,A152,1,1,1
A14,A61,4,A123,A152,1,1,1
A11,A61,4,A123,A151,1,1,1
A11,A61,4,A121,A152,2,1,1
A12,A65,2,A121,A151,1,1,1
A13,A61,1,A123,A152,1,1,1
A12,A62,2,A123,A152,2,2,1
A14,A65,2,A123,A152,1,1,1
A11,A61,2,A121,A151,1,1,1
A14,A63,4,A122,A152,1,1,1
A11,A61,2,A121,A152,1,1,1
A11,A61,4,A123,A152,4,2,1
A14,A65,2,A122,A152,2,1,1
A14,A61,3,A123,A152,1,1,1
A11,A65,2,A123,A151,2,1,1
A14,A63,4,A123,A152,2,1,1
A11,A65,2,A121,A152,1,1,1
A14,A65,4,A122,A151,1,1,1
A13,A61,2,A123,A152,1,1,1
A12,A65,2,A121,A152,1,1,1
A14,A64,4,A121,A152,2,1,1
A14,A65,4,A122,A151,1,1,1
A12,A65,4,A123,A152,1,2,1
A12,A64,4,A123,A152,2,1,1
A14,A65,2,A121,A152,1,2,1
A12,A61,1,A122,A152,2,1,1
A13,A65,4,A122,A152,2,1,1
A11,A61,4,A122,A151,1,1,1
A13,A65,4,A121,A152,1,1,1
A12,A65,4,A122,A152,2,1,1
A12,A61,2,A122,A152,2,1,1
A11,A61,1,A122,A152,2,1,1
A11,A61,4,A124,A153,3,1,1
A12,A61,2,A121,A152,1,2,1
A12,A65,3,A124,A152,2,2,1
A14,A61,4,A123,A152,1,1,1
A12,A61,4,A121,A151,1,1,1
A14,A61,1,A121,A152,1,2,1
A14,A65,2,A121,A152,2,1,1
A11,A65,3,A123,A152,3,1,1
A11,A61,4,A122,A152,2,1,1
A12,A61,4,A122,A151,1,2,1
A11,A61,3,A121,A151,2,2,1
A11,A63,2,A122,A151,1,1,1
A13,A61,1,A122,A152,1,1,1
A14,A63,4,A123,A151,1,1,1
A11,A62,4,A123,A152,1,2,1
A14,A65,2,A123,A152,2,1,1
A11,A61,4,A122,A152,2,1,1
A14,A61,3,A123,A152,1,1,1
A14,A61,2,A122,A152,2,1,1
A14,A61,2,A123,A152,2,1,1
A14,A62,3,A122,A152,2,1,1
A12,A61,4,A123,A152,2,1,1
A12,A65,4,A122,A151,2,2,1
A14,A65,2,A123,A152,1,1,1
A12,A61,4,A123,A152,2,1,1
A12,A61,1,A122,A152,1,1,1
A13,A62,4,A123,A152,2,2,1
A11,A61,4,A123,A152,2,1,1
A14,A65,4,A121,A152,4,1,1
A14,A61,2,A123,A152,1,1,1
A14,A61,2,A124,A152,1,1,1
A14,A62,4,A123,A152,2,1,1
A14,A61,4,A121,A152,1,1,1
A14,A61,3,A123,A152,1,1,1
A14,A64,4,A124,A151,2,1,1
A12,A62,1,A123,A152,1,1,1
A13,A61,1,A122,A152,1,1,1
A14,A61,4,A123,A152,1,1,1
A11,A65,3,A121,A151,2,1,1
A14,A61,4,A121,A152,1,1,1
A12,A61,1,A121,A152,1,1,1
A14,A61,4,A122,A152,2,1,1
A14,A61,4,A122,A152,1,1,1
A14,A64,4,A121,A152,1,1,1
A12,A61,3,A121,A151,1,1,1
A12,A61,4,A124,A153,2,1,1
A14,A65,2,A123,A152,2,2,1
A14,A65,4,A121,A152,2,2,1
A14,A61,2,A121,A151,1,1,1
A14,A61,2,A121,A152,1,1,1
A13,A61,4,A124,A153,1,1,1
A14,A61,4,A124,A153,2,2,1
A12,A61,4,A123,A152,1,2,1
A14,A63,4,A122,A152,1,2,1
A11,A61,1,A123,A152,1,1,1
A12,A61,1,A122,A152,1,1,1
A12,A61,4,A122,A152,1,1,1
A12,A61,4,A124,A153,1,1,1
A14,A61,2,A123,A152,1,1,1
A14,A63,4,A121,A152,1,1,1
A12,A62,4,A123,A151,1,1,1
A12,A63,3,A121,A152,1,1,1
A11,A61,4,A122,A152,2,1,1
A14,A61,1,A124,A152,1,1,1
A14,A63,4,A123,A152,1,1,1
A14,A61,2,A121,A152,1,1,1
A14,A61,1,A121,A152,1,1,1
A14,A61,4,A121,A152,1,1,1
A14,A61,4,A122,A151,2,1,1
A14,A65,1,A121,A152,1,1,1
A11,A61,4,A123,A151,1,1,1
A12,A61,3,A123,A152,3,2,1
A14,A65,3,A123,A152,2,2,1
A12,A61,1,A121,A152,1,1,1
A12,A61,2,A121,A152,1,1,1
A11,A61,2,A122,A152,2,1,1
A12,A65,4,A121,A152,1,1,1
A14,A64,4,A123,A152,2,1,1
A11,A61,4,A123,A152,2,2,1
A11,A63,4,A121,A152,1,1,1
A11,A61,2,A121,A151,2,2,1
A14,A62,3,A122,A152,2,1,1
A12,A65,2,A122,A152,2,1,1
A12,A65,4,A121,A152,2,1,1
A11,A61,4,A121,A152,2,1,1
A14,A65,4,A121,A152,2,1,1
A12,A61,3,A123,A152,2,1,1
A14,A62,4,A123,A152,1,1,1
A14,A65,3,A122,A152,1,2,1
A12,A65,3,A123,A152,1,1,1
A12,A63,3,A123,A152,1,1,1
A14,A61,4,A121,A151,1,1,1
A14,A61,4,A123,A152,1,1,1
A14,A61,2,A122,A152,2,1,1
A14,A63,2,A123,A152,1,1,1
A11,A62,4,A121,A152,2,2,1
A14,A62,3,A121,A152,2,1,1
A13,A61,2,A121,A152,1,1,1
A13,A61,4,A124,A153,1,1,1
A11,A61,2,A121,A152,1,1,1
A11,A61,3,A122,A152,1,1,1
A12,A62,3,A124,A153,1,1,1
A14,A65,1,A123,A152,2,1,1
A11,A61,1,A122,A152,1,1,1
A12,A61,2,A123,A152,1,1,1
A14,A61,4,A122,A152,1,1,1
A12,A62,1,A123,A152,1,1,1
A14,A61,2,A121,A152,1,2,1
A11,A61,4,A122,A152,1,1,1
A12,A61,4,A122,A152,1,1,1
A14,A61,3,A121,A152,2,1,1
A14,A61,2,A122,A152,1,1,1
A14,A65,4,A123,A152,1,2,1
A14,A65,4,A123,A152,1,1,1
A12,A64,4,A124,A151,1,1,1
A12,A62,4,A121,A151,1,1,1
A12,A62,4,A121,A152,1,1,1
A14,A61,2,A121,A151,1,1,1
