@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute ResidenceSince numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A12,2,A143,A152,1
A14,4,A143,A151,1
A14,4,A143,A151,1
A11,4,A143,A153,1
A11,2,A143,A151,1
A12,4,A143,A152,1
A11,4,A143,A151,1
A13,2,A143,A153,1
A11,2,A143,A152,1
A13,4,A143,A153,1
A11,4,A143,A151,1
A14,2,A143,A151,1
A14,1,A143,A152,1
A12,3,A143,A152,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,2,A143,A152,1
A12,1,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A12,2,A142,A152,1
A13,2,A143,A152,1
A14,3,A142,A152,1
A14,4,A141,A152,1
A14,2,A143,A152,1
A11,4,A143,A153,1
A14,3,A143,A152,1
A11,4,A143,A153,1
A11,4,A141,A153,1
A14,4,A143,A151,1
A12,3,A143,A152,1
A11,2,A143,A152,1
A11,4,A143,A153,1
A12,4,A143,A151,1
A14,4,A143,A151,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A14,4,A141,A151,1
A12,3,A141,A152,1
A14,4,A143,A151,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A11,2,A143,A152,1
A11,4,A143,A152,1
A14,1,A143,A152,1
A14,4,A143,A152,1
A11,1,A143,A152,1
A12,2,A141,A153,1
A11,3,A143,A151,1
A12,1,A143,A152,1
A14,2,A143,A152,1
A12,1,A143,A152,1
A14,2,A143,A152,1
A13,1,A143,A152,1
A14,3,A141,A152,1
A11,2,A143,A152,1
A11,2,A143,A151,1
A11,3,A143,A152,1
A12,1,A141,A152,1
A14,3,A143,A152,1
A14,3,A143,A153,1
A14,4,A143,A153,1
A12,1,A143,A152,1
A11,4,A143,A151,1
A11,3,A141,A152,1
A14,2,A143,A152,1
A14,2,A142,A152,1
A14,3,A141,A152,1
A13,4,A143,A152,1
A14,2,A143,A151,1
A14,2,A141,A151,1
A14,2,A143,A152,1
A11,3,A143,A152,1
A11,4,A143,A151,1
A14,2,A143,A152,1
A11,2,A143,A151,1
A12,1,A143,A152,1
A12,4,A143,A151,1
A11,4,A141,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A12,3,A143,A152,1
A14,4,A143,A153,1
A14,4,A143,A151,1
A12,4,A143,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,2,A143,A151,1
A14,3,A143,A152,1
A14,3,A143,A152,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A12,4,A143,A151,1
A12,2,A142,A152,1
A11,4,A141,A152,1
A12,4,A143,A152,1
A11,2,A143,A151,1
A12,2,A143,A153,1
A11,4,A143,A151,1
A14,4,A143,A152,1
A14,2,A143,A151,1
A11,3,A143,A152,1
A11,3,A143,A152,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A12,4,A143,A151,1
A12,2,A143,A152,1
A14,4,A143,A153,1
A12,1,A143,A152,1
A12,3,A143,A151,1
A14,1,A143,A152,1
A12,3,A143,A152,1
A12,3,A143,A152,1
A12,2,A141,A152,1
A11,4,A143,A152,1
A12,4,A143,A152,1
A11,4,A143,A152,1
A11,2,A143,A151,1
A11,2,A143,A151,1
A14,4,A141,A152,1
A11,1,A143,A152,1
A12,4,A143,A151,1
A12,4,A143,A152,1
A14,3,A143,A152,1
A12,2,A143,A152,1
A12,4,A143,A151,1
A12,2,A141,A152,1
A11,4,A142,A152,1
A12,4,A143,A152,1
A14,2,A143,A152,1
A12,3,A143,A152,1
A14,2,A142,A152,1
A14,4,A141,A152,1
A12,2,A143,A152,1
A11,4,A143,A152,1
A14,4,A143,A152,1
A14,3,A141,A153,1
A12,1,A141,A152,1
A14,2,A141,A152,1
A13,1,A143,A152,1
A14,2,A143,A151,1
A11,4,A143,A151,1
A14,2,A143,A152,1
A14,1,A143,A152,1
A14,2,A143,A152,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A13,4,A143,A151,1
A14,2,A143,A152,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A14,3,A143,A152,1
A12,4,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A12,4,A143,A152,1
A11,4,A143,A153,1
A14,1,A143,A152,1
A11,4,A143,A152,1
A14,3,A143,A152,1
A14,4,A143,A152,1
A11,3,A143,A152,1
A13,1,A143,A152,1
A12,3,A143,A151,1
A11,4,A143,A152,1
A12,4,A143,A152,1
A14,2,A141,A152,1
A13,1,A141,A152,1
A14,2,A143,A152,1
A14,1,A143,A152,1
A12,2,A143,A152,1
A14,2,A143,A152,1
A11,2,A143,A152,1
A12,1,A143,A152,1
A12,1,A143,A152,1
A11,3,A143,A152,1
A11,4,A143,A152,1
A11,2,A142,A152,1
A11,3,A143,A152,1
A11,1,A143,A152,1
A14,3,A143,A152,1
A11,4,A143,A152,1
A14,2,A143,A152,1
A13,3,A143,A152,1
A14,2,A141,A152,1
A11,4,A143,A152,1
A14,3,A143,A152,1
A14,4,A143,A152,1
A11,3,A143,A152,1
A14,4,A143,A153,1
A14,2,A143,A151,1
A12,3,A141,A152,1
A12,1,A143,A152,1
A14,4,A141,A153,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A14,4,A143,A153,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A12,4,A141,A153,1
A12,3,A143,A151,1
A11,1,A141,A153,1
A13,4,A143,A153,1
A12,2,A143,A152,1
A11,1,A143,A152,1
A12,4,A143,A152,1
A13,2,A143,A152,1
A12,3,A143,A152,1
A12,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A11,4,A143,A152,1
A11,3,A143,A152,1
A14,3,A143,A152,1
A11,1,A143,A152,1
A12,4,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A151,1
A14,1,A143,A152,1
A12,3,A143,A152,1
A11,3,A143,A151,1
A11,2,A143,A152,1
A13,2,A143,A152,1
A11,1,A141,A152,1
A12,4,A141,A151,1
A13,2,A143,A152,1
A14,3,A143,A152,1
A12,2,A143,A152,1
A11,1,A141,A152,1
A11,4,A143,A153,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A11,4,A143,A151,1
A14,4,A143,A152,1
A12,1,A143,A152,1
A13,4,A143,A151,1
A14,4,A143,A153,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A11,4,A143,A152,1
A14,3,A143,A152,1
A11,3,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A13,3,A143,A151,1
A14,4,A141,A153,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A14,2,A141,A152,1
A12,1,A143,A152,1
A12,3,A143,A151,1
A14,1,A143,A152,1
A14,4,A143,A151,1
A12,1,A143,A152,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A11,3,A143,A152,1
A14,3,A143,A151,1
A11,1,A141,A152,1
A12,4,A143,A151,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,4,A143,A151,1
A14,4,A143,A151,1
A14,3,A143,A152,1
A14,4,A143,A153,1
A12,2,A143,A152,1
A12,4,A143,A152,1
A12,4,A143,A153,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A13,2,A143,A152,1
A12,1,A143,A152,1
A14,2,A143,A152,1
A12,2,A143,A151,1
A13,2,A143,A152,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A12,2,A143,A152,1
A14,2,A143,A152,1
A11,1,A143,A151,1
A11,3,A143,A151,1
A14,4,A143,A152,1
A13,4,A143,A151,1
A14,2,A143,A152,1
A13,4,A143,A152,1
A13,1,A143,A152,1
A14,4,A143,A151,1
A11,1,A143,A152,1
A14,1,A143,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,1,A141,A151,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A12,4,A143,A152,1
A12,4,A143,A151,1
A11,2,A143,A152,1
A14,3,A143,A152,1
A14,4,A143,A152,1
A12,4,A141,A152,1
A12,2,A143,A152,1
A14,4,A141,A152,1
A14,2,A143,A152,1
A14,4,A143,A153,1
A11,2,A143,A152,1
A14,2,A143,A151,1
A14,2,A143,A151,1
A14,4,A143,A153,1
A12,1,A143,A152,1
A14,1,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A12,3,A143,A151,1
A14,1,A143,A152,1
A14,4,A143,A152,1
A11,2,A143,A152,1
A11,3,A143,A152,1
A12,3,A141,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A11,3,A143,A151,1
A11,1,A143,A153,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A11,4,A143,A153,1
A14,4,A143,A151,1
A11,1,A143,A151,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A153,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A14,4,A143,A152,1
A12,1,A143,A152,1
A11,3,A143,A152,1
A14,2,A143,A152,1
A12,4,A143,A153,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A11,1,A143,A152,1
A12,2,A143,A152,1
A12,2,A143,A152,1
A14,2,A143,A152,1
A14,1,A142,A152,1
A12,1,A143,A151,1
A14,2,A142,A152,1
A11,3,A143,A152,1
A11,4,A143,A152,1
A11,4,A143,A152,1
A11,4,A143,A152,1
A12,2,A143,A152,1
A12,4,A143,A152,1
A14,1,A141,A152,1
A14,3,A143,A152,1
A11,4,A143,A151,1
A11,4,A143,A152,1
A14,2,A143,A152,1
A11,4,A143,A152,1
A14,2,A143,A151,1
A12,3,A143,A152,1
A12,4,A143,A152,1
A11,4,A143,A152,1
A11,4,A143,A152,1
A12,1,A143,A152,1
A12,2,A143,A152,1
A14,4,A143,A151,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A13,4,A143,A152,1
A11,4,A143,A153,1
A11,4,A143,A152,1
A14,4,A143,A153,1
A13,4,A143,A152,1
A11,2,A143,A152,1
A11,1,A141,A152,1
A14,3,A143,A152,1
A13,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,4,A143,A152,1
A13,1,A141,A152,1
A14,1,A143,A152,1
A14,1,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A151,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A13,4,A141,A152,1
A14,2,A143,A151,1
A14,4,A143,A152,1
A11,2,A141,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A12,4,A141,A151,1
A14,4,A143,A152,1
A12,2,A143,A152,1
A12,4,A143,A151,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A12,3,A141,A152,1
A14,4,A143,A152,1
A11,4,A141,A151,1
A11,2,A143,A152,1
A11,2,A143,A153,1
A12,4,A143,A152,1
A12,3,A143,A152,1
A14,4,A143,A152,1
A14,3,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A12,2,A143,A152,1
A14,2,A142,A152,1
A14,2,A143,A152,1
A12,4,A143,A153,1
A14,4,A143,A152,1
A14,3,A141,A152,1
A12,4,A141,A153,1
A11,4,A143,A151,1
A14,1,A143,A152,1
A12,3,A143,A152,1
A12,2,A143,A152,1
A13,2,A143,A152,1
A14,2,A143,A152,1
A11,2,A143,A152,1
A14,2,A141,A152,1
A14,1,A143,A152,1
A14,4,A143,A151,1
A14,4,A143,A153,1
A12,2,A143,A152,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A14,2,A143,A153,1
A14,4,A142,A151,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A13,2,A143,A152,1
A14,4,A143,A152,1
A14,4,A143,A152,1
A14,3,A143,A152,1
A12,1,A143,A152,1
A14,4,A143,A151,1
A14,1,A143,A152,1
A12,4,A142,A152,1
A14,2,A143,A152,1
A12,1,A143,A152,1
A14,4,A143,A152,1
A14,4,A142,A152,1
A14,4,A143,A152,1
A12,1,A142,A152,1
A14,2,A143,A152,1
A14,1,A143,A152,1
A11,4,A143,A152,1
A13,2,A141,A152,1
A13,1,A142,A152,1
A14,2,A143,A152,1
A12,2,A143,A152,1
A13,2,A143,A152,1
A14,4,A143,A152,1
A11,1,A143,A153,1
A11,4,A143,A152,1
A14,4,A143,A152,1
A11,2,A143,A151,1
A14,2,A143,A152,1
A14,3,A141,A152,1
A14,4,A143,A152,1
A11,4,A142,A152,1
A14,4,A143,A152,1
A12,1,A143,A152,1
A14,2,A143,A152,1
A12,4,A142,A152,1
A14,2,A142,A152,1
A11,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A14,3,A142,A152,1
A12,4,A143,A152,1
A14,4,A143,A152,1
A11,4,A143,A152,1
A11,2,A143,A152,1
A12,2,A143,A151,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A151,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,2,A143,A152,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A14,2,A143,A152,1
A11,3,A143,A152,1
A11,4,A143,A151,1
A12,3,A143,A152,1
A14,4,A143,A152,1
A14,1,A143,A152,1
A14,2,A143,A152,1
A11,4,A143,A152,1
A14,4,A141,A153,1
A14,1,A143,A152,1
A14,4,A143,A152,1
A11,1,A143,A152,1
A14,2,A143,A152,1
A14,3,A143,A152,1
A13,2,A143,A151,1
A13,4,A143,A153,1
A13,2,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A13,4,A143,A152,1
A11,2,A143,A152,1
A14,2,A143,A152,1
A11,3,A143,A152,1
A14,2,A141,A152,1
A14,3,A142,A152,1
A14,2,A143,A151,1
A14,1,A143,A152,1
A11,2,A142,A152,1
A12,2,A141,A152,1
A12,4,A143,A152,1
A11,4,A141,A153,1
A14,2,A143,A151,1
A14,2,A143,A152,1
A12,3,A143,A153,1
A13,4,A143,A152,1
A11,4,A143,A153,1
A14,4,A141,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A12,3,A141,A152,1
A14,4,A143,A152,1
A14,4,A143,A153,1
A14,1,A143,A153,1
A12,4,A141,A153,1
A14,2,A143,A152,1
A12,3,A143,A152,1
A12,3,A141,A152,1
A12,4,A143,A151,1
A12,2,A143,A152,1
A11,1,A143,A152,1
A12,2,A143,A152,1
A12,3,A143,A152,1
A14,4,A141,A153,1
A11,2,A141,A152,1
A12,2,A143,A151,1
A14,4,A143,A152,1
A12,4,A143,A153,1
A14,2,A143,A152,1
A14,4,A143,A151,1
A14,2,A143,A151,1
A14,2,A143,A152,1
A14,4,A143,A152,1
A11,4,A143,A152,1
A12,4,A143,A152,1
A12,1,A143,A152,1
A14,2,A143,A151,1
A13,3,A143,A152,1
A11,3,A141,A152,1
A12,1,A141,A152,1
A14,3,A143,A152,1
A14,2,A142,A152,1
A14,4,A143,A152,1
A12,4,A143,A152,1
A14,2,A141,A152,1
A12,4,A143,A152,1
A12,2,A143,A152,1
A14,2,A143,A152,1
A11,3,A143,A152,1
A11,4,A143,A151,1
A13,4,A142,A152,1
A14,4,A141,A151,1
A11,4,A141,A153,1
