@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,6,11,13-14,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,A61,3,49,A143,2,1
A11,A61,4,45,A143,2,1
A14,A65,4,53,A143,1,1
A14,A61,4,48,A143,1,1
A12,A64,3,36,A141,1,1
A12,A63,1,26,A143,1,1
A12,A61,4,44,A143,2,1
A14,A61,4,35,A143,1,1
A11,A63,2,23,A143,1,1
A14,A61,4,39,A143,1,1
A14,A65,1,31,A143,1,1
A12,A61,4,57,A141,1,2
A11,A61,4,23,A143,1,2
A11,A61,4,52,A143,1,1
A12,A61,4,24,A143,1,1
A12,A63,2,35,A143,1,1
A12,A62,2,31,A141,2,1
A14,A65,1,47,A143,1,1
A12,A63,3,36,A143,1,1
A14,A61,2,41,A143,1,1
A14,A61,2,24,A143,1,1
A13,A61,4,63,A143,1,1
A12,A61,2,34,A143,1,1
A11,A61,2,29,A143,1,2
A14,A61,4,47,A141,1,1
A12,A64,4,29,A143,1,1
A11,A61,4,20,A143,1,2
A14,A61,1,30,A143,1,1
A14,A61,1,26,A143,1,1
A12,A61,3,40,A143,1,2
A14,A61,4,26,A143,1,1
A14,A65,4,32,A143,2,1
A14,A62,1,35,A143,1,1
A11,A61,2,30,A142,2,2
A14,A61,4,22,A143,1,2
A14,A65,3,32,A143,1,1
A11,A61,3,26,A143,2,1
A14,A61,4,43,A143,1,1
A13,A65,2,29,A143,2,1
A11,A61,3,32,A143,1,2
A11,A61,4,44,A143,1,2
A14,A61,2,28,A143,1,1
A11,A61,1,25,A143,1,2
A12,A61,4,40,A143,1,1
A11,A61,4,31,A143,1,1
A14,A61,3,31,A143,1,1
A14,A61,2,27,A143,1,1
A14,A61,2,35,A143,1,1
A14,A61,2,42,A142,1,2
A11,A65,2,35,A143,1,2
A11,A61,1,33,A143,2,2
A14,A64,3,20,A143,1,1
A11,A61,2,25,A143,1,1
A12,A61,1,34,A143,1,1
A14,A63,4,24,A143,1,1
A14,A63,4,44,A143,1,1
A12,A61,4,47,A143,1,2
A14,A65,4,27,A143,1,2
A11,A61,4,53,A143,2,2
A14,A63,4,45,A141,2,1
A12,A62,1,27,A143,1,1
A14,A65,4,26,A143,1,1
A12,A61,4,27,A143,1,2
A11,A61,1,21,A143,1,1
A12,A61,4,34,A141,1,2
A12,A65,2,27,A143,1,1
A14,A65,2,35,A143,1,1
A14,A63,4,36,A143,1,1
A12,A65,1,23,A143,1,1
A14,A61,4,47,A141,2,1
A12,A61,2,37,A143,1,2
A12,A62,4,42,A143,1,2
A14,A65,3,37,A142,1,1
A14,A61,1,26,A143,1,1
A12,A62,3,30,A143,1,1
A12,A62,2,25,A143,1,1
A11,A61,4,25,A143,1,1
A11,A61,2,24,A143,1,2
A11,A62,3,32,A141,1,1
A14,A65,3,26,A143,1,1
A12,A62,4,23,A143,1,1
A14,A61,2,31,A143,1,1
A11,A65,4,51,A143,2,2
A14,A61,4,54,A143,2,1
A14,A61,2,27,A143,1,1
A14,A65,2,21,A143,1,1
A11,A61,2,29,A143,1,2
A14,A61,4,50,A141,1,1
A11,A61,4,32,A143,2,2
A14,A61,2,45,A143,2,1
A11,A61,4,43,A142,2,1
A14,A65,2,31,A142,2,1
A11,A61,3,42,A143,1,2
A12,A61,4,25,A141,1,2
A11,A61,2,31,A143,1,2
A14,A63,4,42,A143,2,1
A14,A61,1,43,A143,2,2
A13,A65,4,49,A142,1,1
A12,A62,2,25,A143,1,2
A14,A61,2,33,A141,1,2
