@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-3,6-7,17,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
10,A34,A61,A72,A172,1
7,A32,A61,A73,A173,1
45,A34,A61,A72,A172,2
7,A34,A65,A75,A172,1
18,A34,A61,A72,A173,1
12,A34,A61,A75,A173,1
6,A33,A61,A73,A173,1
12,A32,A65,A72,A173,1
42,A32,A65,A74,A174,2
12,A34,A61,A73,A173,1
48,A32,A65,A74,A173,1
48,A31,A62,A74,A173,1
21,A33,A61,A72,A173,2
6,A32,A61,A74,A173,1
24,A32,A65,A75,A173,1
12,A32,A61,A73,A172,1
30,A34,A61,A75,A174,1
36,A32,A65,A75,A172,1
36,A34,A65,A75,A173,1
6,A34,A65,A74,A172,1
10,A32,A61,A73,A173,1
12,A32,A61,A73,A173,1
6,A30,A62,A73,A173,1
30,A32,A61,A73,A173,2
15,A32,A62,A72,A173,1
12,A34,A61,A75,A172,1
15,A32,A61,A75,A173,2
12,A32,A61,A73,A173,1
48,A34,A65,A75,A174,1
10,A32,A65,A75,A172,1
24,A34,A65,A74,A172,2
12,A32,A62,A72,A172,2
15,A32,A65,A73,A173,2
10,A32,A61,A72,A172,1
24,A32,A63,A71,A171,1
6,A32,A61,A73,A173,1
20,A32,A65,A74,A173,1
18,A32,A61,A71,A174,2
30,A33,A62,A73,A172,1
24,A34,A64,A73,A172,1
36,A32,A61,A72,A173,2
24,A32,A61,A74,A173,2
12,A32,A65,A75,A173,1
48,A33,A65,A75,A173,1
24,A32,A61,A74,A173,1
27,A30,A61,A75,A174,2
24,A32,A65,A73,A173,2
6,A34,A62,A75,A173,1
9,A32,A62,A75,A173,1
15,A34,A62,A73,A173,1
24,A32,A65,A72,A173,1
18,A34,A61,A75,A173,1
24,A32,A61,A74,A173,1
24,A33,A65,A73,A174,1
12,A34,A61,A72,A172,1
12,A34,A61,A74,A172,1
6,A31,A62,A72,A172,2
21,A34,A61,A74,A173,1
18,A34,A61,A73,A173,2
24,A32,A61,A72,A172,2
42,A33,A61,A74,A173,2
21,A33,A63,A72,A172,2
24,A32,A61,A74,A173,1
18,A34,A61,A73,A173,1
21,A32,A65,A75,A174,1
30,A34,A65,A75,A173,1
27,A32,A61,A73,A173,2
48,A31,A61,A75,A173,2
18,A32,A62,A73,A172,1
6,A32,A61,A75,A173,1
24,A32,A65,A74,A173,2
12,A32,A61,A73,A172,1
24,A32,A63,A75,A173,1
12,A32,A65,A71,A171,1
36,A32,A61,A74,A173,2
42,A31,A61,A71,A174,1
15,A30,A61,A72,A171,2
48,A32,A61,A73,A173,2
36,A32,A61,A71,A174,1
21,A34,A61,A75,A173,1
36,A32,A65,A75,A173,2
24,A33,A63,A73,A173,1
18,A32,A61,A72,A173,2
12,A32,A61,A75,A172,2
10,A32,A61,A73,A172,2
12,A31,A61,A72,A173,2
48,A32,A61,A74,A173,2
6,A32,A61,A72,A172,1
30,A32,A65,A73,A173,1
15,A32,A61,A75,A174,1
11,A34,A61,A73,A172,1
15,A32,A62,A73,A173,1
24,A32,A63,A73,A172,1
18,A33,A65,A75,A173,1
24,A34,A61,A74,A172,1
42,A30,A61,A72,A173,1
12,A34,A65,A72,A172,1
15,A31,A62,A75,A172,1
36,A32,A61,A71,A174,1
30,A32,A61,A73,A174,1
