@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,12,14,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,A43,2,A123,A142,1
A13,A40,3,A123,A143,1
A14,A43,4,A122,A143,1
A12,A40,4,A121,A143,1
A14,A46,4,A124,A142,2
A12,A46,1,A124,A143,2
A13,A42,4,A124,A143,1
A11,A42,1,A122,A143,1
A14,A41,2,A123,A143,1
A11,A43,3,A123,A143,1
A12,A42,4,A121,A143,1
A12,A42,4,A123,A141,2
A11,A49,2,A122,A142,2
A13,A42,1,A123,A143,1
A14,A42,4,A121,A143,1
A14,A42,4,A122,A143,1
A12,A410,2,A124,A143,1
A14,A41,1,A123,A143,1
A14,A40,1,A121,A143,1
A14,A40,2,A124,A141,2
A12,A40,4,A121,A143,1
A12,A40,2,A123,A141,2
A12,A40,4,A123,A143,2
A11,A42,4,A122,A143,1
A12,A42,1,A123,A143,2
A12,A40,4,A124,A143,2
A14,A49,2,A123,A141,2
A14,A41,4,A123,A143,1
A12,A41,4,A123,A143,1
A13,A42,3,A121,A143,1
A14,A43,3,A123,A143,1
A11,A42,1,A122,A143,1
A11,A40,4,A123,A143,2
A11,A42,4,A122,A143,1
A14,A40,3,A121,A143,1
A14,A40,4,A122,A143,1
A11,A40,2,A121,A143,1
A11,A40,4,A124,A141,2
A13,A42,1,A122,A142,1
A11,A42,4,A122,A143,2
A11,A43,3,A123,A143,2
A12,A40,3,A122,A143,2
A14,A41,4,A124,A141,1
A14,A49,4,A121,A141,2
A11,A42,4,A123,A143,1
A11,A43,4,A124,A143,2
A11,A43,4,A122,A143,1
A11,A46,4,A123,A143,2
A13,A43,3,A121,A143,1
A12,A42,4,A123,A142,1
A14,A49,1,A121,A142,1
A12,A43,2,A123,A143,2
A12,A49,4,A122,A142,1
A12,A49,4,A122,A143,1
A12,A42,4,A122,A143,2
A11,A46,4,A124,A143,2
A14,A41,2,A123,A143,1
A14,A40,1,A124,A143,1
A11,A40,4,A122,A143,2
A14,A40,1,A123,A143,1
A11,A42,2,A122,A143,2
A11,A41,2,A121,A143,1
A12,A40,4,A121,A143,1
A12,A43,3,A121,A141,1
A14,A43,4,A123,A143,1
A12,A43,3,A121,A143,1
A12,A49,3,A121,A143,1
A14,A43,1,A123,A143,1
A11,A40,4,A121,A143,1
A14,A42,3,A123,A143,1
A12,A43,2,A123,A143,1
A11,A40,4,A123,A141,2
A14,A42,4,A122,A141,1
A14,A41,3,A122,A143,1
A14,A48,4,A122,A143,1
A14,A42,4,A124,A143,1
A14,A41,4,A121,A143,1
A11,A43,4,A123,A142,1
A14,A49,3,A122,A143,1
A11,A42,4,A122,A143,1
A14,A43,2,A122,A143,1
A14,A43,4,A123,A143,1
A14,A43,4,A122,A143,1
A11,A43,4,A122,A143,1
A14,A42,1,A121,A141,1
A14,A41,2,A124,A143,1
A11,A40,2,A121,A143,1
A14,A41,1,A122,A143,1
A14,A49,1,A121,A143,1
A11,A42,2,A122,A141,2
A14,A40,3,A121,A143,1
A11,A42,4,A124,A143,2
A11,A40,3,A123,A143,2
A14,A40,3,A124,A143,1
A14,A43,2,A122,A143,1
A11,A40,1,A124,A143,2
A11,A49,4,A124,A143,2
A14,A43,2,A121,A143,1
A11,A43,4,A124,A143,2
A12,A41,3,A123,A143,1
