@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,8,10,15,19,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
36,A34,A61,2,A101,A152,A191,1
18,A32,A61,3,A101,A152,A191,1
24,A32,A61,4,A101,A152,A192,1
12,A32,A64,4,A101,A152,A191,1
36,A32,A61,4,A101,A153,A192,2
36,A32,A62,1,A101,A153,A192,2
24,A34,A65,4,A102,A151,A191,1
24,A32,A65,1,A101,A152,A192,1
27,A33,A64,2,A101,A152,A191,1
27,A32,A61,3,A101,A152,A191,1
11,A32,A64,4,A101,A152,A191,1
12,A32,A62,4,A101,A151,A191,2
27,A30,A61,2,A101,A152,A192,2
12,A32,A61,1,A101,A152,A191,1
12,A32,A61,4,A101,A152,A191,1
15,A34,A65,4,A101,A152,A191,1
48,A33,A62,2,A101,A153,A192,1
12,A32,A65,1,A101,A151,A191,1
6,A32,A61,1,A101,A152,A192,1
48,A34,A63,2,A101,A153,A191,2
9,A32,A61,4,A101,A151,A191,1
12,A32,A61,2,A101,A152,A191,2
30,A34,A61,4,A101,A152,A191,2
24,A32,A61,4,A101,A152,A191,1
9,A32,A61,1,A101,A152,A191,2
36,A32,A61,4,A101,A153,A192,2
24,A33,A61,2,A101,A152,A192,2
24,A34,A65,4,A101,A152,A192,1
12,A32,A65,4,A101,A152,A191,1
12,A32,A65,3,A101,A152,A192,1
18,A32,A61,3,A101,A152,A192,1
36,A32,A61,1,A103,A152,A191,1
9,A32,A61,4,A101,A152,A191,2
30,A32,A64,4,A101,A151,A192,1
10,A32,A62,3,A101,A151,A191,1
24,A32,A65,4,A101,A152,A191,1
6,A34,A61,2,A101,A152,A191,1
48,A32,A61,4,A101,A153,A191,2
18,A32,A61,1,A101,A152,A191,1
30,A32,A65,4,A101,A152,A191,2
48,A32,A61,3,A101,A152,A192,2
24,A32,A61,3,A101,A151,A192,2
15,A32,A65,4,A101,A153,A191,1
48,A32,A65,4,A101,A152,A191,2
12,A32,A61,4,A101,A151,A191,1
18,A32,A61,4,A101,A153,A191,2
18,A34,A61,4,A101,A152,A192,1
12,A32,A61,4,A101,A151,A191,2
12,A32,A61,3,A101,A151,A191,1
30,A31,A64,4,A101,A152,A192,1
48,A31,A61,1,A101,A152,A191,1
72,A32,A62,2,A101,A152,A191,2
30,A33,A62,4,A101,A152,A191,1
27,A32,A61,4,A101,A152,A192,1
12,A30,A61,4,A101,A151,A191,2
6,A31,A61,4,A101,A153,A191,2
24,A32,A64,2,A101,A151,A192,1
6,A34,A61,1,A101,A152,A192,1
12,A34,A61,4,A101,A152,A191,2
15,A34,A65,1,A101,A152,A192,1
30,A32,A61,2,A101,A152,A191,2
24,A32,A65,2,A101,A151,A191,1
9,A32,A65,4,A101,A152,A191,1
18,A34,A61,3,A103,A151,A192,1
12,A34,A65,4,A101,A152,A191,1
6,A32,A61,3,A101,A152,A191,1
8,A32,A61,3,A101,A152,A192,1
6,A34,A61,1,A101,A151,A192,1
8,A34,A61,4,A101,A152,A191,1
18,A34,A61,3,A101,A152,A192,1
24,A32,A65,2,A101,A152,A192,1
12,A30,A61,4,A101,A152,A191,2
18,A32,A61,4,A101,A152,A192,1
24,A34,A65,3,A101,A152,A192,1
10,A32,A65,4,A101,A152,A192,1
15,A34,A61,4,A101,A153,A192,1
24,A34,A64,4,A101,A152,A191,1
18,A32,A61,4,A101,A152,A191,1
36,A32,A65,3,A101,A152,A191,1
12,A32,A61,4,A101,A151,A191,1
30,A34,A65,2,A101,A152,A191,1
18,A34,A61,4,A101,A152,A191,1
18,A34,A65,4,A101,A152,A192,1
21,A32,A61,4,A101,A151,A192,1
15,A32,A65,1,A101,A151,A191,1
36,A34,A65,2,A101,A153,A191,1
21,A32,A65,2,A102,A152,A191,1
15,A33,A61,1,A101,A152,A191,1
11,A32,A64,1,A101,A152,A192,1
24,A31,A61,2,A101,A152,A192,2
9,A34,A61,3,A101,A152,A191,1
24,A31,A63,4,A101,A153,A192,2
28,A32,A61,3,A101,A152,A191,2
15,A32,A65,3,A101,A152,A191,1
42,A32,A65,2,A101,A151,A192,1
24,A31,A61,1,A102,A151,A191,2
60,A32,A61,4,A102,A151,A191,2
13,A32,A62,2,A101,A152,A191,1
45,A32,A61,4,A101,A153,A192,2
45,A34,A62,3,A101,A152,A191,1
