@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,A32,1498,A92,A173,1,1
A14,A32,5190,A93,A173,2,1
A12,A32,5866,A93,A173,1,1
A14,A32,1386,A94,A173,1,1
A13,A32,709,A94,A171,1,1
A11,A32,1053,A94,A173,1,1
A12,A32,1301,A94,A172,1,1
A12,A30,1410,A93,A172,1,1
A14,A32,9055,A93,A172,2,1
A14,A34,3535,A93,A173,1,1
A14,A33,4679,A93,A172,1,1
A11,A34,1169,A93,A173,1,1
A14,A34,7253,A93,A174,1,1
A14,A34,1264,A93,A172,1,1
A14,A34,730,A93,A172,1,1
A12,A33,9157,A93,A174,1,1
A12,A32,1155,A94,A172,1,1
A14,A33,4454,A92,A173,1,1
A12,A34,1804,A93,A173,1,1
A12,A32,7308,A93,A174,1,1
A11,A34,1231,A92,A174,1,1
A12,A33,11760,A93,A173,1,1
A14,A31,783,A93,A172,2,1
A14,A30,2759,A93,A173,1,1
A14,A34,1817,A92,A173,1,1
A11,A32,3651,A93,A173,2,1
A14,A34,1898,A93,A172,2,1
A14,A34,522,A93,A173,2,1
A14,A33,1743,A93,A172,1,1
A12,A33,1449,A91,A173,2,1
A12,A32,8487,A92,A173,1,1
A12,A34,2745,A93,A173,1,1
A14,A32,3527,A93,A174,2,1
A11,A34,4272,A92,A173,1,1
A12,A32,454,A94,A172,1,1
A14,A34,2684,A93,A172,1,1
A14,A34,1316,A94,A172,1,1
A12,A32,6260,A93,A172,1,1
A14,A34,1154,A92,A172,1,1
A12,A32,3017,A92,A174,1,1
A14,A34,936,A93,A173,1,1
A14,A32,1473,A94,A173,1,1
A11,A34,571,A93,A173,1,1
A14,A32,1311,A94,A173,1,1
A11,A34,3394,A93,A171,1,1
A11,A34,2122,A93,A172,2,1
A12,A33,7057,A93,A174,2,1
A11,A32,3249,A93,A174,2,1
A14,A32,3832,A93,A172,1,1
A12,A32,2118,A93,A172,2,1
A11,A32,3857,A91,A174,1,1
A11,A34,2348,A94,A173,1,1
A14,A32,3757,A92,A173,1,1
A12,A33,7432,A92,A173,1,1
A14,A32,1413,A94,A173,1,1
A11,A34,2442,A93,A174,2,1
A14,A32,1364,A92,A173,1,1
A12,A31,3566,A93,A173,1,1
A11,A32,6579,A93,A174,1,1
A14,A32,727,A93,A173,1,1
A12,A34,2366,A91,A174,1,1
A12,A32,1199,A92,A174,1,1
A14,A32,6313,A93,A174,2,1
A14,A32,3062,A93,A173,1,1
A14,A33,932,A92,A173,1,1
A13,A32,3016,A94,A173,1,1
A14,A34,6304,A93,A173,1,1
A14,A32,10222,A93,A173,1,1
A12,A33,6967,A93,A174,1,1
A12,A32,2930,A92,A173,1,1
A11,A32,1107,A93,A174,2,1
A14,A32,7393,A93,A172,2,1
A14,A32,10366,A93,A174,1,1
A14,A34,8858,A93,A173,1,1
A12,A33,5965,A93,A174,1,1
A14,A32,763,A92,A173,1,1
A14,A31,1559,A93,A173,1,1
A12,A34,3878,A91,A173,1,1
A13,A34,3017,A93,A173,1,1
A11,A31,1940,A93,A174,1,1
A12,A32,1113,A92,A172,2,1
A14,A32,2569,A93,A173,1,1
A12,A31,1048,A93,A172,1,1
A14,A34,2872,A93,A173,2,1
A11,A34,1138,A93,A172,1,1
A14,A32,2284,A93,A173,1,1
A12,A30,4221,A92,A173,1,1
A14,A32,2848,A93,A173,2,1
A14,A34,1940,A93,A173,1,1
A14,A34,1287,A92,A173,1,1
A14,A33,717,A94,A173,1,1
A12,A32,1239,A93,A173,1,1
A12,A32,3976,A93,A173,1,1
A14,A34,1163,A93,A173,1,1
A14,A33,12749,A93,A174,1,1
A11,A34,1049,A92,A173,1,1
A14,A32,1884,A93,A174,1,1
A12,A32,866,A94,A172,1,1
A11,A32,1364,A93,A173,1,1
A12,A32,7966,A93,A173,1,1
A14,A34,1258,A92,A172,1,1
A11,A32,1721,A93,A173,1,1
A13,A34,1347,A93,A173,1,1
A12,A32,3832,A94,A173,1,1
A11,A31,3632,A92,A173,1,1
A14,A34,1740,A94,A173,1,1
A14,A32,707,A93,A173,1,1
A11,A32,3357,A92,A173,1,1
A11,A32,7476,A93,A174,1,1
A11,A32,2136,A93,A173,1,1
A12,A32,7472,A92,A171,1,1
A12,A33,9857,A93,A172,2,1
A14,A32,1525,A92,A173,2,1
A12,A33,2862,A93,A173,1,1
A12,A32,2101,A92,A172,1,1
A14,A34,1582,A93,A173,1,1
A13,A33,2247,A92,A173,1,1
A14,A33,2320,A94,A173,1,1
A14,A33,4272,A93,A172,1,1
A14,A34,5771,A92,A173,1,1
A14,A34,1544,A93,A172,2,1
A11,A34,2957,A93,A173,1,1
A12,A32,1201,A93,A173,1,1
A12,A32,1941,A93,A172,1,1
A11,A32,806,A92,A172,1,1
A12,A33,2333,A93,A172,1,1
A12,A34,958,A93,A172,2,1
A14,A32,1413,A93,A173,1,1
A13,A34,1343,A93,A173,2,1
A11,A32,4788,A93,A173,2,1
A14,A32,2394,A92,A173,1,1
A11,A34,1602,A94,A173,1,1
A11,A32,343,A92,A173,1,1
A14,A32,1474,A94,A173,1,1
A11,A32,3973,A93,A173,1,1
A14,A34,1255,A93,A172,1,1
A12,A32,2323,A93,A173,1,1
A13,A32,1275,A92,A173,1,1
A12,A32,1967,A92,A173,1,1
A14,A32,1546,A93,A172,2,1
A14,A34,2028,A93,A172,1,1
A12,A34,2326,A93,A173,1,1
A14,A33,3863,A93,A173,1,1
A13,A34,1299,A93,A171,2,1
A11,A32,2910,A93,A174,1,1
A14,A32,3186,A92,A173,1,1
A14,A32,6527,A93,A173,2,1
A14,A32,1313,A93,A173,1,1
A12,A34,3573,A92,A172,1,1
A12,A34,3612,A92,A173,1,1
A14,A34,1829,A93,A173,1,1
A12,A32,3711,A94,A173,1,1
A11,A34,1038,A93,A173,1,1
A12,A32,790,A92,A172,1,1
A12,A34,1860,A93,A174,1,1
A14,A32,3835,A92,A172,1,1
A11,A34,6615,A93,A174,1,1
A11,A34,4716,A93,A172,2,1
A12,A34,1919,A93,A173,1,1
A12,A33,2353,A91,A173,1,1
A13,A32,1258,A92,A172,1,1
A14,A34,2743,A93,A173,1,1
A14,A34,926,A92,A171,1,1
A14,A34,1851,A94,A173,1,1
A14,A34,1393,A92,A174,1,1
A12,A32,5381,A93,A171,1,1
A11,A32,3149,A93,A173,1,1
A11,A32,1289,A93,A172,1,1
A14,A32,3595,A93,A173,1,1
A14,A31,1569,A93,A172,2,1
A14,A32,1736,A92,A172,1,1
A14,A34,4526,A93,A172,2,1
A11,A32,1168,A94,A172,1,1
A14,A34,618,A93,A173,1,1
A13,A32,1126,A91,A173,1,1
A13,A34,3148,A93,A173,1,1
A11,A32,1620,A92,A173,1,1
A14,A32,2859,A93,A174,1,1
