@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2,11,16,18-19,21'

@attribute DurationMonth numeric
@attribute ResidenceSince numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
12,3,1,2,A191,1
42,4,1,2,A191,1
24,4,2,1,A191,1
9,4,3,1,A192,1
18,3,1,1,A192,1
12,1,1,1,A192,1
18,4,1,2,A192,1
11,4,2,1,A191,1
6,2,1,1,A192,1
11,4,2,1,A191,1
18,1,1,1,A192,1
36,4,2,1,A192,2
36,4,2,1,A192,2
10,4,1,1,A191,1
36,4,1,1,A191,1
14,2,1,1,A192,1
6,2,2,2,A191,1
48,1,1,1,A192,1
12,3,1,1,A192,1
24,2,2,1,A192,1
12,2,1,1,A191,1
10,4,2,1,A192,1
12,2,2,1,A192,1
12,2,2,1,A191,2
18,4,2,1,A191,1
24,4,1,1,A191,1
12,4,1,1,A191,2
18,1,2,1,A191,1
12,1,1,1,A192,1
18,3,1,1,A192,2
27,4,2,1,A191,1
24,4,2,2,A192,1
12,1,1,1,A191,1
24,2,1,2,A191,2
18,4,1,1,A191,2
18,3,1,1,A191,1
48,3,1,2,A191,1
18,4,1,1,A192,1
4,2,1,2,A191,1
24,3,1,1,A191,2
6,4,1,1,A192,2
12,2,1,1,A191,1
18,1,1,1,A191,2
18,4,1,1,A191,1
6,4,1,1,A191,1
9,3,1,1,A191,1
14,2,2,1,A191,1
33,2,2,1,A192,1
12,2,2,1,A192,2
24,2,1,1,A191,2
12,1,1,2,A191,2
15,3,1,1,A191,1
9,2,1,1,A191,1
12,1,1,1,A191,1
39,4,1,1,A191,1
12,4,1,1,A192,1
6,4,1,1,A192,2
10,4,1,1,A191,2
48,4,2,2,A191,2
6,4,1,2,A191,1
12,1,1,1,A191,1
24,4,1,1,A192,1
36,4,2,1,A191,2
12,1,1,1,A191,1
24,4,1,1,A191,2
60,2,1,1,A191,1
15,2,1,1,A191,1
42,4,2,1,A192,1
15,1,1,1,A191,1
12,4,3,2,A192,1
12,2,1,1,A191,2
36,4,4,1,A192,2
48,3,1,1,A192,1
18,1,1,1,A191,1
36,3,1,1,A191,1
15,2,1,1,A191,1
9,4,2,1,A191,1
12,2,1,1,A191,2
24,3,1,1,A191,1
21,3,1,1,A191,1
12,4,1,1,A191,1
24,2,1,1,A192,1
18,4,1,2,A192,2
24,4,2,2,A191,1
12,2,2,1,A192,1
12,2,1,1,A191,1
36,2,1,1,A191,2
24,4,1,1,A192,1
18,4,2,2,A191,2
36,2,2,2,A192,1
27,4,4,2,A192,1
36,2,1,2,A192,1
18,3,1,1,A191,2
24,4,1,1,A191,2
24,2,1,1,A192,2
12,4,2,2,A192,1
18,1,1,2,A191,2
30,4,2,1,A191,1
15,2,1,1,A191,2
48,2,1,1,A192,2
