@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,6-7,13,16-17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,48,A61,A73,22,1,A173,2
A11,6,A63,A73,44,1,A173,1
A11,8,A61,A75,51,2,A174,1
A11,36,A65,A75,40,1,A174,2
A11,42,A61,A72,34,1,A173,2
A14,54,A65,A73,39,1,A172,1
A12,54,A61,A72,58,1,A173,2
A12,9,A61,A74,35,1,A173,1
A12,12,A61,A74,32,1,A173,1
A12,18,A61,A74,28,1,A172,1
A11,10,A65,A72,27,2,A173,1
A12,18,A65,A72,27,1,A173,2
A11,12,A61,A73,40,1,A172,1
A13,12,A61,A73,44,1,A172,1
A14,18,A64,A75,46,2,A173,1
A11,9,A62,A75,48,2,A173,1
A11,15,A61,A75,33,2,A173,2
A14,30,A65,A71,53,1,A174,2
A14,12,A61,A75,43,3,A173,1
A14,4,A61,A74,42,3,A172,1
A12,21,A62,A75,61,2,A172,2
A14,6,A61,A74,51,1,A173,1
A11,6,A64,A74,39,2,A172,1
A11,12,A61,A73,27,1,A173,1
A11,24,A61,A75,55,1,A173,1
A14,6,A61,A72,32,1,A173,2
A12,12,A61,A73,49,2,A173,1
A11,24,A61,A72,48,1,A173,2
A12,48,A61,A72,26,1,A173,2
A12,36,A61,A73,42,1,A173,2
A11,10,A61,A74,49,2,A173,1
A14,30,A65,A74,24,1,A172,1
A12,13,A61,A72,23,1,A172,1
A12,10,A61,A73,31,1,A172,1
A14,18,A65,A71,38,1,A174,1
A14,10,A63,A75,46,1,A173,1
A11,36,A61,A75,42,1,A173,2
A14,7,A65,A75,36,1,A173,1
A14,22,A65,A74,25,1,A173,1
A11,36,A61,A74,39,1,A174,1
A12,24,A61,A72,22,1,A173,2
A14,18,A64,A73,46,2,A173,1
A14,24,A64,A75,37,2,A173,1
A11,12,A61,A73,30,1,A173,1
A12,7,A61,A73,35,1,A173,1
A14,24,A61,A72,29,1,A174,1
A11,15,A61,A75,44,2,A173,1
A14,12,A61,A75,26,2,A173,1
A13,15,A63,A73,36,1,A173,1
A12,15,A62,A71,34,1,A174,2
A14,39,A62,A75,45,1,A174,1
A11,12,A61,A74,26,1,A173,2
A13,15,A61,A74,26,1,A173,1
A12,9,A61,A73,30,1,A173,2
A14,18,A61,A74,22,1,A173,2
A14,12,A61,A73,49,1,A172,1
A13,6,A61,A73,41,1,A173,1
A11,18,A61,A73,44,1,A173,2
A14,24,A63,A74,28,1,A173,1
A11,30,A61,A73,32,2,A173,1
A12,30,A61,A73,28,2,A173,1
A11,12,A65,A73,23,1,A173,2
A14,30,A61,A74,26,1,A174,1
A11,24,A61,A75,64,1,A172,1
A14,9,A62,A75,35,1,A173,1
A14,12,A61,A71,38,1,A171,1
A14,12,A63,A73,29,1,A172,2
A14,15,A63,A75,35,1,A173,1
A12,9,A61,A75,25,1,A173,1
A12,9,A61,A73,37,1,A172,1
A11,24,A61,A73,21,1,A172,2
A12,30,A62,A73,26,2,A172,2
A11,24,A63,A73,22,1,A173,1
A11,18,A61,A72,23,1,A172,2
A14,24,A64,A75,60,1,A173,1
A12,48,A61,A75,50,1,A173,2
A13,12,A61,A73,24,1,A173,1
A14,18,A61,A73,36,2,A173,2
A11,24,A61,A75,63,2,A173,1
A14,15,A61,A73,35,2,A173,1
A14,9,A62,A73,26,1,A173,1
A14,18,A61,A73,28,1,A173,2
A14,15,A61,A75,46,2,A173,1
A14,12,A64,A74,35,1,A173,1
A11,16,A61,A75,43,1,A173,2
A14,18,A61,A73,28,2,A173,1
A11,9,A61,A72,22,1,A173,2
A12,12,A61,A74,30,1,A173,1
A11,12,A61,A73,43,2,A172,1
A11,12,A61,A73,23,1,A173,1
A14,24,A65,A74,31,1,A173,1
A11,15,A61,A72,46,1,A173,1
A14,36,A61,A71,26,2,A174,2
A11,12,A61,A73,29,1,A173,1
A14,6,A61,A75,30,2,A173,1
A14,24,A61,A73,43,1,A172,1
A12,6,A61,A73,64,1,A173,1
A11,24,A61,A71,29,1,A174,1
A14,12,A65,A75,50,1,A173,1
A14,12,A61,A75,38,1,A173,1
