@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
21,A34,1602,30,2,A192,1
24,A33,6967,36,1,A192,1
24,A34,1597,54,2,A191,1
18,A34,1800,24,2,A191,1
24,A34,6314,27,2,A192,1
12,A33,2247,36,2,A192,1
24,A32,3972,25,1,A192,1
24,A33,2375,44,2,A192,1
18,A34,3850,27,2,A191,1
10,A32,1597,40,1,A191,1
24,A34,2223,52,2,A191,1
48,A32,5381,40,1,A192,1
12,A32,2577,42,1,A191,1
18,A32,1950,34,2,A192,1
12,A34,1291,35,2,A191,1
36,A33,4454,34,2,A191,1
36,A32,3249,39,1,A192,1
36,A32,4795,30,1,A192,1
12,A34,717,52,3,A191,1
18,A34,6070,33,2,A192,1
30,A32,2522,39,1,A191,1
24,A32,6568,21,1,A191,1
9,A32,2753,35,1,A192,1
36,A34,5371,28,2,A191,1
60,A32,10144,21,1,A192,1
15,A32,5324,35,1,A191,1
6,A34,1740,30,2,A191,1
15,A32,1514,22,1,A191,1
18,A33,2320,34,2,A191,1
22,A32,1283,25,1,A191,1
6,A32,1203,43,1,A192,1
24,A32,5511,25,1,A191,1
21,A34,571,65,2,A191,1
18,A32,1936,23,2,A191,1
12,A32,1424,55,1,A192,1
6,A32,1236,50,1,A191,1
18,A32,1126,21,1,A192,1
36,A32,5848,24,1,A191,1
10,A32,1546,31,1,A191,1
12,A32,2930,27,1,A191,1
4,A34,3380,37,1,A191,1
22,A32,2675,40,1,A191,1
9,A32,276,22,1,A191,1
30,A33,2503,41,2,A191,1
6,A32,672,54,1,A192,1
6,A32,662,41,1,A192,1
9,A32,3577,26,1,A191,1
9,A34,3074,33,2,A191,1
18,A32,2662,32,1,A191,1
12,A32,1330,26,1,A191,1
24,A33,717,54,2,A192,1
21,A32,2782,31,1,A191,1
15,A34,1433,25,2,A191,1
21,A32,3763,24,1,A191,1
36,A33,7678,40,2,A192,1
24,A32,2924,63,1,A192,1
12,A32,2390,50,1,A192,1
24,A32,3021,24,1,A191,1
24,A32,1469,41,1,A191,1
36,A32,6948,35,1,A192,1
13,A34,882,23,2,A191,1
12,A32,886,21,1,A191,1
24,A32,3235,26,1,A192,1
36,A32,2323,24,1,A191,1
11,A34,3939,40,2,A191,1
15,A32,1403,28,1,A191,1
24,A34,2578,34,1,A191,1
15,A32,2511,23,1,A191,1
18,A34,1795,48,2,A192,1
12,A34,3617,28,3,A192,1
12,A32,1567,22,1,A192,1
24,A34,3777,50,1,A192,1
12,A32,763,26,1,A192,1
36,A32,4686,32,1,A192,1
15,A32,4657,30,1,A192,1
9,A32,458,24,1,A191,1
24,A34,1382,26,2,A192,1
12,A32,1963,31,2,A192,1
24,A33,2032,60,2,A192,1
24,A32,1311,26,1,A192,1
12,A32,1092,49,2,A192,1
6,A34,1343,46,2,A191,1
36,A33,2862,30,1,A191,1
36,A32,7409,37,2,A191,1
9,A34,1288,48,2,A191,1
15,A32,1300,45,1,A191,1
6,A32,2647,44,1,A191,1
