@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,12,14,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,3059,A121,A143,1
A11,1282,A123,A143,2
A14,2069,A123,A143,1
A13,409,A121,A143,1
A11,6187,A123,A143,1
A14,2073,A121,A143,1
A12,14421,A123,A143,2
A14,5190,A122,A143,1
A12,5954,A121,A141,1
A14,5943,A123,A143,2
A11,2249,A123,A143,1
A12,2622,A123,A143,1
A14,1469,A121,A143,1
A13,709,A121,A143,1
A11,5371,A122,A143,1
A11,571,A121,A143,1
A14,3777,A121,A143,1
A12,884,A123,A141,2
A12,5129,A124,A141,2
A12,1501,A123,A143,2
A11,3104,A122,A141,1
A13,3913,A121,A143,1
A12,866,A121,A143,1
A14,1533,A123,A142,1
A14,999,A123,A143,1
A14,2697,A121,A143,1
A11,6419,A124,A143,1
A13,4796,A124,A143,1
A14,701,A123,A143,1
A12,7408,A122,A143,2
A14,11590,A123,A141,2
A14,1459,A123,A143,1
A14,2331,A121,A143,1
A11,7685,A123,A143,2
A14,1820,A122,A143,1
A12,983,A121,A143,1
A12,11760,A124,A143,1
A12,1223,A121,A143,2
A14,1473,A121,A143,1
A14,3235,A123,A143,1
A14,5842,A122,A143,1
A14,2743,A123,A143,1
A11,3394,A123,A143,1
A12,2629,A123,A141,1
A14,2759,A122,A143,1
A11,3905,A121,A143,1
A11,343,A121,A143,1
A11,1721,A121,A143,1
A14,2764,A123,A143,1
A12,3092,A123,A143,2
A11,3114,A122,A143,2
A14,960,A122,A143,1
A11,1207,A122,A143,2
A12,7966,A123,A143,1
A13,2319,A123,A143,2
A11,626,A121,A141,2
A12,1199,A122,A143,1
A14,1927,A123,A143,1
A14,1388,A121,A143,1
A12,1965,A123,A143,1
A14,2775,A122,A141,2
A14,2051,A121,A143,1
A13,947,A124,A141,2
A12,6361,A124,A143,1
A14,6314,A124,A141,1
A13,3017,A122,A143,1
A14,4139,A122,A143,1
A14,10366,A122,A143,1
A14,1478,A121,A141,1
A14,6527,A124,A143,1
A11,3651,A122,A143,1
A14,629,A122,A141,1
A14,7596,A123,A143,1
A13,1337,A123,A143,2
A11,1882,A123,A141,2
A11,1797,A122,A141,1
A14,5771,A123,A143,1
A14,5711,A123,A143,1
A12,1410,A121,A143,1
A14,2751,A123,A143,1
A14,2301,A122,A143,1
A14,717,A123,A143,1
A11,3931,A124,A143,2
A12,7432,A122,A143,1
A14,2611,A121,A143,1
A11,2235,A122,A141,2
A11,3959,A122,A143,2
A14,4526,A121,A142,1
A14,3595,A123,A143,1
A11,795,A122,A143,2
A12,15672,A123,A143,2
A14,7824,A121,A141,1
A12,5800,A123,A143,1
A11,2359,A122,A143,2
A14,1867,A123,A143,1
A12,1670,A123,A143,2
A13,745,A121,A143,2
A11,2145,A123,A143,2
A14,2397,A123,A141,2
A14,2538,A123,A143,2
