@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,30,A43,58,1,A201,1
A11,8,A40,47,1,A201,1
A11,12,A41,66,1,A201,1
A14,6,A40,54,1,A201,1
A14,24,A43,36,1,A201,1
A12,36,A46,27,1,A201,1
A14,12,A43,30,1,A201,1
A12,6,A42,35,1,A201,1
A14,18,A42,35,1,A201,1
A14,6,A43,28,1,A201,1
A11,6,A40,39,1,A201,1
A12,24,A43,29,1,A201,1
A14,36,A43,31,1,A201,1
A14,24,A49,74,1,A201,1
A12,18,A40,28,1,A201,1
A11,18,A40,35,2,A201,1
A11,21,A42,26,1,A201,1
A14,12,A46,37,2,A201,1
A11,6,A41,23,1,A201,1
A12,7,A43,34,1,A201,1
A11,30,A41,24,1,A201,1
A12,12,A49,39,1,A201,1
A14,24,A41,35,1,A201,1
A14,24,A43,52,1,A201,1
A14,15,A43,46,1,A201,1
A14,24,A43,26,1,A201,1
A14,30,A41,24,1,A201,1
A12,21,A42,32,1,A201,1
A11,9,A43,25,1,A201,1
A13,6,A40,27,1,A202,1
A12,39,A46,32,1,A201,1
A11,18,A49,31,1,A201,1
A14,30,A41,63,1,A201,1
A12,24,A43,42,1,A201,1
A12,10,A42,31,1,A201,1
A12,6,A43,38,1,A201,1
A12,12,A42,34,1,A201,1
A14,15,A42,33,1,A201,1
A13,12,A40,66,1,A201,1
A11,15,A42,46,1,A201,1
A14,6,A42,32,1,A201,1
A11,6,A40,39,1,A201,1
A14,9,A49,27,1,A201,1
A14,12,A42,49,1,A201,1
A14,60,A43,21,1,A201,1
A12,12,A48,38,1,A201,1
A12,11,A42,20,1,A201,1
A11,15,A40,23,1,A201,1
A11,6,A43,31,1,A201,1
A12,9,A40,35,1,A201,1
A12,15,A43,50,1,A201,1
A14,12,A41,55,1,A202,1
A14,15,A43,54,1,A201,1
A14,36,A41,42,1,A201,1
A11,42,A42,45,2,A201,1
A14,24,A41,35,1,A201,1
A11,9,A40,36,2,A201,1
A14,24,A40,60,1,A201,1
A12,12,A49,23,1,A201,1
A14,9,A40,51,1,A201,1
A11,24,A42,22,1,A201,1
A14,6,A43,42,2,A201,1
A12,6,A43,28,2,A201,1
A14,24,A45,33,1,A201,1
A12,12,A40,32,1,A201,1
A12,24,A49,37,1,A201,1
A11,12,A41,54,1,A201,1
A14,12,A43,28,1,A201,1
A11,18,A43,32,1,A201,1
A14,22,A43,40,1,A201,1
A14,12,A49,36,1,A201,1
A14,24,A40,43,2,A201,1
A11,24,A42,24,1,A201,1
A12,9,A49,27,1,A201,1
A14,24,A43,38,1,A201,1
A11,20,A42,39,1,A201,1
A14,36,A43,25,1,A201,1
A11,36,A40,39,2,A201,1
A14,24,A41,27,1,A201,1
A12,21,A42,35,1,A201,1
A12,13,A43,23,1,A201,1
A13,24,A42,51,1,A201,1
A11,12,A42,55,1,A201,1
A11,24,A41,63,1,A201,1
A14,12,A49,57,1,A201,1
A11,24,A41,34,1,A201,1
A14,12,A40,38,2,A201,1
A14,9,A43,33,2,A201,1
A14,18,A41,31,1,A201,1
A14,7,A43,46,1,A201,1
A12,12,A40,49,2,A201,1
A13,10,A42,23,1,A201,1
A12,24,A41,29,1,A201,1
A12,48,A43,41,2,A201,1
A14,18,A41,38,1,A201,1
A14,36,A41,30,1,A201,1
A11,12,A42,24,1,A201,1
A11,9,A45,48,2,A202,1
A14,60,A40,42,1,A201,1
A11,18,A43,27,1,A201,1
A11,6,A40,43,1,A201,1
A14,18,A43,24,1,A201,1
A14,12,A49,27,1,A201,1
A14,6,A43,51,2,A201,1
A14,6,A43,24,1,A201,1
A14,12,A43,35,1,A201,1
A11,12,A42,22,1,A201,1
A14,15,A46,31,1,A201,1
A13,12,A43,42,1,A201,1
A14,12,A41,20,1,A201,1
A12,12,A43,49,1,A201,1
A14,24,A43,46,1,A201,1
A11,12,A42,29,2,A201,1
A14,24,A42,25,1,A201,1
A14,48,A41,35,1,A201,1
A12,18,A49,42,1,A201,1
A11,24,A42,28,1,A201,1
A12,12,A43,29,1,A202,1
A14,36,A43,51,1,A201,1
A12,15,A45,25,1,A201,1
A14,24,A41,28,1,A201,1
A11,6,A40,75,1,A201,1
A13,12,A42,46,1,A201,1
A12,16,A40,68,1,A201,1
A12,13,A43,23,1,A201,1
A13,15,A49,26,1,A201,1
A12,20,A41,31,1,A201,1
A13,42,A49,33,1,A201,1
A14,10,A40,45,1,A202,1
A11,24,A42,22,1,A201,1
A14,24,A42,53,1,A201,1
A12,24,A42,30,1,A201,1
A11,10,A40,48,2,A202,1
A12,36,A43,36,1,A201,1
A14,24,A43,28,1,A201,1
A14,24,A42,35,1,A201,1
A11,36,A42,30,1,A201,1
A11,12,A43,35,1,A201,1
A14,24,A41,23,1,A201,1
A14,24,A42,30,1,A201,1
A14,10,A40,64,1,A201,1
A12,12,A43,26,1,A201,1
A13,4,A40,29,2,A202,1
A12,18,A42,37,1,A201,1
A14,12,A42,42,1,A201,1
A14,7,A43,36,1,A201,1
A14,6,A40,41,1,A201,1
A14,12,A43,26,1,A201,1
A14,6,A49,34,1,A201,1
A11,12,A42,21,1,A201,1
A11,12,A43,24,1,A201,1
A14,18,A43,32,1,A201,1
A14,18,A43,33,1,A201,1
A13,36,A43,24,1,A201,1
A12,12,A42,19,1,A201,1
A11,12,A40,30,1,A201,1
A14,36,A43,34,1,A201,1
A12,9,A40,22,1,A201,1
A13,30,A43,47,1,A201,1
A14,27,A45,48,2,A201,1
A12,6,A43,30,1,A201,1
A13,18,A40,23,1,A201,1
A14,30,A49,26,1,A201,1
A14,54,A41,39,2,A201,1
A11,18,A43,25,1,A201,1
A14,12,A40,27,1,A201,1
A14,5,A49,74,1,A201,1
A11,48,A46,50,1,A201,1
A12,12,A40,24,1,A201,1
A12,21,A49,27,1,A201,1
A14,27,A42,32,2,A201,1
A12,12,A40,22,1,A201,1
A14,12,A43,21,1,A201,1
A14,12,A42,43,1,A201,1
A13,6,A40,74,2,A202,1
A14,15,A41,46,1,A201,1
A14,24,A43,43,1,A201,1
A13,12,A43,24,1,A201,1
A14,18,A41,27,1,A201,1
A12,48,A40,30,1,A201,1
A14,30,A43,26,1,A201,1
A14,12,A43,56,1,A201,1
A14,12,A40,52,1,A201,1
A11,24,A410,58,1,A201,1
A12,24,A46,24,1,A201,1
A14,24,A40,34,2,A201,1
A11,15,A42,25,1,A201,1
A12,36,A41,35,1,A201,1
A11,12,A43,23,1,A201,1
A14,21,A42,23,1,A201,1
A14,12,A43,29,1,A201,1
A12,9,A42,24,1,A201,1
A14,36,A40,36,1,A201,1
A14,12,A46,47,2,A201,1
A12,24,A43,33,1,A201,1
A14,24,A49,32,2,A201,1
A14,24,A40,37,1,A201,1
A14,24,A40,27,1,A201,1
A12,9,A43,37,2,A201,1
A14,18,A40,32,1,A202,1
A11,42,A45,65,1,A201,1
A14,10,A40,31,2,A202,1
A12,6,A48,39,1,A201,1
A14,24,A41,43,2,A201,1
A14,12,A42,31,1,A201,1
A13,24,A43,57,1,A201,1
A14,24,A43,31,2,A201,1
A12,18,A45,44,2,A201,1
A11,24,A41,26,1,A201,1
A14,14,A40,27,1,A201,1
A11,12,A42,27,1,A201,1
A11,18,A42,28,1,A201,1
A11,11,A40,40,2,A201,1
A14,10,A48,40,1,A201,1
A12,45,A41,27,1,A201,1
A12,30,A43,26,1,A201,1
A14,21,A41,46,1,A201,1
A13,24,A42,26,1,A201,1
A11,30,A49,25,1,A201,1
A14,12,A43,52,1,A201,1
A14,10,A40,35,1,A202,1
A11,27,A49,43,2,A201,1
A14,21,A41,36,1,A201,1
A14,24,A42,25,1,A201,1
A14,12,A46,32,1,A201,1
A14,24,A49,27,1,A201,1
A14,48,A49,46,2,A201,1
A12,21,A40,47,1,A201,1
