@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Standard-of-living numeric
@attribute Contraceptive_method {1,2,3}

@data
31,2,2,1
31,0,4,1
40,8,3,1
34,1,3,1
36,5,3,1
37,7,1,1
30,3,1,1
28,0,4,1
19,0,2,1
45,1,3,1
44,1,3,1
43,2,2,1
28,1,1,1
47,1,3,1
41,2,4,1
35,2,4,1
45,5,2,1
45,2,4,1
49,10,4,1
44,11,1,1
36,6,4,1
36,2,4,1
21,0,1,1
46,11,2,1
33,5,3,1
35,0,2,1
24,1,2,1
47,2,4,1
29,7,4,1
24,2,4,1
30,5,4,1
44,4,3,1
28,3,1,1
22,4,4,1
38,5,4,1
39,3,4,1
38,5,2,1
33,5,4,1
25,6,4,2
30,2,4,2
26,2,3,2
37,3,4,2
37,8,4,2
39,5,4,2
31,3,4,2
26,1,4,2
35,2,4,2
30,4,3,2
33,3,4,2
35,6,3,2
36,6,2,2
27,1,4,2
44,7,4,2
42,4,4,2
44,5,4,2
40,6,3,2
45,3,4,2
40,2,4,2
30,7,4,2
30,2,3,2
32,2,4,2
17,1,2,3
30,4,4,3
26,3,4,3
42,7,4,3
21,1,2,3
32,4,3,3
25,2,1,3
32,2,4,3
23,1,3,3
26,4,3,3
33,4,3,3
25,1,4,3
37,3,4,3
33,2,3,3
44,5,4,3
19,2,4,3
30,3,1,3
29,5,4,3
21,1,3,3
25,3,1,3
32,4,2,3
38,3,4,3
22,1,4,3
29,3,2,3
38,7,2,3
32,4,2,3
29,3,4,3
27,2,4,3
28,2,3,3
33,6,2,3
35,2,4,3
28,2,4,3
32,4,2,3
20,1,4,3
22,2,4,3
41,11,3,1
23,2,3,1
26,3,4,1
35,1,3,1
32,1,3,1
27,4,4,1
42,1,4,1
43,6,3,1
22,0,4,1
46,8,4,1
30,1,4,1
47,7,3,1
48,5,3,1
45,0,3,1
38,6,1,1
45,0,3,1
35,3,4,1
18,1,3,1
21,1,4,1
43,5,3,1
22,1,4,1
48,8,3,1
29,1,3,1
42,0,4,1
47,2,4,1
32,4,2,2
25,1,4,2
35,4,2,2
23,1,3,2
22,2,3,2
26,3,4,2
32,2,4,2
33,2,4,2
38,3,4,2
34,5,4,2
24,1,4,3
28,3,4,3
33,4,3,3
37,1,4,3
31,4,3,3
36,4,1,3
30,3,3,3
25,2,3,3
34,2,4,3
42,5,4,3
21,0,4,3
22,2,4,3
45,3,4,3
19,1,3,3
26,4,4,3
33,4,2,3
