@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R4-5,10'

@attribute Children numeric
@attribute Wife_religion numeric
@attribute Contraceptive_method {1,2,3}

@data
6,1,1
5,1,1
2,1,1
8,1,1
1,1,1
1,1,1
4,1,1
8,1,1
6,0,1
2,1,1
1,1,1
1,1,1
1,1,1
5,1,1
3,1,1
1,1,1
1,1,1
2,1,1
0,1,1
4,1,1
8,1,1
0,1,1
5,1,1
1,1,1
1,1,1
1,1,1
4,1,1
3,0,1
2,0,1
0,1,1
1,0,1
8,1,1
1,0,1
2,1,1
1,1,1
0,1,1
2,0,1
5,1,1
2,1,1
8,1,1
3,1,1
1,1,2
2,1,2
3,1,2
1,0,2
4,1,2
8,1,2
6,1,2
1,1,2
11,1,2
1,1,2
6,1,2
1,1,2
5,1,2
1,1,2
6,1,2
3,0,2
5,1,2
5,1,2
3,0,2
6,1,2
6,1,3
1,1,3
3,1,3
2,1,3
8,1,3
5,1,3
4,0,3
1,1,3
3,1,3
3,0,3
1,0,3
2,1,3
2,1,3
3,1,3
4,1,3
8,1,3
1,0,3
1,1,3
2,1,3
4,1,3
1,1,3
1,1,3
1,1,3
3,1,3
5,1,3
3,1,3
2,0,3
5,1,3
2,1,3
2,0,3
5,1,3
2,0,3
6,0,3
3,0,3
2,1,3
8,1,3
0,1,1
3,1,1
7,1,1
2,1,1
1,1,1
0,1,1
8,1,1
3,1,1
9,1,1
6,1,1
0,1,1
0,1,1
4,1,1
6,1,1
7,1,1
4,0,1
6,1,1
0,1,1
4,1,1
3,1,1
5,1,1
4,1,2
9,1,2
2,0,2
1,1,2
7,0,2
4,1,2
7,1,2
4,0,2
4,1,2
3,1,2
6,1,2
2,0,2
1,1,2
1,0,2
2,1,3
3,0,3
1,1,3
5,1,3
7,1,3
1,1,3
6,1,3
1,1,3
5,1,3
4,1,3
6,1,3
1,0,3
6,1,3
3,1,3
2,1,3
