@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
28,1,2,1
47,0,1,1
49,7,2,1
20,2,2,1
49,6,1,1
20,1,2,1
22,1,2,1
24,1,3,1
46,6,1,1
41,10,2,1
17,3,3,1
26,2,3,1
44,3,3,1
48,8,3,1
22,1,2,1
22,2,3,1
25,3,3,1
27,2,3,1
22,2,3,1
26,3,3,1
31,5,3,1
45,6,2,1
28,1,3,1
23,2,2,1
29,2,4,1
23,4,3,1
40,3,3,1
36,0,3,1
28,2,2,1
40,2,3,1
45,2,1,1
28,1,1,1
25,1,2,1
35,8,3,1
23,6,3,1
49,0,3,1
44,3,1,1
19,1,2,1
42,2,3,1
46,5,1,2
46,2,1,2
32,2,1,2
33,6,3,2
35,4,3,2
35,5,1,2
32,2,1,2
25,4,3,2
45,8,2,2
28,2,1,2
35,4,3,2
47,4,1,2
24,1,1,2
17,1,2,2
42,5,1,2
35,6,3,2
37,4,1,2
47,8,3,2
41,4,1,2
29,4,3,3
27,1,1,3
27,1,3,3
43,3,1,3
35,2,2,3
37,5,2,3
34,4,1,3
27,4,2,3
29,1,3,3
22,1,2,3
30,7,3,3
19,1,2,3
34,7,2,3
31,7,3,3
23,2,3,3
28,5,2,3
38,5,2,3
38,6,2,3
25,3,3,3
26,2,2,3
34,4,3,3
28,3,3,3
26,3,3,3
22,1,3,3
28,4,3,3
23,1,3,3
39,2,3,3
47,5,1,3
26,2,1,3
36,3,3,3
37,5,4,3
45,3,1,3
33,2,2,3
23,0,1,1
38,12,2,1
47,4,3,1
43,3,2,1
33,0,3,1
49,8,3,1
37,7,3,1
25,3,1,1
25,1,2,1
39,1,2,1
31,1,3,1
25,2,3,1
45,6,3,1
34,6,3,1
48,11,1,1
48,1,1,1
45,1,1,1
25,1,3,1
31,3,2,1
36,3,2,1
41,3,2,1
25,0,2,1
34,6,2,1
26,1,3,1
42,6,1,2
40,4,1,2
26,2,1,2
27,3,1,2
34,4,2,2
21,1,1,2
24,1,2,2
34,4,3,2
41,3,2,2
33,2,1,2
41,4,2,2
36,4,1,2
37,4,2,2
34,2,3,2
41,4,1,2
17,1,3,3
44,4,2,3
21,1,3,3
25,2,2,3
24,4,3,3
32,4,2,3
22,2,3,3
36,6,2,3
25,2,2,3
30,3,3,3
36,9,3,3
28,2,3,3
47,5,3,3
44,5,3,3
24,1,1,3
30,5,3,3
36,3,3,3
35,5,3,3
