@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Standard-of-living numeric
@attribute Contraceptive_method {1,2,3}

@data
45,10,4,1
42,4,3,1
40,8,3,1
29,0,4,1
26,0,2,1
26,0,4,1
25,1,3,1
29,1,1,1
21,0,3,1
20,1,2,1
44,3,4,1
21,4,2,1
34,4,3,1
30,4,4,1
34,2,4,1
19,2,2,1
34,3,2,1
40,1,4,1
27,2,2,1
22,1,3,1
45,1,3,1
47,8,3,1
28,0,2,1
24,1,3,1
40,4,2,1
27,1,2,1
44,7,4,1
42,10,2,1
47,5,4,1
49,6,4,1
23,1,4,1
47,3,3,1
36,2,4,1
25,2,3,1
40,3,4,1
49,4,4,1
30,4,2,1
25,3,3,1
34,7,3,1
40,3,2,1
32,5,3,1
25,0,4,1
30,3,4,2
25,3,3,2
45,7,4,2
48,7,4,2
49,10,4,2
46,4,4,2
36,3,4,2
40,4,3,2
44,5,4,2
24,2,3,2
27,3,4,2
38,6,3,2
33,3,3,2
36,3,4,2
36,4,4,2
32,4,4,2
43,6,4,2
42,3,4,2
24,1,4,2
44,3,4,2
36,3,4,2
34,6,4,2
41,7,4,2
44,4,4,2
25,3,4,2
48,16,4,3
33,3,4,3
35,1,4,3
40,2,4,3
33,3,3,3
21,1,3,3
32,3,4,3
27,1,3,3
44,11,4,3
24,2,4,3
39,2,3,3
32,2,4,3
36,4,4,3
31,5,1,3
40,6,3,3
31,3,2,3
37,6,4,3
25,2,4,3
35,5,4,3
22,1,4,3
30,3,4,3
25,3,3,3
28,4,3,3
25,2,3,3
26,2,3,3
35,3,4,3
23,2,2,3
31,4,3,3
35,9,4,3
31,1,4,3
22,2,4,3
35,4,4,3
25,5,3,3
28,3,4,3
29,4,4,1
43,10,3,1
28,1,2,1
34,4,3,1
43,8,2,1
36,6,3,1
28,0,1,1
25,1,2,1
22,0,1,1
42,3,4,1
26,1,2,1
47,12,1,1
33,3,3,1
45,1,4,1
25,1,4,1
31,2,3,1
47,5,4,1
22,2,4,1
28,3,4,1
47,1,4,1
46,6,4,1
26,2,3,2
29,2,4,2
37,4,4,2
37,3,4,2
26,2,3,2
40,5,3,2
42,3,4,2
42,5,3,2
32,5,3,3
24,2,3,3
38,9,3,3
35,6,2,3
37,9,3,3
30,3,3,3
33,5,3,3
35,5,3,3
20,2,2,3
28,7,3,3
22,3,3,3
26,1,4,3
37,6,4,3
27,1,4,3
31,5,4,3
27,5,4,3
37,5,4,3
