@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
45,8,2,1
38,2,3,1
44,1,1,1
31,2,1,1
47,2,1,1
23,2,3,1
45,3,1,1
38,1,1,1
35,3,1,1
24,3,2,1
26,3,2,1
23,2,3,1
36,5,2,1
31,2,1,1
25,0,1,1
26,1,1,1
30,2,3,1
43,5,1,1
23,2,2,1
36,4,3,1
30,4,4,1
32,2,3,1
32,1,1,1
31,2,2,1
47,4,1,1
32,4,1,1
47,7,3,1
43,5,3,1
49,6,2,1
48,3,2,1
41,5,3,1
23,2,3,1
22,2,2,1
32,4,2,1
37,0,3,1
17,1,3,1
37,2,1,1
45,4,2,1
38,4,1,2
37,2,3,2
30,1,3,2
36,3,1,2
38,2,1,2
42,8,1,2
31,3,4,2
31,2,3,2
48,4,1,2
36,4,2,2
38,5,1,2
47,7,2,2
47,6,1,2
43,2,2,2
36,7,2,2
47,10,3,2
29,2,3,2
33,3,2,2
45,6,2,2
35,3,3,2
31,3,2,2
36,2,1,3
35,4,1,3
41,1,3,3
41,5,1,3
24,1,1,3
22,1,3,3
19,3,2,3
27,5,3,3
24,2,1,3
35,6,1,3
22,3,2,3
30,4,3,3
39,4,3,3
25,2,1,3
27,3,2,3
34,2,1,3
30,3,3,3
23,2,3,3
25,3,3,3
21,2,3,3
41,9,2,3
23,2,2,3
24,1,3,3
41,8,1,3
29,2,3,3
23,3,3,3
26,2,3,3
24,3,3,3
22,2,3,3
31,3,3,3
36,3,2,3
46,4,1,3
34,6,2,3
17,0,3,3
29,3,3,3
21,3,3,3
36,11,1,3
46,9,3,3
35,6,3,1
49,1,3,1
20,0,3,1
35,6,2,1
25,1,3,1
48,6,2,1
38,8,3,1
20,2,3,1
28,5,3,1
20,1,3,1
28,1,1,1
19,1,1,1
38,4,2,1
44,2,3,1
22,2,3,1
24,4,1,1
33,3,2,1
38,4,3,1
22,1,3,1
41,3,2,1
37,0,3,1
24,2,2,1
47,5,1,1
31,2,1,1
32,4,2,1
35,3,1,2
21,1,1,2
34,3,1,2
21,3,1,2
29,3,3,2
43,6,3,2
24,1,2,2
27,1,1,2
27,2,1,2
48,3,1,2
25,2,3,2
48,7,1,2
31,4,3,3
37,6,3,3
16,1,3,3
26,2,3,3
22,1,2,3
30,4,3,3
44,5,1,3
26,2,2,3
18,1,2,3
36,3,2,3
41,5,3,3
27,3,2,3
27,4,1,3
30,2,3,3
