@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R4-5,10'

@attribute Children numeric
@attribute Wife_religion numeric
@attribute Contraceptive_method {1,2,3}

@data
3,1,1
0,1,1
7,1,1
8,1,1
0,1,1
1,1,1
3,1,1
0,1,1
1,1,1
4,1,1
3,1,1
4,1,1
0,1,1
1,1,1
3,0,1
2,1,1
2,0,1
4,1,1
4,1,1
1,1,1
1,1,1
2,1,1
0,1,1
1,1,1
12,1,1
11,0,1
8,1,1
4,1,1
1,1,1
5,1,1
2,0,1
2,1,1
2,1,1
0,1,1
0,1,1
2,0,1
1,1,1
1,0,1
0,1,1
3,1,1
2,1,1
1,1,1
1,1,1
8,1,1
3,1,1
2,1,2
5,0,2
4,0,2
3,1,2
4,1,2
1,1,2
6,1,2
3,1,2
2,1,2
7,1,2
3,0,2
2,1,2
4,1,2
5,1,2
5,1,2
1,1,2
3,1,2
3,1,2
2,1,2
3,0,2
5,1,2
4,1,2
5,1,3
4,1,3
4,1,3
3,1,3
5,1,3
3,1,3
4,1,3
4,1,3
5,1,3
4,1,3
2,1,3
2,1,3
5,1,3
4,1,3
4,1,3
2,1,3
3,1,3
2,1,3
3,1,3
4,1,3
2,1,3
3,1,3
2,1,3
4,1,3
3,1,3
5,1,3
4,1,3
2,0,3
2,1,3
5,1,3
4,1,3
4,1,3
4,1,3
3,1,3
3,1,3
3,1,3
3,1,3
3,1,3
5,1,3
4,1,3
2,1,1
3,1,1
1,1,1
4,0,1
2,1,1
2,1,1
0,0,1
2,1,1
8,1,1
4,1,1
2,1,1
2,1,1
4,1,1
0,1,1
4,0,1
3,1,1
3,1,1
0,1,1
3,1,2
3,1,2
4,1,2
3,1,2
5,1,2
5,1,2
5,1,2
3,0,2
4,1,2
4,1,2
3,1,2
4,1,3
2,1,3
2,1,3
3,0,3
5,1,3
3,0,3
2,1,3
3,1,3
5,0,3
1,0,3
1,1,3
