@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3,6-8,10,12,14,19,21,25-28,30-32,40-41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.107,-0.629,-0.298,-0.682,-0.478,-0.681,-0.718,-0.671,-0.575,-1.107,-0.596,-0.443,-0.829,-0.68,-0.87,-1.107,-0.692,-0.469,2
-1.362,-0.97,-0.64,-1.019,-0.834,-1.017,-1.017,-0.948,-0.824,-1.362,-0.777,-0.652,-1.045,-0.862,-1.061,-1.362,-0.964,-0.833,2
-1.334,-0.708,-0.303,-0.802,-0.568,-0.746,-0.893,-0.823,-0.632,-1.334,-0.892,-0.766,-1.084,-0.966,-1.111,-1.334,-0.877,-0.769,2
-1.192,-0.815,-0.406,-0.745,-0.589,-0.836,-0.815,-0.743,-0.629,-1.192,-0.574,-0.408,-0.849,-0.685,-0.93,-1.192,-0.715,-0.622,2
-1.338,-0.838,-0.435,-0.896,-0.661,-0.821,-0.927,-0.854,-0.692,-1.338,-0.724,-0.607,-0.998,-0.806,-1.013,-1.338,-0.889,-0.687,2
-1.148,-0.99,-0.462,-0.778,-0.675,-0.984,-0.804,-0.76,-0.749,-1.148,-0.805,-0.727,-0.908,-0.843,-1.07,-1.148,-0.81,-0.867,2
-1.161,-0.577,-0.222,-0.664,-0.402,-0.617,-0.692,-0.655,-0.468,-1.161,-0.603,-0.444,-0.856,-0.708,-0.888,-1.161,-0.752,-0.613,2
-1.097,-0.833,-0.408,-0.721,-0.58,-0.906,-0.765,-0.741,-0.694,-1.097,-0.666,-0.525,-0.825,-0.705,-0.98,-1.097,-0.685,-0.713,2
-0.975,-0.765,-0.404,-0.614,-0.511,-0.847,-0.694,-0.666,-0.71,-0.975,-0.556,-0.413,-0.715,-0.615,-0.883,-0.975,-0.557,-0.526,2
-1.218,-0.854,-0.426,-0.817,-0.614,-0.924,-0.767,-0.742,-0.686,-1.218,-0.799,-0.693,-0.951,-0.838,-1.09,-1.218,-0.842,-0.795,2
-1.135,-0.799,-0.264,-0.679,-0.509,-0.805,-0.783,-0.752,-0.654,-1.135,-0.737,-0.666,-0.873,-0.786,-1.012,-1.135,-0.664,-0.602,2
-1.224,-0.837,-0.445,-0.802,-0.638,-0.822,-0.871,-0.793,-0.707,-1.224,-0.621,-0.462,-0.877,-0.736,-0.954,-1.224,-0.797,-0.654,2
-1.162,-0.785,-0.423,-0.737,-0.585,-0.728,-0.802,-0.767,-0.675,-1.162,-0.664,-0.528,-0.876,-0.744,-0.959,-1.162,-0.742,-0.663,2
-1.258,-0.641,-0.23,-0.708,-0.44,-0.673,-0.75,-0.683,-0.479,-1.258,-0.646,-0.499,-0.905,-0.73,-0.862,-1.258,-0.799,-0.598,2
-1.258,-0.754,-0.373,-0.78,-0.559,-0.741,-0.89,-0.821,-0.686,-1.258,-0.675,-0.544,-0.916,-0.753,-0.951,-1.258,-0.742,-0.572,2
-1.364,-0.985,-0.611,-0.983,-0.807,-1.001,-0.991,-0.92,-0.79,-1.364,-0.705,-0.573,-1.018,-0.81,-1.039,-1.364,-0.896,-0.8,2
-1.02,-0.756,-0.317,-0.604,-0.489,-0.765,-0.655,-0.624,-0.568,-1.02,-0.496,-0.351,-0.659,-0.54,-0.845,-1.02,-0.54,-0.457,2
-1.172,-0.793,-0.386,-0.736,-0.583,-0.778,-0.797,-0.721,-0.621,-1.172,-0.534,-0.347,-0.785,-0.647,-0.883,-1.172,-0.69,-0.529,2
-1.142,-0.768,-0.261,-0.672,-0.514,-0.813,-0.761,-0.725,-0.679,-1.142,-0.675,-0.58,-0.844,-0.725,-0.949,-1.142,-0.671,-0.491,2
-1.135,-0.664,-0.297,-0.686,-0.47,-0.728,-0.704,-0.679,-0.561,-1.135,-0.598,-0.449,-0.821,-0.694,-0.914,-1.135,-0.734,-0.68,2
-1.104,-0.78,-0.279,-0.672,-0.517,-0.773,-0.746,-0.703,-0.609,-1.104,-0.697,-0.632,-0.85,-0.747,-0.986,-1.104,-0.674,-0.611,2
-0.805,-0.819,-0.538,-0.646,-0.618,-0.79,-0.651,-0.695,-0.786,-0.805,-0.628,-0.577,-0.659,-0.65,-0.893,-0.805,-0.588,-0.62,2
-1.384,-1.012,-0.63,-1.025,-0.847,-1.033,-0.975,-0.899,-0.722,-1.384,-0.699,-0.546,-1.002,-0.796,-1.007,-1.384,-0.965,-0.906,2
-1.265,-0.923,-0.577,-0.916,-0.732,-0.951,-0.994,-0.944,-0.889,-1.265,-0.848,-0.754,-1.01,-0.893,-1.056,-1.265,-0.846,-0.733,2
-1.29,-0.91,-0.539,-0.92,-0.719,-0.959,-0.942,-0.888,-0.819,-1.29,-0.9,-0.812,-1.077,-0.958,-1.129,-1.29,-0.901,-0.798,2
-1.287,-0.927,-0.536,-0.893,-0.694,-0.971,-0.862,-0.829,-0.79,-1.287,-0.897,-0.786,-1.054,-0.947,-1.158,-1.287,-0.919,-0.87,2
-1.113,-0.724,-0.375,-0.742,-0.556,-0.767,-0.749,-0.699,-0.59,-1.113,-0.592,-0.453,-0.796,-0.673,-0.838,-1.113,-0.706,-0.6,2
-1.066,-0.72,-0.303,-0.615,-0.468,-0.791,-0.688,-0.679,-0.628,-1.066,-0.568,-0.429,-0.729,-0.62,-0.831,-1.066,-0.635,-0.475,2
-1.131,-0.782,-0.295,-0.632,-0.511,-0.814,-0.714,-0.681,-0.605,-1.131,-0.574,-0.438,-0.768,-0.633,-0.91,-1.131,-0.59,-0.461,2
-1.072,-0.637,-0.34,-0.668,-0.513,-0.659,-0.77,-0.732,-0.661,-1.072,-0.665,-0.545,-0.816,-0.697,-0.888,-1.072,-0.652,-0.651,2
-1.05,-0.767,-0.28,-0.59,-0.459,-0.784,-0.661,-0.636,-0.566,-1.05,-0.416,-0.251,-0.644,-0.508,-0.825,-1.05,-0.522,-0.345,2
-1.224,-0.879,-0.505,-0.858,-0.685,-0.91,-0.834,-0.77,-0.633,-1.224,-0.605,-0.457,-0.891,-0.722,-1.001,-1.224,-0.818,-0.732,2
-1.19,-0.997,-0.605,-0.852,-0.753,-0.979,-0.843,-0.762,-0.711,-1.19,-0.749,-0.618,-0.954,-0.847,-1.112,-1.19,-0.87,-0.898,2
-1.373,-0.987,-0.654,-1.017,-0.826,-1.012,-1.067,-0.996,-0.91,-1.373,-0.859,-0.706,-1.049,-0.933,-1.097,-1.373,-0.935,-0.845,2
-1.087,-0.655,-0.41,-0.656,-0.483,-0.68,-0.728,-0.719,-0.604,-1.087,-0.7,-0.591,-0.842,-0.735,-0.881,-1.087,-0.708,-0.661,2
-1.136,-0.796,-0.36,-0.702,-0.541,-0.947,-0.814,-0.785,-0.77,-1.136,-0.739,-0.639,-0.904,-0.796,-1.1,-1.136,-0.662,-0.591,2
-0.874,-0.71,-0.522,-0.64,-0.561,-0.722,-0.678,-0.687,-0.777,-0.874,-0.68,-0.627,-0.73,-0.707,-0.942,-0.874,-0.648,-0.739,2
