@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,12,14-18,20,24,26,30,34-35,37,39,41'

@attribute A4 numeric
@attribute A5 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.639,-0.545,-0.547,-0.879,-0.818,-0.671,-0.718,-0.991,-0.778,-0.892,-0.75,-0.566,-1.015,-0.714,-0.545,-0.871,-0.568,2
-0.494,-0.407,-0.414,-0.709,-0.656,-0.556,-0.602,-0.828,-0.643,-0.704,-0.646,-0.488,-0.829,-0.614,-0.393,-0.786,-0.474,2
-0.475,-0.313,-0.297,-0.71,-0.649,-0.476,-0.493,-0.817,-0.565,-0.604,-0.69,-0.467,-0.87,-0.581,-0.377,-0.76,-0.427,2
-0.539,-0.446,-0.444,-0.805,-0.751,-0.583,-0.616,-0.933,-0.694,-0.724,-0.788,-0.589,-0.966,-0.71,-0.523,-0.877,-0.575,2
-0.507,-0.368,-0.357,-0.753,-0.723,-0.561,-0.594,-0.885,-0.661,-0.689,-0.732,-0.625,-0.943,-0.65,-0.442,-0.825,-0.528,2
-0.837,-0.739,-0.743,-1.039,-0.989,-0.876,-0.88,-1.127,-0.963,-1.055,-0.95,-0.776,-1.099,-0.837,-0.654,-0.994,-0.69,2
-0.469,-0.393,-0.423,-0.728,-0.667,-0.501,-0.554,-0.831,-0.591,-0.681,-0.606,-0.415,-0.903,-0.593,-0.431,-0.747,-0.474,2
-0.428,-0.349,-0.348,-0.729,-0.686,-0.545,-0.602,-0.865,-0.632,-0.677,-0.607,-0.457,-0.924,-0.555,-0.386,-0.704,-0.428,2
-0.762,-0.688,-0.695,-0.835,-0.804,-0.772,-0.823,-0.968,-0.862,-1.039,-0.741,-0.59,-1.056,-0.762,-0.594,-0.937,-0.657,2
-0.583,-0.539,-0.577,-0.758,-0.734,-0.701,-0.781,-0.895,-0.791,-0.971,-0.68,-0.578,-0.982,-0.634,-0.463,-0.805,-0.535,2
-0.58,-0.427,-0.451,-0.822,-0.772,-0.538,-0.516,-0.941,-0.662,-0.625,-0.815,-0.659,-0.958,-0.782,-0.578,-0.942,-0.637,2
-0.647,-0.594,-0.606,-0.792,-0.747,-0.673,-0.74,-0.926,-0.762,-0.879,-0.758,-0.581,-1.04,-0.758,-0.641,-0.938,-0.718,2
-0.416,-0.401,-0.415,-0.656,-0.637,-0.536,-0.597,-0.816,-0.621,-0.658,-0.544,-0.393,-0.865,-0.541,-0.396,-0.697,-0.414,2
-0.641,-0.474,-0.49,-0.936,-0.885,-0.732,-0.75,-1.047,-0.844,-0.921,-0.9,-0.71,-1.028,-0.74,-0.512,-0.915,-0.587,2
-0.43,-0.361,-0.372,-0.719,-0.664,-0.477,-0.525,-0.819,-0.562,-0.638,-0.634,-0.486,-0.877,-0.585,-0.442,-0.733,-0.459,2
-0.518,-0.373,-0.357,-0.744,-0.695,-0.539,-0.558,-0.855,-0.634,-0.645,-0.703,-0.511,-0.913,-0.662,-0.446,-0.827,-0.504,2
-0.573,-0.51,-0.544,-0.737,-0.725,-0.641,-0.731,-0.909,-0.753,-0.914,-0.644,-0.54,-0.97,-0.656,-0.528,-0.826,-0.603,2
-0.423,-0.466,-0.446,-0.605,-0.54,-0.544,-0.599,-0.695,-0.626,-0.773,-0.586,-0.542,-0.919,-0.574,-0.541,-0.766,-0.659,2
-0.408,-0.297,-0.359,-0.647,-0.633,-0.435,-0.513,-0.787,-0.53,-0.537,-0.683,-0.564,-0.887,-0.627,-0.488,-0.798,-0.548,2
-0.359,-0.167,-0.166,-0.746,-0.703,-0.535,-0.605,-0.875,-0.63,-0.703,-0.638,-0.43,-0.876,-0.557,-0.324,-0.685,-0.358,2
-0.529,-0.337,-0.362,-0.849,-0.774,-0.537,-0.577,-0.953,-0.65,-0.704,-0.851,-0.601,-1.012,-0.727,-0.483,-0.894,-0.511,2
-0.469,-0.332,-0.38,-0.733,-0.671,-0.584,-0.631,-0.854,-0.677,-0.747,-0.718,-0.535,-1.009,-0.651,-0.529,-0.819,-0.556,2
-0.504,-0.379,-0.365,-0.791,-0.747,-0.647,-0.677,-0.913,-0.736,-0.808,-0.647,-0.428,-0.837,-0.606,-0.401,-0.769,-0.445,2
-0.885,-0.74,-0.751,-1.031,-0.95,-0.802,-0.808,-1.104,-0.904,-0.986,-0.891,-0.653,-1.051,-0.852,-0.66,-1.016,-0.706,2
-0.49,-0.398,-0.421,-0.741,-0.704,-0.547,-0.609,-0.881,-0.655,-0.756,-0.694,-0.537,-0.894,-0.632,-0.43,-0.786,-0.446,2
-0.472,-0.347,-0.407,-0.764,-0.684,-0.511,-0.574,-0.853,-0.596,-0.606,-0.722,-0.433,-0.949,-0.666,-0.497,-0.83,-0.509,2
-0.728,-0.645,-0.621,-0.898,-0.841,-0.663,-0.654,-0.996,-0.762,-0.797,-0.775,-0.567,-0.989,-0.753,-0.54,-0.924,-0.589,2
-0.601,-0.541,-0.514,-0.864,-0.795,-0.638,-0.662,-0.955,-0.736,-0.786,-0.707,-0.472,-0.908,-0.663,-0.411,-0.829,-0.479,2
-0.463,-0.425,-0.411,-0.703,-0.693,-0.531,-0.585,-0.857,-0.618,-0.627,-0.649,-0.463,-0.907,-0.643,-0.467,-0.807,-0.523,2
-0.807,-0.708,-0.73,-0.978,-0.92,-0.764,-0.778,-1.084,-0.882,-0.973,-0.84,-0.605,-1.017,-0.766,-0.595,-0.932,-0.631,2
-0.478,-0.376,-0.394,-0.823,-0.748,-0.637,-0.653,-0.915,-0.727,-0.742,-0.719,-0.451,-0.883,-0.623,-0.429,-0.787,-0.46,2
-0.597,-0.439,-0.446,-0.879,-0.824,-0.575,-0.549,-0.999,-0.691,-0.639,-0.883,-0.685,-1.006,-0.815,-0.565,-0.966,-0.616,2
-0.379,-0.305,-0.4,-0.664,-0.627,-0.435,-0.537,-0.803,-0.51,-0.604,-0.591,-0.399,-0.886,-0.584,-0.453,-0.716,-0.486,2
-0.4,-0.284,-0.256,-0.746,-0.715,-0.576,-0.632,-0.887,-0.67,-0.742,-0.599,-0.407,-0.848,-0.549,-0.322,-0.678,-0.364,2
-0.497,-0.392,-0.448,-0.733,-0.668,-0.57,-0.612,-0.848,-0.678,-0.764,-0.744,-0.595,-0.959,-0.67,-0.532,-0.835,-0.595,2
-0.623,-0.57,-0.56,-0.781,-0.733,-0.667,-0.714,-0.892,-0.749,-0.896,-0.76,-0.659,-1.029,-0.737,-0.633,-0.916,-0.709,2
-0.529,-0.44,-0.42,-0.746,-0.691,-0.541,-0.579,-0.86,-0.63,-0.676,-0.685,-0.488,-0.932,-0.671,-0.476,-0.857,-0.563,2
-0.505,-0.438,-0.463,-0.735,-0.689,-0.557,-0.625,-0.874,-0.652,-0.767,-0.652,-0.488,-0.964,-0.641,-0.437,-0.801,-0.492,2
-0.976,-0.852,-0.869,-1.064,-0.984,-0.812,-0.818,-1.139,-0.912,-0.978,-0.931,-0.649,-1.073,-0.958,-0.757,-1.115,-0.782,2
-0.417,-0.234,-0.229,-0.78,-0.74,-0.57,-0.633,-0.915,-0.672,-0.748,-0.652,-0.463,-0.881,-0.575,-0.351,-0.714,-0.39,2
-0.768,-0.623,-0.612,-0.879,-0.801,-0.632,-0.634,-0.963,-0.718,-0.738,-0.744,-0.444,-0.951,-0.801,-0.627,-0.986,-0.69,2
-0.469,-0.304,-0.283,-0.828,-0.76,-0.599,-0.63,-0.928,-0.692,-0.747,-0.7,-0.454,-0.909,-0.598,-0.337,-0.75,-0.358,2
-0.873,-0.771,-0.782,-0.984,-0.926,-0.81,-0.825,-1.071,-0.903,-1.04,-0.872,-0.639,-1.072,-0.836,-0.667,-0.991,-0.703,2
-0.569,-0.478,-0.504,-0.771,-0.706,-0.579,-0.62,-0.881,-0.672,-0.723,-0.655,-0.438,-0.938,-0.647,-0.499,-0.819,-0.559,2
-0.543,-0.452,-0.41,-0.763,-0.727,-0.567,-0.626,-0.884,-0.655,-0.692,-0.658,-0.498,-0.934,-0.678,-0.486,-0.857,-0.523,2
-0.49,-0.389,-0.389,-0.754,-0.704,-0.519,-0.559,-0.884,-0.609,-0.59,-0.745,-0.49,-0.945,-0.679,-0.455,-0.852,-0.498,2
-0.645,-0.494,-0.552,-0.813,-0.751,-0.619,-0.673,-0.923,-0.706,-0.794,-0.668,-0.446,-1.004,-0.698,-0.523,-0.852,-0.527,2
-0.769,-0.667,-0.665,-0.947,-0.873,-0.713,-0.724,-1.032,-0.815,-0.884,-0.739,-0.478,-0.949,-0.758,-0.595,-0.932,-0.634,2
-0.739,-0.645,-0.645,-0.913,-0.859,-0.681,-0.663,-1.012,-0.783,-0.812,-0.779,-0.597,-0.97,-0.747,-0.567,-0.918,-0.617,2
-0.625,-0.598,-0.617,-0.716,-0.748,-0.684,-0.754,-0.927,-0.801,-0.913,-0.683,-0.686,-0.974,-0.662,-0.522,-0.82,-0.601,2
-0.36,-0.191,-0.31,-0.624,-0.618,-0.367,-0.496,-0.77,-0.424,-0.434,-0.82,-0.596,-0.93,-0.76,-0.639,-0.922,-0.644,3
-0.531,-0.372,-0.445,-0.751,-0.713,-0.526,-0.604,-0.91,-0.634,-0.69,-0.84,-0.604,-0.936,-0.8,-0.661,-0.95,-0.681,3
-0.435,-0.302,-0.386,-0.617,-0.603,-0.432,-0.536,-0.777,-0.499,-0.529,-0.753,-0.522,-0.834,-0.773,-0.635,-0.928,-0.656,3
-0.413,-0.217,-0.323,-0.72,-0.684,-0.45,-0.509,-0.872,-0.544,-0.571,-0.857,-0.636,-0.898,-0.699,-0.52,-0.846,-0.513,3
-0.441,-0.321,-0.413,-0.655,-0.632,-0.448,-0.562,-0.827,-0.54,-0.603,-0.771,-0.51,-0.848,-0.761,-0.657,-0.902,-0.673,3
-0.562,-0.409,-0.455,-0.779,-0.729,-0.483,-0.528,-0.919,-0.595,-0.626,-0.87,-0.656,-0.962,-0.829,-0.672,-0.99,-0.701,3
-0.588,-0.411,-0.478,-0.881,-0.838,-0.644,-0.676,-1.025,-0.762,-0.813,-0.931,-0.714,-0.978,-0.808,-0.616,-0.974,-0.655,3
-0.527,-0.368,-0.43,-0.703,-0.681,-0.479,-0.56,-0.873,-0.567,-0.606,-0.83,-0.637,-0.906,-0.849,-0.682,-1,-0.736,3
-0.49,-0.341,-0.424,-0.814,-0.742,-0.565,-0.6,-0.922,-0.667,-0.72,-0.899,-0.74,-1.002,-0.756,-0.606,-0.905,-0.611,3
-0.435,-0.327,-0.391,-0.604,-0.602,-0.399,-0.555,-0.765,-0.482,-0.554,-0.71,-0.512,-0.826,-0.76,-0.642,-0.93,-0.688,3
-0.6,-0.405,-0.516,-0.793,-0.778,-0.56,-0.654,-0.975,-0.681,-0.766,-0.878,-0.645,-0.924,-0.86,-0.684,-1.014,-0.712,3
-0.427,-0.277,-0.37,-0.73,-0.692,-0.484,-0.569,-0.865,-0.571,-0.642,-0.882,-0.676,-0.946,-0.71,-0.571,-0.864,-0.579,3
-0.525,-0.345,-0.441,-0.74,-0.715,-0.489,-0.567,-0.899,-0.594,-0.669,-0.849,-0.667,-0.949,-0.788,-0.677,-0.952,-0.691,3
-0.219,-0.09,-0.194,-0.415,-0.481,-0.273,-0.471,-0.624,-0.305,-0.304,-0.553,-0.343,-0.753,-0.623,-0.502,-0.76,-0.527,3
-0.565,-0.362,-0.419,-0.825,-0.767,-0.537,-0.563,-0.949,-0.65,-0.697,-0.92,-0.735,-0.975,-0.813,-0.585,-0.979,-0.622,3
-0.437,-0.275,-0.352,-0.71,-0.672,-0.48,-0.548,-0.866,-0.579,-0.648,-0.832,-0.638,-0.858,-0.732,-0.593,-0.878,-0.596,3
-0.464,-0.334,-0.396,-0.716,-0.673,-0.478,-0.544,-0.852,-0.578,-0.649,-0.789,-0.574,-0.885,-0.709,-0.59,-0.862,-0.597,3
-0.554,-0.37,-0.419,-0.837,-0.801,-0.595,-0.648,-0.982,-0.7,-0.749,-0.875,-0.671,-0.917,-0.8,-0.622,-0.964,-0.676,3
-0.439,-0.316,-0.366,-0.645,-0.643,-0.475,-0.598,-0.817,-0.552,-0.606,-0.844,-0.641,-0.898,-0.825,-0.656,-0.984,-0.685,3
-0.461,-0.295,-0.388,-0.639,-0.628,-0.442,-0.527,-0.811,-0.527,-0.545,-0.749,-0.533,-0.831,-0.773,-0.624,-0.933,-0.649,3
-0.354,-0.192,-0.251,-0.703,-0.645,-0.454,-0.511,-0.839,-0.545,-0.567,-0.829,-0.62,-0.927,-0.714,-0.52,-0.846,-0.52,3
-0.355,-0.209,-0.284,-0.615,-0.594,-0.407,-0.5,-0.745,-0.455,-0.467,-0.758,-0.551,-0.897,-0.703,-0.58,-0.874,-0.593,3
-0.622,-0.411,-0.469,-0.95,-0.894,-0.655,-0.666,-1.069,-0.77,-0.801,-1.057,-0.862,-1.08,-0.884,-0.68,-1.053,-0.699,3
-0.364,-0.241,-0.314,-0.544,-0.577,-0.384,-0.499,-0.739,-0.443,-0.429,-0.702,-0.483,-0.841,-0.707,-0.58,-0.864,-0.593,3
-0.638,-0.474,-0.521,-0.878,-0.826,-0.608,-0.649,-1.008,-0.723,-0.811,-0.951,-0.754,-1.021,-0.844,-0.645,-1.011,-0.666,3
-0.416,-0.217,-0.328,-0.63,-0.639,-0.376,-0.531,-0.785,-0.423,-0.444,-0.846,-0.64,-0.973,-0.816,-0.683,-0.979,-0.698,3
-0.353,-0.189,-0.303,-0.514,-0.572,-0.347,-0.554,-0.714,-0.383,-0.439,-0.701,-0.524,-0.89,-0.699,-0.575,-0.851,-0.589,3
-0.387,-0.19,-0.302,-0.537,-0.573,-0.347,-0.518,-0.732,-0.395,-0.435,-0.736,-0.562,-0.82,-0.739,-0.584,-0.909,-0.626,3
-0.655,-0.51,-0.551,-0.863,-0.856,-0.662,-0.717,-1.042,-0.77,-0.813,-0.89,-0.707,-1.023,-0.883,-0.729,-1.044,-0.788,3
-0.474,-0.381,-0.483,-0.691,-0.661,-0.522,-0.636,-0.848,-0.614,-0.697,-0.789,-0.543,-0.861,-0.766,-0.638,-0.917,-0.648,3
-0.377,-0.227,-0.362,-0.604,-0.603,-0.394,-0.506,-0.796,-0.5,-0.53,-0.687,-0.473,-0.801,-0.674,-0.581,-0.828,-0.585,3
-0.359,-0.112,-0.243,-0.542,-0.559,-0.324,-0.485,-0.725,-0.389,-0.437,-0.734,-0.55,-0.827,-0.702,-0.609,-0.894,-0.663,3
-0.508,-0.335,-0.423,-0.755,-0.718,-0.559,-0.608,-0.915,-0.671,-0.725,-0.817,-0.645,-0.948,-0.764,-0.638,-0.922,-0.648,3
-0.264,-0.141,-0.278,-0.558,-0.552,-0.365,-0.502,-0.749,-0.473,-0.555,-0.661,-0.458,-0.708,-0.597,-0.459,-0.73,-0.477,3
-0.312,-0.178,-0.34,-0.463,-0.516,-0.397,-0.613,-0.665,-0.431,-0.504,-0.707,-0.52,-0.867,-0.742,-0.652,-0.911,-0.677,3
-0.464,-0.305,-0.363,-0.621,-0.633,-0.454,-0.571,-0.796,-0.513,-0.525,-0.735,-0.524,-0.88,-0.783,-0.633,-0.94,-0.65,3
-0.655,-0.481,-0.546,-0.946,-0.88,-0.694,-0.73,-1.058,-0.811,-0.89,-1.095,-0.917,-1.106,-0.918,-0.768,-1.071,-0.795,3
-0.423,-0.239,-0.325,-0.749,-0.692,-0.465,-0.523,-0.86,-0.552,-0.592,-0.871,-0.681,-0.932,-0.768,-0.628,-0.924,-0.647,3
-0.323,-0.162,-0.252,-0.559,-0.539,-0.311,-0.505,-0.702,-0.364,-0.409,-0.79,-0.585,-0.92,-0.772,-0.622,-0.934,-0.648,3
-0.458,-0.322,-0.355,-0.762,-0.725,-0.513,-0.547,-0.9,-0.627,-0.654,-0.75,-0.532,-0.803,-0.672,-0.511,-0.828,-0.534,3
-0.402,-0.212,-0.298,-0.709,-0.678,-0.498,-0.593,-0.869,-0.601,-0.68,-0.908,-0.752,-0.989,-0.744,-0.544,-0.883,-0.554,3
-0.218,-0.105,-0.237,-0.518,-0.512,-0.336,-0.465,-0.713,-0.447,-0.528,-0.61,-0.413,-0.674,-0.563,-0.405,-0.696,-0.418,3
-0.245,-0.104,-0.205,-0.505,-0.524,-0.318,-0.519,-0.668,-0.357,-0.396,-0.748,-0.542,-0.883,-0.687,-0.576,-0.851,-0.564,3
-0.433,-0.286,-0.346,-0.675,-0.661,-0.481,-0.586,-0.842,-0.562,-0.648,-0.783,-0.593,-0.888,-0.718,-0.646,-0.874,-0.653,3
-0.564,-0.4,-0.442,-0.861,-0.798,-0.559,-0.578,-0.976,-0.678,-0.687,-0.981,-0.81,-0.994,-0.797,-0.623,-0.967,-0.649,3
-0.357,-0.222,-0.299,-0.597,-0.578,-0.383,-0.537,-0.734,-0.432,-0.452,-0.783,-0.566,-0.867,-0.745,-0.597,-0.909,-0.603,3
-0.519,-0.365,-0.411,-0.755,-0.734,-0.542,-0.615,-0.922,-0.656,-0.728,-0.855,-0.731,-1.005,-0.799,-0.603,-0.973,-0.654,3
-0.502,-0.354,-0.429,-0.826,-0.776,-0.572,-0.645,-0.96,-0.676,-0.751,-0.984,-0.791,-1.021,-0.79,-0.623,-0.957,-0.66,3
-0.239,-0.19,-0.272,-0.499,-0.531,-0.35,-0.484,-0.67,-0.373,-0.322,-0.714,-0.499,-0.813,-0.643,-0.554,-0.798,-0.565,3
-0.328,-0.156,-0.234,-0.622,-0.614,-0.396,-0.528,-0.779,-0.462,-0.507,-0.734,-0.546,-0.886,-0.639,-0.448,-0.783,-0.448,3
-0.969,-0.904,-0.925,-0.898,-0.861,-0.801,-0.884,-1.024,-0.871,-1.066,-0.827,-0.683,-1.143,-0.936,-0.873,-1.08,-0.941,4
-0.898,-0.872,-0.857,-0.928,-0.904,-0.88,-0.953,-1.053,-0.95,-1.151,-0.834,-0.77,-1.169,-0.869,-0.788,-1.038,-0.862,4
-0.955,-0.897,-0.919,-0.895,-0.864,-0.85,-0.927,-1.034,-0.919,-1.125,-0.84,-0.738,-1.157,-0.925,-0.825,-1.072,-0.897,4
-0.899,-0.85,-0.852,-0.842,-0.821,-0.762,-0.858,-0.994,-0.838,-1.044,-0.764,-0.624,-1.122,-0.885,-0.806,-1.045,-0.874,4
-0.868,-0.823,-0.831,-0.838,-0.814,-0.79,-0.86,-0.987,-0.866,-1.073,-0.78,-0.696,-1.119,-0.856,-0.756,-1.013,-0.837,4
-0.927,-0.884,-0.916,-0.839,-0.816,-0.772,-0.863,-0.994,-0.844,-1.04,-0.785,-0.665,-1.111,-0.9,-0.82,-1.053,-0.907,4
-0.785,-0.758,-0.791,-0.774,-0.753,-0.732,-0.799,-0.928,-0.813,-1.043,-0.729,-0.685,-1.122,-0.782,-0.728,-0.928,-0.789,4
-0.919,-0.883,-0.89,-0.898,-0.867,-0.906,-0.977,-1.018,-0.963,-1.18,-0.788,-0.698,-1.129,-0.853,-0.766,-1.002,-0.838,4
-0.846,-0.772,-0.785,-0.882,-0.839,-0.736,-0.772,-1.004,-0.812,-0.924,-0.826,-0.687,-1.129,-0.879,-0.815,-1.031,-0.868,4
