@relation texture

@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A31 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.599,-0.512,-0.802,-0.678,-1.213,-0.878,-0.937,-0.738,-0.519,-0.893,-0.732,-1.213,-0.637,2
-0.824,-0.751,-1.031,-0.898,-1.366,-1.043,-1.054,-0.891,-0.653,-1.033,-0.874,-1.366,-0.752,2
-0.674,-0.606,-0.792,-0.784,-1.168,-0.871,-0.968,-0.758,-0.581,-0.907,-0.773,-1.168,-0.75,2
-0.537,-0.498,-0.762,-0.652,-1.151,-0.914,-1.036,-0.8,-0.682,-0.894,-0.801,-1.151,-0.638,2
-0.685,-0.611,-0.89,-0.714,-1.28,-0.965,-1.002,-0.812,-0.59,-0.955,-0.801,-1.28,-0.717,2
-0.744,-0.708,-0.955,-0.912,-1.235,-0.958,-1.045,-0.859,-0.717,-0.99,-0.862,-1.235,-0.746,2
-0.572,-0.53,-0.749,-0.738,-1.105,-0.781,-0.899,-0.678,-0.545,-0.822,-0.687,-1.105,-0.575,2
-0.606,-0.514,-0.864,-0.705,-1.221,-0.867,-0.902,-0.707,-0.472,-0.855,-0.683,-1.221,-0.499,2
-0.393,-0.292,-0.626,-0.465,-1.015,-0.724,-0.787,-0.608,-0.382,-0.759,-0.582,-1.015,-0.369,2
-0.442,-0.395,-0.672,-0.538,-0.968,-0.798,-0.987,-0.663,-0.522,-0.743,-0.683,-0.968,-0.474,2
-0.544,-0.505,-0.803,-0.621,-1.193,-0.914,-0.978,-0.781,-0.588,-0.894,-0.753,-1.193,-0.592,2
-0.396,-0.318,-0.664,-0.366,-1.214,-0.883,-0.87,-0.721,-0.462,-0.876,-0.696,-1.214,-0.582,2
-0.295,-0.187,-0.532,-0.394,-0.901,-0.644,-0.791,-0.516,-0.354,-0.645,-0.54,-0.901,-0.383,2
-0.704,-0.667,-0.766,-0.833,-1.114,-0.834,-1.008,-0.705,-0.565,-0.822,-0.731,-1.114,-0.753,2
