@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3-7,9-10,15-16,20-21,23,25,28,30,36,38,41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.41,-1.013,-0.895,-0.762,-0.676,-1.043,-0.775,-1.037,-0.825,-0.829,-1.01,-1.41,-1.094,-0.808,-0.899,-1.074,-0.723,-0.748,2
-0.96,-0.689,-0.439,-0.376,-0.272,-0.602,-0.386,-0.727,-0.516,-0.547,-0.738,-0.96,-0.84,-0.557,-0.606,-0.865,-0.421,-0.482,2
-1.172,-0.853,-0.694,-0.588,-0.501,-0.817,-0.603,-0.891,-0.63,-0.654,-0.827,-1.172,-1.04,-0.734,-0.787,-1.073,-0.65,-0.701,2
-1.186,-0.815,-0.603,-0.53,-0.433,-0.767,-0.549,-0.876,-0.65,-0.747,-0.931,-1.186,-1.029,-0.69,-0.772,-1.078,-0.553,-0.578,2
-1.281,-0.738,-0.53,-0.416,-0.292,-0.751,-0.432,-0.761,-0.554,-0.598,-0.664,-1.281,-0.944,-0.657,-0.754,-0.934,-0.512,-0.584,2
-1.121,-0.963,-0.576,-0.551,-0.42,-0.73,-0.583,-1.004,-0.616,-0.677,-0.835,-1.121,-1.037,-0.754,-0.787,-1.013,-0.677,-0.694,2
-0.883,-0.55,-0.259,-0.246,-0.158,-0.398,-0.234,-0.546,-0.422,-0.485,-0.514,-0.883,-0.879,-0.604,-0.653,-0.833,-0.614,-0.564,2
-1.324,-0.888,-0.835,-0.674,-0.591,-0.985,-0.724,-0.978,-0.679,-0.688,-0.818,-1.324,-1.007,-0.679,-0.775,-1.019,-0.692,-0.766,2
-0.966,-0.759,-0.489,-0.455,-0.434,-0.602,-0.5,-0.833,-0.639,-0.715,-0.916,-0.966,-0.9,-0.619,-0.661,-0.96,-0.458,-0.479,2
-1.169,-0.669,-0.547,-0.445,-0.377,-0.688,-0.459,-0.705,-0.562,-0.63,-0.729,-1.169,-0.936,-0.688,-0.756,-0.955,-0.645,-0.68,2
