@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-11,15,21,23,25,28,30,33,39-41'

@attribute A3 numeric
@attribute A4 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.545,-0.37,-0.339,-0.246,-0.523,-1.153,-0.564,-1.153,-0.874,-0.568,-0.677,-0.905,-0.285,-0.351,-0.362,2
-0.623,-0.353,-0.438,-0.402,-0.721,-0.939,-0.485,-0.939,-0.938,-0.618,-0.663,-0.909,-0.366,-0.43,-0.465,2
-0.987,-0.885,-0.838,-0.766,-1.021,-1.375,-0.751,-1.375,-1.021,-0.737,-0.833,-1.048,-0.81,-0.771,-0.88,2
-0.683,-0.61,-0.546,-0.467,-0.673,-1.18,-0.626,-1.18,-0.92,-0.652,-0.733,-0.961,-0.448,-0.477,-0.572,2
-0.683,-0.605,-0.537,-0.45,-0.741,-1.278,-0.561,-1.278,-1.083,-0.816,-0.894,-1.059,-0.646,-0.645,-0.72,2
-0.862,-0.697,-0.657,-0.584,-0.856,-1.191,-0.618,-1.191,-0.977,-0.665,-0.741,-0.959,-0.579,-0.594,-0.679,2
-0.784,-0.658,-0.648,-0.617,-0.926,-1.117,-0.604,-1.117,-0.988,-0.657,-0.697,-0.998,-0.545,-0.605,-0.618,2
-0.682,-0.49,-0.485,-0.442,-0.712,-1.031,-0.57,-1.031,-0.999,-0.678,-0.704,-0.956,-0.455,-0.543,-0.602,2
-0.683,-0.587,-0.549,-0.498,-0.732,-1.167,-0.583,-1.167,-0.948,-0.712,-0.768,-0.903,-0.493,-0.604,-0.667,2
-0.598,-0.414,-0.378,-0.342,-0.578,-0.966,-0.392,-0.966,-0.897,-0.627,-0.659,-0.835,-0.481,-0.644,-0.684,2
-0.823,-0.764,-0.713,-0.663,-0.921,-1.246,-0.613,-1.246,-0.943,-0.627,-0.724,-1,-0.654,-0.656,-0.723,2
-0.764,-0.59,-0.578,-0.554,-0.726,-0.889,-0.67,-0.889,-0.86,-0.608,-0.631,-0.825,-0.465,-0.61,-0.719,2
-0.767,-0.631,-0.597,-0.512,-0.782,-1.235,-0.617,-1.235,-0.929,-0.56,-0.681,-0.941,-0.573,-0.54,-0.623,2
-0.924,-0.655,-0.67,-0.594,-0.89,-1.159,-0.683,-1.159,-0.965,-0.661,-0.755,-1.035,-0.695,-0.657,-0.779,2
-0.675,-0.362,-0.419,-0.32,-0.725,-1.151,-0.418,-1.151,-0.817,-0.464,-0.537,-0.864,-0.413,-0.411,-0.456,2
-1.015,-0.908,-0.85,-0.776,-1.026,-1.381,-0.839,-1.381,-1.082,-0.808,-0.896,-1.067,-0.772,-0.721,-0.838,2
-0.685,-0.559,-0.515,-0.427,-0.693,-1.213,-0.623,-1.213,-0.947,-0.656,-0.728,-0.974,-0.495,-0.529,-0.62,2
