@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R6,9,12-15,17,19,23-24,28,30-31,34,37,39,41'

@attribute A6 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A17 numeric
@attribute A19 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A34 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.676,-0.775,-1.083,-0.894,-1.015,-0.825,-1.172,-0.891,-1.094,-0.932,-0.899,-1.074,-1.41,-0.847,-1.013,-0.698,2
-0.272,-0.386,-0.665,-0.651,-0.603,-0.516,-0.766,-0.571,-0.84,-0.599,-0.606,-0.865,-0.96,-0.529,-0.698,-0.449,2
-0.501,-0.603,-0.831,-0.742,-0.788,-0.63,-0.955,-0.686,-1.04,-0.768,-0.787,-1.073,-1.172,-0.744,-0.912,-0.662,2
-0.433,-0.549,-0.816,-0.739,-0.79,-0.65,-0.98,-0.769,-1.029,-0.729,-0.772,-1.078,-1.186,-0.667,-0.827,-0.538,2
-0.292,-0.432,-0.811,-0.611,-0.736,-0.554,-0.917,-0.591,-0.944,-0.783,-0.754,-0.934,-1.281,-0.703,-0.873,-0.525,2
-0.42,-0.583,-0.768,-0.71,-0.731,-0.616,-0.903,-0.693,-1.037,-0.78,-0.787,-1.013,-1.121,-0.735,-0.907,-0.652,2
-0.158,-0.234,-0.529,-0.378,-0.539,-0.422,-0.691,-0.475,-0.879,-0.564,-0.653,-0.833,-0.883,-0.567,-0.752,-0.561,2
-0.591,-0.724,-0.944,-0.74,-0.884,-0.679,-1.054,-0.723,-1.007,-0.795,-0.775,-1.019,-1.324,-0.845,-1.006,-0.696,2
-0.434,-0.5,-0.695,-0.716,-0.679,-0.639,-0.842,-0.746,-0.9,-0.612,-0.661,-0.96,-0.966,-0.535,-0.702,-0.447,2
-0.377,-0.459,-0.752,-0.577,-0.717,-0.562,-0.886,-0.644,-0.936,-0.74,-0.756,-0.955,-1.169,-0.728,-0.907,-0.653,2
-0.316,-0.434,-0.712,-0.69,-0.71,-0.603,-0.903,-0.726,-0.945,-0.601,-0.662,-1.034,-1.065,-0.588,-0.751,-0.522,2
-0.487,-0.599,-0.951,-0.777,-0.883,-0.716,-1.048,-0.782,-0.954,-0.76,-0.742,-0.958,-1.295,-0.726,-0.892,-0.571,2
-0.49,-0.603,-0.854,-0.823,-0.814,-0.704,-0.986,-0.787,-1.076,-0.814,-0.812,-1.076,-1.184,-0.755,-0.921,-0.658,2
-0.515,-0.589,-0.788,-0.77,-0.746,-0.664,-0.905,-0.743,-0.868,-0.759,-0.739,-0.925,-1.081,-0.7,-0.86,-0.672,2
-0.472,-0.609,-0.859,-0.663,-0.788,-0.593,-0.95,-0.638,-0.962,-0.734,-0.744,-1.025,-1.246,-0.765,-0.941,-0.642,2
-0.505,-0.634,-0.841,-0.797,-0.804,-0.701,-0.982,-0.791,-1.099,-0.829,-0.866,-1.059,-1.189,-0.776,-0.957,-0.744,2
-0.401,-0.513,-0.813,-0.696,-0.779,-0.62,-0.954,-0.695,-1.058,-0.832,-0.824,-1.069,-1.173,-0.718,-0.896,-0.603,2
-0.596,-0.712,-0.938,-0.839,-0.906,-0.747,-1.085,-0.828,-1.065,-0.893,-0.867,-1.102,-1.293,-0.828,-0.973,-0.665,2
-0.337,-0.497,-0.691,-0.687,-0.672,-0.599,-0.841,-0.663,-0.941,-0.66,-0.672,-0.944,-1.043,-0.607,-0.768,-0.539,2
-0.228,-0.373,-0.709,-0.513,-0.665,-0.52,-0.833,-0.555,-0.871,-0.605,-0.613,-0.929,-1.174,-0.575,-0.726,-0.43,2
-0.394,-0.515,-0.786,-0.629,-0.747,-0.578,-0.926,-0.652,-0.954,-0.731,-0.762,-0.947,-1.149,-0.708,-0.884,-0.592,2
-0.504,-0.56,-0.733,-0.609,-0.694,-0.572,-0.861,-0.681,-0.822,-0.563,-0.588,-0.869,-1.006,-0.583,-0.753,-0.493,2
-0.415,-0.568,-0.892,-0.855,-0.803,-0.699,-0.972,-0.717,-1.078,-0.938,-0.906,-1.085,-1.362,-0.851,-1.018,-0.68,2
-0.19,-0.317,-0.648,-0.519,-0.609,-0.479,-0.783,-0.546,-0.954,-0.679,-0.708,-0.904,-1.017,-0.606,-0.778,-0.504,2
-0.225,-0.31,-0.484,-0.168,-0.496,-0.27,-0.682,-0.391,-0.74,-0.448,-0.529,-0.745,-0.748,-0.456,-0.625,-0.399,2
-0.483,-0.627,-0.897,-0.713,-0.838,-0.654,-1.003,-0.711,-0.962,-0.777,-0.746,-0.986,-1.263,-0.768,-0.93,-0.64,2
-0.391,-0.487,-0.818,-0.666,-0.766,-0.608,-0.94,-0.685,-0.987,-0.643,-0.689,-0.969,-1.201,-0.645,-0.804,-0.495,2
-0.294,-0.446,-0.69,-0.663,-0.66,-0.572,-0.843,-0.643,-0.868,-0.561,-0.594,-0.863,-1.033,-0.551,-0.697,-0.426,2
-0.402,-0.498,-0.821,-0.694,-0.802,-0.659,-0.991,-0.748,-1.02,-0.814,-0.833,-1.015,-1.191,-0.735,-0.899,-0.581,2
-0.501,-0.657,-0.866,-0.797,-0.826,-0.691,-0.994,-0.766,-1.043,-0.787,-0.772,-1.05,-1.198,-0.724,-0.89,-0.611,2
-0.302,-0.422,-0.904,-0.681,-0.853,-0.632,-1.04,-0.692,-0.956,-0.782,-0.732,-0.944,-1.303,-0.714,-0.874,-0.452,2
-0.576,-0.667,-0.766,-0.833,-0.728,-0.687,-0.89,-0.752,-1.008,-0.705,-0.731,-1.019,-1.114,-0.768,-0.925,-0.715,2
-0.291,-0.391,-0.857,-0.747,-0.8,-0.671,-0.981,-0.725,-0.909,-0.689,-0.67,-0.866,-1.208,-0.598,-0.755,-0.4,2
-0.301,-0.425,-0.74,-0.645,-0.676,-0.563,-0.847,-0.597,-0.864,-0.562,-0.593,-0.883,-1.151,-0.573,-0.73,-0.466,2
-0.206,-0.364,-0.707,-0.644,-0.637,-0.545,-0.812,-0.589,-0.986,-0.677,-0.734,-0.965,-1.145,-0.641,-0.8,-0.527,2
-0.331,-0.401,-0.689,-0.559,-0.67,-0.546,-0.844,-0.642,-0.969,-0.67,-0.697,-0.846,-0.989,-0.579,-0.716,-0.446,2
-0.31,-0.455,-0.79,-0.701,-0.728,-0.586,-0.898,-0.62,-0.915,-0.719,-0.697,-0.947,-1.148,-0.643,-0.81,-0.49,2
-0.493,-0.609,-0.741,-0.783,-0.72,-0.667,-0.887,-0.763,-1.007,-0.779,-0.797,-1.026,-1.055,-0.742,-0.883,-0.716,2
-0.246,-0.291,-0.56,-0.448,-0.533,-0.398,-0.701,-0.468,-0.776,-0.431,-0.481,-0.81,-0.891,-0.465,-0.646,-0.433,2
-0.533,-0.587,-0.654,-0.641,-0.699,-0.63,-0.876,-0.746,-0.832,-0.56,-0.615,-0.859,-0.826,-0.559,-0.707,-0.483,2
-0.528,-0.593,-0.846,-0.692,-0.788,-0.626,-0.942,-0.664,-0.988,-0.787,-0.775,-0.948,-1.169,-0.763,-0.93,-0.645,2
-0.453,-0.588,-0.809,-0.754,-0.784,-0.668,-0.956,-0.728,-1.02,-0.698,-0.719,-1.006,-1.113,-0.641,-0.801,-0.596,2
-0.543,-0.629,-0.81,-0.676,-0.765,-0.621,-0.932,-0.679,-0.917,-0.745,-0.752,-0.997,-1.152,-0.79,-0.962,-0.71,2
-0.213,-0.33,-0.694,-0.476,-0.661,-0.46,-0.832,-0.521,-0.899,-0.665,-0.669,-0.821,-1.086,-0.618,-0.774,-0.53,2
