@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,6,8,15-16,20-26,30-31,36,38,40-41'

@attribute A2 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A36 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.606,-0.384,-0.527,-0.579,-0.632,-0.807,-1.002,-0.776,-1.016,-0.643,-0.679,-0.554,-0.961,-1.002,-0.55,-0.514,-0.58,2
-0.729,-0.339,-0.531,-0.682,-0.704,-0.837,-1.198,-0.927,-1.035,-0.798,-0.761,-0.597,-0.992,-1.198,-0.491,-0.55,-0.542,2
-0.63,-0.495,-0.538,-0.679,-0.772,-0.92,-0.848,-0.684,-0.956,-0.616,-0.692,-0.658,-0.97,-0.848,-0.56,-0.664,-0.741,2
-0.6,-0.25,-0.478,-0.562,-0.625,-0.792,-1.044,-0.812,-0.971,-0.708,-0.668,-0.555,-1.022,-1.044,-0.579,-0.554,-0.621,2
-0.633,-0.2,-0.489,-0.481,-0.525,-0.619,-1.121,-0.906,-1.004,-0.764,-0.73,-0.599,-0.983,-1.121,-0.587,-0.671,-0.688,2
-0.55,-0.277,-0.438,-0.527,-0.599,-0.728,-1.015,-0.689,-0.852,-0.564,-0.534,-0.432,-0.818,-1.015,-0.54,-0.526,-0.502,2
-0.8,-0.435,-0.615,-0.66,-0.689,-0.844,-1.235,-0.828,-0.903,-0.682,-0.582,-0.447,-0.951,-1.235,-0.6,-0.583,-0.601,2
-0.852,-0.508,-0.703,-0.785,-0.82,-0.975,-1.273,-1.068,-1.087,-0.976,-0.892,-0.817,-1.064,-1.273,-0.655,-0.702,-0.779,2
-0.568,-0.306,-0.435,-0.496,-0.571,-0.572,-1.038,-0.811,-0.915,-0.706,-0.667,-0.585,-0.871,-1.038,-0.62,-0.62,-0.672,2
-0.683,-0.278,-0.477,-0.536,-0.61,-0.675,-1.172,-0.837,-0.927,-0.723,-0.646,-0.526,-1.01,-1.172,-0.553,-0.551,-0.542,2
-0.724,-0.42,-0.567,-0.582,-0.627,-0.783,-1.091,-0.804,-0.915,-0.695,-0.634,-0.515,-0.906,-1.091,-0.64,-0.646,-0.761,2
-0.572,-0.241,-0.436,-0.389,-0.423,-0.505,-1.012,-0.827,-0.956,-0.682,-0.677,-0.549,-0.886,-1.012,-0.502,-0.549,-0.618,2
-0.826,-0.552,-0.68,-0.806,-0.846,-1.022,-1.181,-0.964,-1.058,-0.86,-0.817,-0.733,-1.05,-1.181,-0.651,-0.695,-0.797,2
-0.669,-0.391,-0.552,-0.696,-0.735,-0.939,-1.156,-0.919,-1.12,-0.818,-0.806,-0.665,-1.142,-1.156,-0.579,-0.586,-0.606,2
-0.677,-0.311,-0.551,-0.541,-0.593,-0.73,-1.147,-0.817,-0.96,-0.692,-0.648,-0.511,-0.997,-1.147,-0.527,-0.529,-0.507,2
-0.854,-0.462,-0.65,-0.685,-0.709,-0.862,-1.337,-1.09,-1.1,-0.962,-0.862,-0.736,-1.077,-1.337,-0.644,-0.729,-0.752,2
-0.86,-0.611,-0.736,-0.743,-0.764,-0.946,-1.199,-0.944,-1.058,-0.842,-0.799,-0.702,-1.084,-1.199,-0.623,-0.734,-0.786,2
-0.785,-0.375,-0.551,-0.571,-0.598,-0.714,-1.239,-0.932,-0.969,-0.761,-0.656,-0.505,-0.91,-1.239,-0.539,-0.614,-0.644,2
-0.634,-0.246,-0.432,-0.58,-0.625,-0.735,-1.165,-0.805,-0.944,-0.683,-0.644,-0.555,-0.961,-1.165,-0.55,-0.471,-0.559,2
-0.489,-0.102,-0.295,-0.435,-0.518,-0.575,-0.999,-0.758,-0.914,-0.6,-0.59,-0.467,-0.849,-0.999,-0.436,-0.424,-0.45,2
-0.553,-0.319,-0.457,-0.513,-0.585,-0.721,-0.948,-0.718,-0.888,-0.605,-0.581,-0.493,-0.824,-0.948,-0.488,-0.524,-0.549,2
-0.937,-0.626,-0.776,-0.813,-0.848,-1.044,-1.265,-0.978,-1.057,-0.87,-0.78,-0.668,-1.077,-1.265,-0.677,-0.71,-0.797,2
-0.923,-0.58,-0.749,-0.642,-0.669,-0.802,-1.281,-0.896,-0.978,-0.763,-0.667,-0.545,-1.026,-1.281,-0.679,-0.74,-0.752,2
-0.626,-0.266,-0.542,-0.562,-0.639,-0.752,-1.156,-0.796,-0.891,-0.654,-0.569,-0.44,-0.951,-1.156,-0.517,-0.473,-0.522,2
-0.715,-0.421,-0.575,-0.642,-0.704,-0.864,-1.175,-0.851,-1.03,-0.693,-0.65,-0.477,-1.042,-1.175,-0.551,-0.541,-0.553,2
-0.759,-0.406,-0.563,-0.705,-0.746,-0.906,-1.224,-0.938,-1.026,-0.798,-0.753,-0.592,-1.035,-1.224,-0.533,-0.603,-0.625,2
-0.667,-0.46,-0.567,-0.537,-0.591,-0.735,-1.042,-0.646,-0.768,-0.494,-0.453,-0.307,-0.856,-1.042,-0.457,-0.518,-0.494,2
-0.844,-0.587,-0.704,-0.829,-0.881,-1.058,-1.195,-0.982,-1.047,-0.884,-0.827,-0.753,-1.025,-1.195,-0.644,-0.683,-0.772,2
-0.516,-0.293,-0.393,-0.512,-0.6,-0.745,-0.946,-0.726,-0.954,-0.622,-0.633,-0.529,-0.931,-0.946,-0.516,-0.499,-0.528,2
-0.65,-0.471,-0.577,-0.586,-0.633,-0.804,-1,-0.737,-0.782,-0.625,-0.543,-0.473,-0.84,-1,-0.64,-0.582,-0.755,2
-0.553,-0.27,-0.439,-0.52,-0.581,-0.667,-0.991,-0.746,-0.914,-0.629,-0.64,-0.539,-0.893,-0.991,-0.558,-0.538,-0.637,2
-0.603,-0.39,-0.506,-0.609,-0.691,-0.895,-0.956,-0.729,-1,-0.633,-0.676,-0.597,-1.043,-0.956,-0.619,-0.58,-0.704,2
-0.889,-0.432,-0.665,-0.653,-0.641,-0.78,-1.282,-0.928,-0.998,-0.761,-0.664,-0.512,-1.004,-1.282,-0.585,-0.619,-0.655,2
