@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-10,13,17,20,22-23,25-29,31,33,37,39,41'

@attribute A2 numeric
@attribute A3 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A20 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A31 numeric
@attribute A33 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.753,-0.668,-0.522,-0.422,-0.689,-0.726,-1.02,-0.853,-0.902,-0.931,-0.631,-0.474,-0.906,-0.711,-0.603,-1.254,-0.347,-0.793,-0.407,2
-0.744,-0.701,-0.56,-0.513,-0.732,-0.643,-0.924,-0.739,-0.865,-0.906,-0.625,-0.515,-0.863,-0.683,-0.609,-1.184,-0.457,-0.844,-0.542,2
-0.663,-0.774,-0.533,-0.485,-0.787,-0.629,-0.863,-0.786,-0.772,-0.924,-0.653,-0.578,-0.783,-0.705,-0.667,-1.014,-0.532,-0.812,-0.583,2
-0.599,-0.818,-0.485,-0.432,-0.86,-0.571,-0.832,-0.717,-0.843,-1.023,-0.733,-0.624,-0.799,-0.739,-0.694,-1.052,-0.661,-0.818,-0.61,2
-0.581,-0.731,-0.458,-0.364,-0.743,-0.492,-0.851,-0.604,-0.751,-0.895,-0.556,-0.42,-0.753,-0.612,-0.545,-1.154,-0.387,-0.722,-0.42,2
-0.559,-0.619,-0.421,-0.348,-0.719,-0.463,-0.768,-0.559,-0.797,-0.955,-0.618,-0.492,-0.799,-0.685,-0.626,-1.139,-0.494,-0.752,-0.495,2
-0.434,-0.577,-0.297,-0.238,-0.656,-0.351,-0.643,-0.493,-0.603,-0.839,-0.461,-0.329,-0.596,-0.529,-0.455,-0.925,-0.322,-0.638,-0.413,2
-0.831,-0.877,-0.674,-0.609,-0.906,-0.729,-0.97,-0.819,-0.91,-0.969,-0.685,-0.565,-0.901,-0.763,-0.689,-1.215,-0.653,-0.892,-0.612,2
-0.526,-0.811,-0.516,-0.444,-0.933,-0.551,-0.806,-0.667,-0.671,-0.857,-0.476,-0.331,-0.665,-0.554,-0.462,-1.035,-0.32,-0.667,-0.4,2
-0.657,-0.778,-0.507,-0.472,-0.802,-0.592,-0.863,-0.655,-0.883,-1.008,-0.753,-0.675,-0.88,-0.787,-0.745,-1.128,-0.589,-0.882,-0.615,2
-0.292,-0.494,-0.137,-0.05,-0.347,-0.471,-0.487,-0.548,-0.423,-0.666,-0.437,-0.404,-0.497,-0.48,-0.507,-0.611,-0.395,-0.575,-0.529,2
-0.859,-0.901,-0.699,-0.654,-0.929,-0.713,-0.927,-0.823,-0.874,-0.926,-0.654,-0.572,-0.877,-0.718,-0.688,-1.163,-0.678,-0.92,-0.651,2
-0.882,-0.965,-0.733,-0.673,-0.978,-0.805,-1.003,-0.891,-0.914,-1.034,-0.706,-0.559,-0.921,-0.783,-0.696,-1.235,-0.678,-0.923,-0.665,2
-0.584,-0.753,-0.471,-0.471,-0.815,-0.5,-0.817,-0.656,-0.761,-0.953,-0.624,-0.515,-0.711,-0.649,-0.602,-1.002,-0.505,-0.737,-0.508,2
