@relation texture

@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A9 numeric
@attribute A11 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A36 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.505,-0.454,-0.363,-0.317,-0.834,-0.369,-0.523,-0.505,-0.891,-0.539,-0.566,-0.36,-0.383,-0.465,2
-0.749,-0.907,-0.638,-0.611,-1.111,-0.822,-0.853,-0.994,-1.079,-0.604,-0.67,-0.628,-0.669,-0.595,2
-0.633,-0.762,-0.531,-0.481,-1.088,-0.544,-0.588,-0.627,-0.984,-0.619,-0.711,-0.582,-0.601,-0.604,2
-0.653,-0.694,-0.494,-0.414,-1.107,-0.602,-0.643,-0.704,-0.862,-0.488,-0.647,-0.356,-0.46,-0.474,2
-0.757,-0.785,-0.589,-0.49,-1.162,-0.676,-0.692,-0.75,-0.979,-0.528,-0.742,-0.595,-0.599,-0.571,2
-0.59,-0.825,-0.484,-0.497,-0.947,-0.709,-0.715,-0.852,-0.924,-0.629,-0.602,-0.524,-0.617,-0.614,2
-0.756,-0.793,-0.567,-0.489,-1.172,-0.615,-0.647,-0.707,-0.932,-0.347,-0.69,-0.499,-0.521,-0.488,2
-0.934,-0.959,-0.807,-0.73,-1.29,-0.778,-0.882,-0.973,-1.027,-0.605,-0.834,-0.696,-0.642,-0.631,2
-0.568,-0.591,-0.4,-0.256,-1.144,-0.632,-0.67,-0.742,-0.841,-0.407,-0.545,-0.252,-0.462,-0.364,2
-0.77,-0.835,-0.639,-0.541,-1.101,-0.733,-0.756,-0.917,-0.98,-0.508,-0.71,-0.588,-0.552,-0.566,2
-0.646,-0.774,-0.5,-0.428,-1.139,-0.606,-0.649,-0.736,-0.983,-0.616,-0.682,-0.504,-0.52,-0.5,2
-0.678,-0.799,-0.528,-0.424,-1.135,-0.616,-0.693,-0.733,-0.977,-0.666,-0.664,-0.553,-0.552,-0.514,2
-0.968,-1.022,-0.849,-0.789,-1.322,-0.897,-0.998,-1.095,-1.106,-0.752,-0.912,-0.777,-0.71,-0.731,2
-0.625,-0.468,-0.444,-0.272,-1.199,-0.61,-0.655,-0.717,-0.895,-0.44,-0.618,-0.273,-0.408,-0.362,2
-0.541,-0.619,-0.382,-0.378,-1.032,-0.57,-0.635,-0.685,-0.907,-0.599,-0.618,-0.414,-0.551,-0.529,2
-0.737,-0.717,-0.615,-0.521,-1.176,-0.663,-0.736,-0.809,-1.042,-0.604,-0.77,-0.668,-0.622,-0.616,2
-0.728,-0.841,-0.618,-0.564,-1.045,-0.68,-0.739,-0.867,-0.924,-0.54,-0.669,-0.568,-0.5,-0.5,2
-0.69,-0.814,-0.594,-0.559,-1.13,-0.786,-0.807,-0.951,-1.08,-0.633,-0.663,-0.58,-0.576,-0.551,2
-1.046,-1.013,-0.916,-0.792,-1.405,-0.78,-0.85,-0.921,-1.067,-0.571,-0.99,-0.818,-0.723,-0.752,2
-0.785,-0.711,-0.625,-0.467,-1.239,-0.598,-0.673,-0.714,-0.969,-0.505,-0.812,-0.6,-0.539,-0.552,2
-0.794,-0.708,-0.6,-0.455,-1.334,-0.62,-0.697,-0.712,-1.133,-0.766,-0.877,-0.681,-0.675,-0.674,2
-0.669,-0.805,-0.556,-0.523,-1.156,-0.735,-0.794,-0.939,-1.12,-0.665,-0.701,-0.555,-0.579,-0.542,2
-0.655,-0.71,-0.583,-0.548,-0.874,-0.768,-0.766,-0.912,-0.953,-0.627,-0.648,-0.488,-0.559,-0.654,2
-0.658,-0.796,-0.54,-0.515,-1.136,-0.736,-0.789,-0.937,-1.04,-0.639,-0.662,-0.526,-0.592,-0.524,2
-0.64,-0.768,-0.472,-0.434,-1.125,-0.612,-0.639,-0.73,-0.903,-0.434,-0.631,-0.39,-0.494,-0.444,2
-0.747,-0.804,-0.582,-0.497,-1.142,-0.669,-0.749,-0.86,-0.925,-0.482,-0.65,-0.45,-0.477,-0.464,2
-0.895,-0.929,-0.733,-0.607,-1.295,-0.743,-0.79,-0.879,-1.072,-0.543,-0.832,-0.672,-0.651,-0.646,2
-0.664,-0.747,-0.51,-0.477,-1.021,-0.618,-0.709,-0.807,-0.939,-0.56,-0.644,-0.444,-0.561,-0.569,2
-0.765,-0.914,-0.623,-0.56,-1.106,-0.714,-0.749,-0.896,-1.057,-0.659,-0.756,-0.729,-0.711,-0.709,2
-0.616,-0.785,-0.478,-0.486,-1.119,-0.64,-0.657,-0.755,-0.983,-0.536,-0.635,-0.488,-0.527,-0.468,2
-0.754,-0.854,-0.647,-0.557,-1.218,-0.709,-0.709,-0.852,-1.095,-0.693,-0.842,-0.782,-0.667,-0.666,2
-0.666,-0.591,-0.527,-0.395,-1.075,-0.625,-0.684,-0.737,-0.951,-0.651,-0.699,-0.487,-0.548,-0.578,2
-0.617,-0.781,-0.568,-0.587,-0.826,-0.692,-0.748,-0.84,-0.832,-0.528,-0.585,-0.427,-0.424,-0.483,2
-0.758,-0.784,-0.658,-0.617,-1.117,-0.666,-0.711,-0.8,-0.988,-0.553,-0.8,-0.545,-0.558,-0.605,2
-0.587,-0.664,-0.444,-0.451,-0.991,-0.604,-0.626,-0.752,-0.954,-0.492,-0.618,-0.513,-0.529,-0.523,2
-0.523,-0.554,-0.359,-0.347,-0.837,-0.395,-0.498,-0.502,-0.808,-0.509,-0.55,-0.338,-0.403,-0.474,2
-0.649,-0.753,-0.497,-0.443,-1.082,-0.606,-0.66,-0.76,-0.808,-0.357,-0.605,-0.378,-0.505,-0.484,2
