@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R4-5,10,12-13,15,22,26,30-32,35-36,41'

@attribute A4 numeric
@attribute A5 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A22 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.639,-0.545,-0.868,-0.879,-0.747,-0.671,-0.899,-0.566,-1.015,-1.223,-0.766,-0.545,-0.587,2
-0.494,-0.407,-0.696,-0.709,-0.602,-0.556,-0.789,-0.488,-0.829,-1.107,-0.647,-0.393,-0.46,2
-0.475,-0.313,-0.502,-0.71,-0.528,-0.476,-0.822,-0.467,-0.87,-1.096,-0.648,-0.377,-0.42,2
-0.539,-0.446,-0.697,-0.805,-0.616,-0.583,-0.933,-0.589,-0.966,-1.207,-0.764,-0.523,-0.564,2
-0.507,-0.368,-0.542,-0.753,-0.554,-0.561,-0.848,-0.625,-0.943,-1.057,-0.676,-0.442,-0.499,2
-0.837,-0.739,-1.034,-1.039,-0.973,-0.876,-1.063,-0.776,-1.099,-1.31,-0.892,-0.654,-0.685,2
-0.469,-0.393,-0.807,-0.728,-0.559,-0.501,-0.768,-0.415,-0.903,-1.12,-0.612,-0.431,-0.522,2
-0.428,-0.349,-0.661,-0.729,-0.556,-0.545,-0.756,-0.457,-0.924,-1.147,-0.575,-0.386,-0.547,2
-0.762,-0.688,-0.915,-0.835,-0.885,-0.772,-0.867,-0.59,-1.056,-1.133,-0.797,-0.594,-0.618,2
-0.583,-0.539,-0.83,-0.758,-0.789,-0.701,-0.774,-0.578,-0.982,-1.032,-0.658,-0.463,-0.486,2
-0.58,-0.427,-0.641,-0.822,-0.524,-0.538,-0.957,-0.659,-0.958,-1.174,-0.838,-0.578,-0.555,2
-0.647,-0.594,-0.923,-0.792,-0.784,-0.673,-0.871,-0.581,-1.04,-1.168,-0.798,-0.641,-0.689,2
-0.416,-0.401,-0.772,-0.656,-0.527,-0.536,-0.672,-0.393,-0.865,-1.032,-0.547,-0.396,-0.477,2
-0.641,-0.474,-0.691,-0.936,-0.79,-0.732,-1.007,-0.71,-1.028,-1.247,-0.789,-0.512,-0.561,2
-0.43,-0.361,-0.808,-0.719,-0.511,-0.477,-0.78,-0.486,-0.877,-1.098,-0.588,-0.442,-0.548,2
-0.518,-0.373,-0.542,-0.744,-0.55,-0.539,-0.854,-0.511,-0.913,-1.083,-0.703,-0.446,-0.475,2
-0.573,-0.51,-0.87,-0.737,-0.713,-0.641,-0.753,-0.54,-0.97,-1.055,-0.657,-0.528,-0.607,2
-0.423,-0.466,-0.726,-0.605,-0.675,-0.544,-0.648,-0.542,-0.919,-0.863,-0.559,-0.541,-0.659,2
-0.408,-0.297,-0.639,-0.647,-0.387,-0.435,-0.81,-0.564,-0.887,-1.061,-0.654,-0.488,-0.541,2
-0.359,-0.167,-0.422,-0.746,-0.57,-0.535,-0.799,-0.43,-0.876,-1.173,-0.559,-0.324,-0.463,2
-0.529,-0.337,-0.668,-0.849,-0.594,-0.537,-0.986,-0.601,-1.012,-1.316,-0.79,-0.483,-0.541,2
-0.469,-0.332,-0.695,-0.733,-0.672,-0.584,-0.87,-0.535,-1.009,-1.165,-0.718,-0.529,-0.598,2
-0.504,-0.379,-0.67,-0.791,-0.723,-0.647,-0.804,-0.428,-0.837,-1.131,-0.628,-0.401,-0.482,2
-0.885,-0.74,-1.002,-1.031,-0.898,-0.802,-1.043,-0.653,-1.051,-1.366,-0.932,-0.66,-0.69,2
-0.49,-0.398,-0.805,-0.741,-0.598,-0.547,-0.812,-0.537,-0.894,-1.135,-0.675,-0.43,-0.477,2
-0.472,-0.347,-0.753,-0.764,-0.576,-0.511,-0.916,-0.433,-0.949,-1.273,-0.747,-0.497,-0.539,2
-0.728,-0.645,-0.922,-0.898,-0.728,-0.663,-0.914,-0.567,-0.989,-1.213,-0.794,-0.54,-0.593,2
-0.601,-0.541,-0.808,-0.864,-0.705,-0.638,-0.867,-0.472,-0.908,-1.221,-0.689,-0.411,-0.51,2
-0.463,-0.425,-0.721,-0.703,-0.527,-0.531,-0.824,-0.463,-0.907,-1.077,-0.667,-0.467,-0.574,2
-0.807,-0.708,-0.989,-0.978,-0.823,-0.764,-0.979,-0.605,-1.017,-1.29,-0.834,-0.595,-0.642,2
-0.478,-0.376,-0.692,-0.823,-0.733,-0.637,-0.887,-0.451,-0.883,-1.168,-0.673,-0.429,-0.482,2
-0.597,-0.439,-0.652,-0.879,-0.563,-0.575,-1.033,-0.685,-1.006,-1.265,-0.893,-0.565,-0.534,2
-0.379,-0.305,-0.869,-0.664,-0.502,-0.435,-0.742,-0.399,-0.886,-1.095,-0.594,-0.453,-0.564,2
-0.4,-0.284,-0.558,-0.746,-0.617,-0.576,-0.768,-0.407,-0.848,-1.144,-0.545,-0.322,-0.462,2
-0.497,-0.392,-0.713,-0.733,-0.665,-0.57,-0.87,-0.595,-0.959,-1.111,-0.726,-0.532,-0.586,2
-0.623,-0.57,-0.892,-0.781,-0.769,-0.667,-0.877,-0.659,-1.029,-1.106,-0.756,-0.633,-0.711,2
-0.529,-0.44,-0.756,-0.746,-0.611,-0.541,-0.812,-0.488,-0.932,-1.148,-0.699,-0.476,-0.552,2
-0.505,-0.438,-0.838,-0.735,-0.637,-0.557,-0.767,-0.488,-0.964,-1.12,-0.612,-0.437,-0.561,2
-0.976,-0.852,-1.107,-1.064,-0.903,-0.812,-1.086,-0.649,-1.073,-1.422,-1.045,-0.757,-0.739,2
-0.417,-0.234,-0.456,-0.78,-0.602,-0.57,-0.814,-0.463,-0.881,-1.192,-0.602,-0.351,-0.471,2
-0.768,-0.623,-0.863,-0.879,-0.725,-0.632,-0.899,-0.444,-0.951,-1.288,-0.847,-0.627,-0.682,2
-0.469,-0.304,-0.528,-0.828,-0.666,-0.599,-0.882,-0.454,-0.909,-1.237,-0.655,-0.337,-0.392,2
-0.873,-0.771,-1.027,-0.984,-0.923,-0.81,-1.004,-0.639,-1.072,-1.275,-0.911,-0.667,-0.672,2
-0.569,-0.478,-0.857,-0.771,-0.667,-0.579,-0.81,-0.438,-0.938,-1.192,-0.71,-0.499,-0.581,2
-0.543,-0.452,-0.619,-0.763,-0.576,-0.567,-0.797,-0.498,-0.934,-1.108,-0.703,-0.486,-0.546,2
-0.49,-0.389,-0.713,-0.754,-0.534,-0.519,-0.906,-0.49,-0.945,-1.231,-0.735,-0.455,-0.497,2
-0.645,-0.494,-0.896,-0.813,-0.728,-0.619,-0.827,-0.446,-1.004,-1.229,-0.75,-0.523,-0.572,2
