@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1-4,11,15,22-26,29-30,37-41'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.059,-0.669,-0.779,-0.547,-1.059,-0.578,-0.793,-0.91,-0.676,-0.629,-0.532,-0.631,-0.892,-0.825,-0.613,-0.589,-0.684,2
-0.837,-0.523,-0.554,-0.359,-0.837,-0.36,-0.671,-0.808,-0.551,-0.585,-0.509,-0.587,-0.834,-0.735,-0.51,-0.474,-0.537,2
-0.919,-0.504,-0.726,-0.401,-0.919,-0.565,-0.695,-0.899,-0.598,-0.609,-0.534,-0.613,-0.874,-0.724,-0.547,-0.523,-0.592,2
-1.226,-0.908,-0.877,-0.831,-1.226,-0.813,-0.988,-1.074,-0.89,-0.845,-0.763,-0.855,-1.107,-1.011,-0.775,-0.728,-0.832,2
-1.055,-0.608,-0.714,-0.462,-1.055,-0.539,-0.75,-0.873,-0.594,-0.562,-0.423,-0.526,-0.811,-0.749,-0.476,-0.455,-0.5,2
-1.258,-0.814,-0.707,-0.672,-1.258,-0.739,-1.024,-1.057,-0.914,-0.834,-0.715,-0.801,-1.015,-0.939,-0.653,-0.611,-0.666,2
-1.082,-0.649,-0.753,-0.497,-1.082,-0.558,-0.695,-0.808,-0.553,-0.478,-0.357,-0.51,-0.876,-0.74,-0.488,-0.484,-0.509,2
-0.957,-0.548,-0.617,-0.41,-0.957,-0.514,-0.721,-0.94,-0.618,-0.622,-0.531,-0.619,-0.922,-0.708,-0.542,-0.548,-0.614,2
-1.185,-0.7,-0.73,-0.537,-1.185,-0.641,-0.914,-0.935,-0.749,-0.651,-0.487,-0.614,-0.864,-0.82,-0.559,-0.514,-0.561,2
-1.057,-0.58,-0.603,-0.438,-1.057,-0.512,-0.823,-0.965,-0.692,-0.676,-0.539,-0.655,-0.929,-0.784,-0.626,-0.586,-0.686,2
-1.148,-0.793,-0.839,-0.688,-1.148,-0.754,-0.895,-1.063,-0.782,-0.755,-0.638,-0.753,-1.057,-0.826,-0.613,-0.579,-0.716,2
