@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,10,13,18,21,23,25,29,32-34,36-39,41'

@attribute A1 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A29 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.059,-0.8,-0.654,-0.67,-1.059,-0.91,-0.629,-0.631,-0.69,-0.517,-0.655,-0.559,-0.825,-0.613,-0.589,2
-0.837,-0.616,-0.246,-0.498,-0.837,-0.808,-0.585,-0.587,-0.55,-0.338,-0.544,-0.403,-0.735,-0.51,-0.474,2
-0.919,-0.819,-0.649,-0.643,-0.919,-0.899,-0.609,-0.613,-0.58,-0.451,-0.572,-0.51,-0.724,-0.547,-0.523,2
-1.226,-0.943,-0.887,-0.915,-1.226,-1.074,-0.845,-0.855,-0.909,-0.685,-0.855,-0.645,-1.011,-0.775,-0.728,2
-1.055,-0.704,-0.596,-0.618,-1.055,-0.873,-0.562,-0.526,-0.613,-0.339,-0.585,-0.444,-0.749,-0.476,-0.455,2
-1.258,-0.706,-0.801,-0.847,-1.258,-1.057,-0.834,-0.801,-0.817,-0.523,-0.77,-0.577,-0.939,-0.653,-0.611,2
-1.082,-0.8,-0.631,-0.66,-1.082,-0.808,-0.478,-0.51,-0.605,-0.378,-0.575,-0.505,-0.74,-0.488,-0.484,2
-0.957,-0.637,-0.587,-0.607,-0.957,-0.94,-0.622,-0.619,-0.54,-0.473,-0.542,-0.594,-0.708,-0.542,-0.548,2
-1.185,-0.726,-0.725,-0.741,-1.185,-0.935,-0.651,-0.614,-0.722,-0.498,-0.659,-0.52,-0.82,-0.559,-0.514,2
-1.057,-0.674,-0.6,-0.612,-1.057,-0.965,-0.676,-0.655,-0.676,-0.604,-0.624,-0.589,-0.784,-0.626,-0.586,2
-1.148,-0.939,-0.843,-0.844,-1.148,-1.063,-0.755,-0.753,-0.713,-0.69,-0.666,-0.617,-0.826,-0.613,-0.579,2
-0.855,-0.534,-0.283,-0.457,-0.855,-0.793,-0.565,-0.549,-0.493,-0.407,-0.525,-0.591,-0.708,-0.548,-0.566,2
-1.183,-0.69,-0.685,-0.715,-1.183,-0.884,-0.59,-0.601,-0.667,-0.401,-0.632,-0.485,-0.788,-0.489,-0.458,2
-1.263,-0.986,-0.848,-0.835,-1.263,-1.093,-0.799,-0.814,-0.848,-0.707,-0.799,-0.68,-0.965,-0.705,-0.67,2
-0.947,-0.812,-0.699,-0.715,-0.947,-0.924,-0.668,-0.673,-0.602,-0.524,-0.617,-0.617,-0.789,-0.63,-0.614,2
-1.07,-0.697,-0.473,-0.556,-1.07,-0.958,-0.624,-0.608,-0.685,-0.526,-0.685,-0.608,-0.865,-0.615,-0.591,2
-1.222,-0.753,-0.655,-0.672,-1.222,-0.965,-0.701,-0.71,-0.823,-0.624,-0.713,-0.543,-0.86,-0.624,-0.557,2
-1.218,-1.005,-0.892,-0.876,-1.218,-1.092,-0.806,-0.811,-0.827,-0.778,-0.776,-0.683,-0.939,-0.719,-0.678,2
-1.067,-0.754,-0.712,-0.747,-1.067,-1.012,-0.726,-0.708,-0.691,-0.456,-0.662,-0.528,-0.824,-0.587,-0.554,2
-1.334,-1.063,-0.953,-0.97,-1.334,-1.106,-0.887,-0.905,-1.003,-0.893,-0.926,-0.771,-1.07,-0.866,-0.81,2
-1.311,-0.913,-0.864,-0.798,-1.311,-1.059,-0.725,-0.708,-0.855,-0.665,-0.786,-0.616,-0.954,-0.67,-0.616,2
-1.074,-0.683,-0.493,-0.616,-1.074,-0.939,-0.602,-0.573,-0.61,-0.385,-0.603,-0.522,-0.759,-0.482,-0.475,2
-1.214,-0.644,-0.366,-0.466,-1.214,-0.87,-0.603,-0.605,-0.742,-0.481,-0.714,-0.548,-0.884,-0.582,-0.542,2
