@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3-4,6-9,12,15,17-18,21,23-24,27,33,35,41'

@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A27 numeric
@attribute A33 numeric
@attribute A35 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.79,-0.68,-0.575,-0.795,-0.638,-0.625,-0.812,-0.734,-0.959,-0.826,-1.106,-1.007,-0.737,-0.866,-0.557,-0.544,2
-0.896,-0.717,-0.519,-0.849,-0.691,-0.628,-0.869,-0.715,-0.955,-0.796,-1.219,-1.012,-0.814,-0.939,-0.734,-0.648,2
-0.787,-0.53,-0.37,-0.693,-0.559,-0.47,-0.757,-0.574,-0.902,-0.673,-1.133,-1.02,-0.67,-0.787,-0.532,-0.508,2
-0.794,-0.478,-0.296,-0.659,-0.536,-0.429,-0.715,-0.544,-0.886,-0.639,-1.113,-1.041,-0.739,-0.844,-0.579,-0.539,2
-0.531,-0.09,-0.081,-0.186,-0.161,-0.106,-0.325,-0.311,-0.436,-0.39,-0.532,-0.601,-0.278,-0.393,-0.355,-0.318,2
-0.731,-0.57,-0.343,-0.694,-0.514,-0.44,-0.761,-0.54,-0.858,-0.635,-1.083,-0.894,-0.658,-0.774,-0.468,-0.411,2
-0.697,-0.505,-0.326,-0.651,-0.459,-0.425,-0.697,-0.522,-0.832,-0.616,-1.072,-0.923,-0.667,-0.788,-0.531,-0.492,2
-0.781,-0.647,-0.414,-0.779,-0.571,-0.508,-0.852,-0.611,-0.953,-0.712,-1.191,-0.91,-0.744,-0.867,-0.495,-0.436,2
-0.846,-0.569,-0.399,-0.686,-0.549,-0.508,-0.824,-0.71,-0.918,-0.787,-1.074,-1.013,-0.712,-0.806,-0.523,-0.455,2
-0.826,-0.769,-0.429,-0.91,-0.666,-0.567,-0.914,-0.623,-0.988,-0.706,-1.342,-0.986,-0.835,-0.987,-0.691,-0.635,2
-0.843,-0.574,-0.412,-0.74,-0.599,-0.512,-0.802,-0.6,-0.9,-0.687,-1.213,-0.937,-0.738,-0.893,-0.566,-0.535,2
-0.752,-0.579,-0.383,-0.734,-0.562,-0.471,-0.811,-0.649,-0.96,-0.761,-1.141,-1.037,-0.768,-0.885,-0.478,-0.506,2
-1.018,-0.925,-0.686,-1.068,-0.868,-0.795,-1.08,-0.851,-1.158,-0.958,-1.414,-1.087,-0.925,-1.077,-0.753,-0.662,2
-0.936,-0.765,-0.479,-0.931,-0.736,-0.624,-0.963,-0.759,-1.033,-0.846,-1.359,-1.068,-0.902,-1.047,-0.702,-0.62,2
-0.681,-0.421,-0.273,-0.585,-0.462,-0.365,-0.643,-0.39,-0.801,-0.508,-1.017,-0.938,-0.674,-0.763,-0.515,-0.465,2
-0.809,-0.652,-0.45,-0.811,-0.622,-0.557,-0.873,-0.648,-0.965,-0.754,-1.238,-0.906,-0.667,-0.852,-0.542,-0.512,2
-0.766,-0.391,-0.282,-0.571,-0.49,-0.421,-0.642,-0.53,-0.798,-0.61,-1.029,-0.858,-0.529,-0.683,-0.377,-0.399,2
-0.863,-0.609,-0.452,-0.722,-0.583,-0.538,-0.807,-0.688,-0.897,-0.761,-1.126,-1.006,-0.675,-0.833,-0.541,-0.511,2
-0.857,-0.518,-0.42,-0.638,-0.541,-0.511,-0.699,-0.64,-0.872,-0.745,-0.985,-0.98,-0.637,-0.741,-0.548,-0.471,2
-0.742,-0.386,-0.206,-0.563,-0.442,-0.324,-0.623,-0.402,-0.765,-0.487,-1.052,-0.938,-0.663,-0.762,-0.525,-0.484,2
-0.816,-0.547,-0.469,-0.697,-0.587,-0.551,-0.733,-0.549,-0.861,-0.663,-1.053,-0.796,-0.532,-0.71,-0.355,-0.393,2
-0.938,-0.772,-0.609,-0.902,-0.744,-0.708,-0.955,-0.828,-1.073,-0.929,-1.235,-1.045,-0.859,-0.99,-0.737,-0.658,2
-0.546,-0.444,-0.222,-0.629,-0.397,-0.29,-0.686,-0.459,-0.815,-0.557,-1.074,-0.873,-0.678,-0.8,-0.383,-0.334,2
-0.841,-0.568,-0.446,-0.728,-0.599,-0.569,-0.827,-0.692,-0.963,-0.791,-1.152,-1.128,-0.794,-0.904,-0.538,-0.508,2
-0.979,-0.82,-0.645,-0.961,-0.808,-0.755,-1.024,-0.867,-1.124,-0.971,-1.291,-1.086,-0.908,-1.024,-0.763,-0.673,2
