@relation texture

@attribute A1 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A29 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.367,-1.04,-0.83,-0.879,-1.367,-1.041,-0.777,-0.771,-1.004,-0.827,-0.921,-0.719,-1.082,-0.846,-0.775,2
-1.116,-0.809,-0.663,-0.685,-1.116,-0.87,-0.57,-0.627,-0.662,-0.452,-0.635,-0.524,-0.783,-0.503,-0.472,2
-1.257,-0.495,-0.655,-0.697,-1.257,-0.899,-0.621,-0.617,-0.681,-0.356,-0.613,-0.425,-0.764,-0.427,-0.381,2
-1.045,-0.836,-0.748,-0.739,-1.045,-0.924,-0.645,-0.623,-0.669,-0.568,-0.625,-0.5,-0.792,-0.561,-0.5,2
-1.295,-0.906,-0.848,-0.79,-1.295,-1.072,-0.723,-0.703,-0.832,-0.672,-0.776,-0.651,-0.948,-0.683,-0.646,2
-1.246,-0.92,-0.663,-0.689,-1.246,-0.962,-0.638,-0.671,-0.822,-0.634,-0.765,-0.654,-0.941,-0.69,-0.642,2
-0.596,-0.511,-0.475,-0.461,-0.596,-0.63,-0.386,-0.458,-0.303,-0.396,-0.33,-0.505,-0.526,-0.446,-0.501,2
-1.224,-0.91,-0.702,-0.703,-1.224,-0.937,-0.605,-0.638,-0.818,-0.622,-0.758,-0.64,-0.936,-0.689,-0.651,2
-0.821,-0.559,-0.581,-0.533,-0.821,-0.749,-0.54,-0.593,-0.495,-0.514,-0.508,-0.592,-0.708,-0.565,-0.593,2
-1.337,-0.835,-0.739,-0.8,-1.337,-1.1,-0.862,-0.849,-0.927,-0.689,-0.83,-0.644,-0.989,-0.729,-0.669,2
-1.114,-0.989,-0.753,-0.775,-1.114,-0.947,-0.652,-0.642,-0.684,-0.638,-0.648,-0.644,-0.814,-0.612,-0.597,2
-1.263,-0.932,-0.713,-0.76,-1.263,-0.962,-0.664,-0.668,-0.82,-0.643,-0.768,-0.653,-0.93,-0.689,-0.64,2
-1.095,-0.869,-0.502,-0.51,-1.095,-0.891,-0.542,-0.533,-0.594,-0.431,-0.584,-0.564,-0.716,-0.515,-0.486,2
-1.254,-0.689,-0.726,-0.785,-1.254,-0.931,-0.631,-0.603,-0.701,-0.347,-0.633,-0.408,-0.793,-0.454,-0.407,2
-1.27,-0.988,-0.83,-0.806,-1.27,-1.035,-0.813,-0.822,-0.829,-0.719,-0.774,-0.688,-0.937,-0.693,-0.657,2
-0.843,-0.469,-0.271,-0.452,-0.843,-0.807,-0.572,-0.542,-0.517,-0.372,-0.55,-0.548,-0.737,-0.563,-0.569,2
-1.351,-0.711,-0.673,-0.724,-1.351,-1.011,-0.723,-0.724,-0.81,-0.501,-0.752,-0.565,-0.911,-0.584,-0.523,2
-1.151,-0.812,-0.645,-0.646,-1.151,-0.864,-0.493,-0.483,-0.611,-0.436,-0.573,-0.54,-0.73,-0.481,-0.466,2
-0.992,-0.595,-0.439,-0.477,-0.992,-0.781,-0.445,-0.425,-0.571,-0.339,-0.522,-0.334,-0.688,-0.418,-0.352,2
-1.135,-0.805,-0.623,-0.693,-1.135,-0.977,-0.737,-0.745,-0.664,-0.553,-0.649,-0.552,-0.817,-0.579,-0.514,2
-1.422,-1.107,-0.903,-0.912,-1.422,-1.084,-0.805,-0.789,-1.045,-0.856,-0.958,-0.739,-1.115,-0.853,-0.782,2
-1.246,-0.921,-0.659,-0.721,-1.246,-0.943,-0.627,-0.655,-0.873,-0.654,-0.818,-0.64,-0.976,-0.713,-0.656,2
-1.192,-0.456,-0.602,-0.672,-1.192,-0.861,-0.566,-0.59,-0.602,-0.31,-0.575,-0.471,-0.714,-0.406,-0.39,2
-1.136,-0.947,-0.811,-0.789,-1.136,-1.04,-0.739,-0.77,-0.662,-0.526,-0.642,-0.592,-0.793,-0.545,-0.524,2
-1.101,-0.817,-0.819,-0.756,-1.101,-0.98,-0.643,-0.651,-0.71,-0.588,-0.661,-0.552,-0.835,-0.603,-0.566,2
-1.016,-0.725,-0.614,-0.652,-1.016,-0.843,-0.468,-0.494,-0.498,-0.288,-0.516,-0.461,-0.671,-0.408,-0.409,2
-1.087,-0.68,-0.493,-0.637,-1.087,-0.956,-0.7,-0.675,-0.708,-0.497,-0.719,-0.616,-0.901,-0.634,-0.622,2
-1.121,-1.004,-0.71,-0.707,-1.121,-1.037,-0.754,-0.752,-0.753,-0.691,-0.735,-0.677,-0.907,-0.694,-0.652,2
-1.097,-0.847,-0.839,-0.791,-1.097,-0.989,-0.679,-0.688,-0.698,-0.572,-0.66,-0.551,-0.837,-0.598,-0.561,2
