@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,12,16-18,22,25-26,28,30,32,34,40-41'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A6 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A22 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.27,-0.855,-0.958,-0.469,-0.909,-0.75,-1.018,-0.806,-1.019,-0.813,-0.721,-0.877,-1.039,-0.829,-0.774,-0.779,2
-1.13,-0.709,-0.671,-0.362,-0.839,-0.666,-0.951,-0.767,-0.882,-0.707,-0.6,-0.75,-0.914,-0.67,-0.645,-0.591,2
-1.265,-0.643,-0.674,-0.217,-0.747,-0.569,-0.842,-0.589,-0.901,-0.593,-0.413,-0.694,-0.907,-0.726,-0.652,-0.489,2
-1.154,-0.689,-0.699,-0.311,-0.727,-0.575,-0.874,-0.615,-0.833,-0.558,-0.402,-0.659,-0.857,-0.718,-0.656,-0.587,2
-1.116,-0.658,-0.702,-0.321,-0.729,-0.68,-0.901,-0.685,-0.768,-0.57,-0.489,-0.651,-1,-0.662,-0.635,-0.503,2
-0.987,-0.527,-0.553,-0.22,-0.602,-0.528,-0.767,-0.544,-0.731,-0.54,-0.411,-0.61,-0.846,-0.564,-0.48,-0.419,2
-0.992,-0.599,-0.671,-0.266,-0.644,-0.389,-0.745,-0.477,-0.702,-0.445,-0.299,-0.501,-0.726,-0.571,-0.522,-0.431,2
-1.205,-0.856,-0.921,-0.499,-0.882,-0.732,-0.956,-0.797,-0.939,-0.764,-0.65,-0.834,-1.037,-0.812,-0.783,-0.833,2
-1.04,-0.566,-0.65,-0.193,-0.646,-0.53,-0.788,-0.536,-0.735,-0.582,-0.476,-0.652,-0.928,-0.585,-0.598,-0.55,2
-1.021,-0.664,-0.747,-0.385,-0.742,-0.618,-0.859,-0.709,-0.799,-0.674,-0.56,-0.706,-0.869,-0.644,-0.647,-0.636,2
-1.322,-0.849,-0.734,-0.379,-0.925,-0.697,-1.053,-0.782,-1.007,-0.745,-0.618,-0.829,-1.005,-0.827,-0.762,-0.623,2
-1.031,-0.588,-0.823,-0.332,-0.726,-0.623,-0.855,-0.668,-0.79,-0.696,-0.588,-0.712,-1.006,-0.579,-0.581,-0.674,2
-0.935,-0.623,-0.769,-0.428,-0.71,-0.704,-0.803,-0.721,-0.713,-0.583,-0.525,-0.633,-0.853,-0.555,-0.552,-0.805,2
-1.128,-0.575,-0.528,-0.116,-0.619,-0.356,-0.734,-0.4,-0.823,-0.582,-0.419,-0.655,-0.833,-0.706,-0.693,-0.541,2
-1.254,-0.764,-0.663,-0.379,-0.881,-0.654,-0.992,-0.741,-0.993,-0.774,-0.653,-0.825,-0.976,-0.806,-0.754,-0.663,2
-1.246,-0.805,-0.774,-0.35,-0.868,-0.613,-0.943,-0.691,-0.904,-0.652,-0.495,-0.74,-0.981,-0.76,-0.683,-0.603,2
-1.032,-0.541,-0.619,-0.299,-0.662,-0.57,-0.819,-0.635,-0.8,-0.678,-0.599,-0.716,-0.9,-0.618,-0.614,-0.593,2
-1.264,-0.891,-0.941,-0.57,-0.938,-0.787,-1.029,-0.871,-1.016,-0.799,-0.679,-0.872,-1.035,-0.849,-0.8,-0.8,2
