@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R6,10,12,14,16,18,20,22-24,27,29,32-34,38,41'

@attribute A6 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A27 numeric
@attribute A29 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.154,-0.523,-0.765,-0.701,-0.598,-0.658,-0.705,-0.803,-0.874,-0.633,-0.801,-0.588,-0.572,-0.285,-0.548,-0.384,2
-0.336,-0.721,-0.563,-0.579,-0.611,-0.602,-0.7,-0.713,-0.938,-0.591,-0.715,-0.6,-0.498,-0.366,-0.477,-0.446,2
-0.643,-1.021,-0.994,-0.937,-0.767,-0.853,-0.893,-1.004,-1.021,-0.871,-1.034,-0.733,-0.974,-0.81,-0.902,-0.828,2
-0.431,-0.673,-0.806,-0.762,-0.663,-0.722,-0.794,-0.881,-0.92,-0.752,-0.887,-0.676,-0.74,-0.448,-0.674,-0.519,2
-0.313,-0.741,-0.862,-0.792,-0.577,-0.664,-0.686,-1.04,-1.083,-0.887,-0.992,-0.815,-0.864,-0.646,-0.79,-0.701,2
-0.497,-0.856,-0.844,-0.788,-0.604,-0.718,-0.749,-0.88,-0.977,-0.742,-0.881,-0.656,-0.796,-0.579,-0.745,-0.641,2
-0.521,-0.926,-0.765,-0.742,-0.666,-0.711,-0.8,-0.806,-0.988,-0.672,-0.794,-0.659,-0.8,-0.545,-0.767,-0.664,2
-0.373,-0.712,-0.71,-0.69,-0.63,-0.674,-0.778,-0.79,-0.999,-0.677,-0.771,-0.659,-0.608,-0.455,-0.602,-0.549,2
-0.395,-0.732,-0.795,-0.749,-0.615,-0.688,-0.727,-0.904,-0.948,-0.774,-0.893,-0.689,-0.787,-0.493,-0.737,-0.636,2
-0.309,-0.578,-0.611,-0.59,-0.432,-0.493,-0.514,-0.765,-0.897,-0.649,-0.742,-0.604,-0.638,-0.481,-0.657,-0.648,2
-0.548,-0.921,-0.861,-0.812,-0.64,-0.721,-0.758,-0.877,-0.943,-0.737,-0.898,-0.655,-0.873,-0.654,-0.818,-0.713,2
-0.527,-0.726,-0.694,-0.677,-0.725,-0.746,-0.889,-0.698,-0.86,-0.589,-0.684,-0.594,-0.631,-0.465,-0.625,-0.611,2
-0.403,-0.782,-0.847,-0.779,-0.661,-0.708,-0.799,-0.856,-0.929,-0.659,-0.847,-0.58,-0.751,-0.573,-0.663,-0.592,2
-0.501,-0.89,-0.81,-0.749,-0.727,-0.765,-0.875,-0.849,-0.965,-0.72,-0.883,-0.69,-0.768,-0.695,-0.719,-0.698,2
-0.155,-0.725,-0.616,-0.586,-0.534,-0.467,-0.478,-0.678,-0.817,-0.53,-0.715,-0.472,-0.576,-0.413,-0.559,-0.451,2
-0.664,-1.026,-1.065,-0.981,-0.839,-0.937,-1.018,-1.066,-1.082,-0.911,-1.047,-0.804,-0.948,-0.772,-0.866,-0.77,2
