@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,7-8,11,14,16,19,21-25,27,30,33-34,41'

@attribute A2 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A11 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A27 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.862,-0.857,-0.6,-1.331,-0.845,-0.662,-0.686,-1.331,-1.016,-0.992,-0.874,-0.738,-1.018,-1.02,-0.571,-0.784,2
-0.632,-0.557,-0.403,-1.049,-0.689,-0.518,-0.558,-1.049,-0.853,-0.955,-0.735,-0.71,-0.83,-0.891,-0.436,-0.65,2
-0.727,-0.735,-0.544,-1.193,-0.748,-0.603,-0.639,-1.193,-0.914,-0.978,-0.781,-0.718,-0.894,-0.884,-0.469,-0.711,2
-0.697,-0.749,-0.606,-1.071,-0.759,-0.77,-0.809,-1.071,-0.799,-0.877,-0.705,-0.645,-0.843,-0.982,-0.556,-0.626,2
-0.873,-0.869,-0.741,-1.15,-0.813,-0.813,-0.849,-1.15,-0.879,-1.037,-0.761,-0.737,-0.907,-1.059,-0.681,-0.787,2
-0.608,-0.606,-0.496,-1.044,-0.638,-0.567,-0.586,-1.044,-0.652,-0.789,-0.517,-0.465,-0.701,-0.833,-0.366,-0.574,2
-0.583,-0.604,-0.506,-1.011,-0.653,-0.633,-0.659,-1.011,-0.798,-0.999,-0.688,-0.691,-0.783,-0.926,-0.622,-0.611,2
-0.586,-0.572,-0.439,-1.102,-0.613,-0.496,-0.475,-1.102,-0.722,-0.868,-0.571,-0.528,-0.712,-0.853,-0.328,-0.585,2
-0.483,-0.538,-0.384,-1.013,-0.557,-0.606,-0.58,-1.013,-0.735,-0.901,-0.602,-0.575,-0.767,-0.918,-0.433,-0.527,2
-0.748,-0.726,-0.575,-1.119,-0.736,-0.692,-0.714,-1.119,-0.818,-0.972,-0.676,-0.637,-0.825,-0.986,-0.588,-0.678,2
-0.784,-0.784,-0.634,-1.108,-0.719,-0.721,-0.728,-1.108,-0.802,-0.991,-0.67,-0.632,-0.806,-0.998,-0.615,-0.673,2
-0.749,-0.756,-0.642,-1.111,-0.831,-0.822,-0.847,-1.111,-0.839,-1.079,-0.723,-0.73,-0.844,-1.036,-0.628,-0.652,2
-0.533,-0.503,-0.313,-1.013,-0.56,-0.345,-0.376,-1.013,-0.804,-0.909,-0.636,-0.638,-0.758,-0.881,-0.407,-0.642,2
-0.688,-0.693,-0.485,-1.241,-0.738,-0.664,-0.641,-1.241,-0.907,-0.976,-0.711,-0.615,-0.867,-0.921,-0.465,-0.66,2
-0.71,-0.703,-0.547,-1.156,-0.702,-0.634,-0.622,-1.156,-0.812,-0.91,-0.642,-0.577,-0.818,-0.896,-0.496,-0.606,2
-0.692,-0.698,-0.559,-1.124,-0.75,-0.68,-0.696,-1.124,-0.872,-1.024,-0.77,-0.734,-0.874,-1.036,-0.477,-0.68,2
-0.79,-0.818,-0.613,-1.241,-0.819,-0.671,-0.702,-1.241,-0.88,-0.915,-0.711,-0.592,-0.858,-0.911,-0.42,-0.675,2
-0.895,-0.886,-0.699,-1.295,-0.825,-0.743,-0.726,-1.295,-0.966,-1.072,-0.789,-0.723,-0.943,-1.041,-0.672,-0.776,2
-0.73,-0.762,-0.543,-1.226,-0.735,-0.639,-0.654,-1.226,-0.881,-0.97,-0.724,-0.645,-0.892,-0.993,-0.593,-0.684,2
-0.622,-0.606,-0.486,-1.058,-0.716,-0.659,-0.706,-1.058,-0.847,-1.056,-0.735,-0.752,-0.841,-0.956,-0.412,-0.647,2
-0.692,-0.695,-0.543,-1.058,-0.729,-0.644,-0.677,-1.058,-0.812,-0.981,-0.686,-0.665,-0.797,-0.957,-0.566,-0.641,2
-0.968,-1,-0.849,-1.322,-1.01,-0.897,-0.972,-1.322,-1.045,-1.106,-0.937,-0.855,-1.057,-1.118,-0.777,-0.844,2
-0.695,-0.721,-0.544,-1.087,-0.768,-0.689,-0.728,-1.087,-0.857,-1.062,-0.731,-0.734,-0.83,-1.014,-0.553,-0.673,2
-0.682,-0.697,-0.537,-1.151,-0.719,-0.601,-0.603,-1.151,-0.914,-1.036,-0.8,-0.768,-0.894,-1.023,-0.582,-0.726,2
-0.672,-0.688,-0.589,-1.066,-0.787,-0.815,-0.842,-1.066,-0.813,-1.03,-0.719,-0.733,-0.834,-1.044,-0.451,-0.603,2
-0.69,-0.728,-0.577,-1.13,-0.798,-0.786,-0.799,-1.13,-0.854,-1.08,-0.752,-0.755,-0.882,-1.094,-0.58,-0.644,2
-0.738,-0.749,-0.603,-1.171,-0.798,-0.65,-0.672,-1.171,-0.909,-1.062,-0.745,-0.701,-0.868,-0.955,-0.568,-0.727,2
-0.481,-0.437,-0.387,-0.867,-0.548,-0.461,-0.483,-0.867,-0.647,-0.802,-0.484,-0.496,-0.61,-0.794,-0.311,-0.522,2
-0.69,-0.715,-0.525,-1.132,-0.719,-0.616,-0.644,-1.132,-0.815,-0.9,-0.676,-0.608,-0.809,-0.86,-0.502,-0.641,2
-0.59,-0.634,-0.467,-1.014,-0.657,-0.567,-0.576,-1.014,-0.774,-1.012,-0.612,-0.642,-0.723,-0.926,-0.539,-0.599,2
-0.687,-0.686,-0.534,-1.098,-0.68,-0.576,-0.607,-1.098,-0.803,-0.899,-0.677,-0.632,-0.807,-0.908,-0.558,-0.631,2
-0.587,-0.61,-0.499,-0.991,-0.582,-0.604,-0.61,-0.991,-0.766,-0.954,-0.634,-0.641,-0.766,-0.9,-0.513,-0.583,2
-0.708,-0.765,-0.564,-1.184,-0.729,-0.682,-0.671,-1.184,-0.92,-1.046,-0.808,-0.767,-0.931,-1.078,-0.729,-0.724,2
-0.55,-0.595,-0.428,-0.998,-0.647,-0.536,-0.583,-0.998,-0.715,-0.839,-0.599,-0.565,-0.721,-0.814,-0.39,-0.529,2
-0.649,-0.671,-0.528,-1.048,-0.72,-0.472,-0.523,-1.048,-0.849,-0.875,-0.71,-0.646,-0.829,-0.907,-0.511,-0.741,2
-0.772,-0.769,-0.509,-1.265,-0.825,-0.648,-0.684,-1.265,-0.893,-0.944,-0.746,-0.623,-0.912,-0.936,-0.34,-0.675,2
-0.646,-0.673,-0.514,-1.139,-0.718,-0.606,-0.632,-1.139,-0.859,-0.983,-0.757,-0.708,-0.876,-0.99,-0.504,-0.674,2
-0.625,-0.626,-0.367,-1.199,-0.735,-0.61,-0.62,-1.199,-0.832,-0.895,-0.677,-0.569,-0.869,-0.894,-0.273,-0.589,2
-0.506,-0.456,-0.295,-0.901,-0.508,-0.449,-0.448,-0.901,-0.644,-0.791,-0.516,-0.473,-0.645,-0.783,-0.292,-0.475,2
