@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,12-13,19,22-23,28,36-37,40,42-43,46,52-54,58'

@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0,0.34,0,0.69,0,2.09,0,0,0,0,0,0,0,0,0,0.786,0,0,1
0,0.9,0.9,0,0.9,2.72,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0.196,0,1
0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,0,1
0,1.11,0.18,0.18,0.92,3.15,0,0,0,0,0,0,0,0,0,0.426,0,0,1
0,1.57,0.06,0.54,0.3,4.54,0,0.84,0,0,0,0,0,0.06,0,0.01,0.167,0,1
0,0,0,2.53,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.26,2.53,1.26,0,2.53,0,0,0,0,0,0,0,0,0,0.537,0,0,1
0,0,0,0.59,0,4.14,0,0,0,0,0,0,0,0,0,0.165,0.082,0,1
0,0.4,0,0.33,0.13,1.14,0,0,0,0,0,0,0.13,0,0,0.096,0.085,0.01,1
0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.51,0,1.01,0,4.04,0,0,0,0,0,0,0,0,0,0.089,0.178,0,1
0,0.56,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.606,0,0,1
0,1.44,0.16,0.64,0.8,1.6,0,0.64,0,0,0,0,0,0,0,0.299,0.174,0,1
0,0.19,0,0.39,0,0.59,0,0.19,0,0,0,0.19,0,0,0,0.16,0.16,0,1
0,1.65,0,1.65,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,1
