@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,5,7-10,13-14,16,19-20,26,28,32,35-36,43,52,55,58'

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_original numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,1.16,0,0,0,0,0,0,1.16,1.16,0,0,0,0,0,0,0,0.667,1.131,1
0.68,0,0,0,0,0.68,0,0,0,2.04,0,0,0.68,0,0.68,0,0,0,3.826,1
0,0,0,0,0,0.99,0.49,0,4.97,3.48,0,0,0,0,0,0,0,0.17,1.468,1
0.3,0.05,0.05,0.28,0.43,0.74,0.56,1.23,0.25,3.22,0,0,0,0,0,0,0,0.325,5.891,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529,5.5,1
0.3,0.1,0,0.05,0.1,0,0.2,0,0,1.55,0.3,0.05,0,0,0,0,0,0.054,2.379,1
0,0.92,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.092,2.074,1
0.39,0.19,0,0.19,0,0,0,0,0.98,0.59,0,0,0,0,0,0,0,0.16,2.128,1
0,0,0,0,0,0,0,0,2.77,4.16,0,0,0,0,0,0,0,0.715,1.181,1
0,0.66,0,0,0,0,0.66,0,0.66,2.33,0,0,0,0,0,0,0,0.12,5.428,1
0,0,0,0,0,0,0.78,0,0,3.13,0,0,0,0,0,0,0,0.261,1.461,1
0,2.7,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0.2,1.064,1
0,0.26,0.26,0,0.52,0,0,0,0.79,1.32,0,0,0,0,0,0.26,0,0.31,5.549,1
0,0.55,0,0,0,0.55,0,0,0.55,1.67,0,0,0,0,0,0,0,0.893,2.122,1
0,0.65,0,0,0,0,0,0,0,5.26,1.97,0,0,0,0,0,0,0.816,3.173,1
0.02,0.25,0,0.02,0.15,0,0.25,0.07,0.05,0.05,0,0,0,0,0,0.05,0.02,0,1.423,1
0,0.33,0.16,0,0.5,0,0,0,0.5,0.66,0,0,0,0,0,0,0,0.884,5.328,1
0,1.81,0,0,0,0.36,0,0,0,0.72,0,0,0,0,0,0,0,0,1.543,1
0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,1.103,1
0.16,1.38,0.08,0,0.24,0.08,0,0.08,0.48,3.5,0,0,0,0,0.08,0,0,0.39,5.594,1
0,1.11,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0.784,5.687,1
0,2.33,1.16,0,0,0,0,0.58,0.58,2.92,1.16,0,0,0,0,0,0,0.09,1.829,1
0.17,0.53,0.17,0.89,0.17,0.53,0,0,0,1.97,1.61,0,0,0,0,0,0,1.158,5.163,1
0,0.35,0.35,1.41,0,0,0,0,0.7,5.3,2.82,0,0,0,0,0,0,0.411,2.917,1
0,1.57,0.06,0.06,0.06,0.12,0.3,0.06,0,4.49,0.24,0,0,0,0,0,0.06,0.01,1.74,1
0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.818,1
0,0,0,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.511,4.617,1
0,0.51,0,0,0.25,0,0.25,0,0,2.81,0,0,0,0,0,0,0,0.209,2.776,1
0,0.65,0.32,0.32,0,0,0.32,0,0.32,2.28,0,0,0,0,0,0,0,0,1.494,1
0,0.67,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0.332,2.315,1
0.46,0.15,0,0.35,0.58,0.66,0.62,1.28,0.23,3.12,0,0,0,0,0,0,0,0.319,6.11,1
0.35,0.7,0.35,0.35,0,0.35,0,0,0.7,4.25,0,0,0,0,0,0.35,0,0.397,3.388,1
0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.818,1
0,0.14,0.14,0,0.57,0.14,0,0,0.86,0.57,0,0,0,0,0,0,0,0.826,5.456,1
0.19,0.19,0,0.25,0.76,0.31,0.31,0.38,0.38,2.98,0.69,0,0,0,0,0,0.06,0.428,3.702,1
0,0.96,0.96,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0.616,1.181,1
0,0.15,0,0,0,0,0,0,0,2.56,2.26,0,0,0,0,0,0,0.255,6.3,1
0,0.22,0,0,0.44,0.11,0,0,0.55,1.76,0,0,0,0,0,0,0.11,0.367,2.559,1
0,1.44,0,0,0.24,1.32,0.6,0,0.6,4.44,0,0,0,0,0,0,0,0.101,3.577,1
0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,3.6,1
0.12,1.34,0,0.12,0,0,0,0,0.24,2.33,0,0,0,0,0,0.98,0,0.041,2.351,1
0.12,1.34,0,0.12,0,0,0,0,0.24,2.33,0,0,0,0,0,0.98,0,0.041,2.351,1
0,1.79,0,0,0,0,0,0,1.34,2.24,0,0,0,0,0,0,0,0,2.25,1
0,0,1,0,0,1,0,0,0,3.01,0,0,0,0,0,0,0,0.176,4.476,1
0,0,0,1.08,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0.191,3.95,1
0,0.88,0,0,0,0,0,0,0,1.32,0,0.44,0,0,0,0,0,0.291,1.348,1
0.08,0.85,0.25,0.17,0.59,0.08,0.17,0,0.25,1.61,0.17,0,0,0,0,0,0.17,0.394,7.484,1
