@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-8,12,19,24,27-28,32,35,39,41-42,44,46,49,52-58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_you numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.35,0.35,3.21,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,1.971,24,205,1
0.15,0.02,0.47,2.09,0,0,0,0,0,0,0,0,0,0,0.042,0.25,0.046,0.059,2.565,66,2258,1
0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,1.543,0,0,2.777,6,25,1
0,0,0.97,1.46,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,3.1,61,186,1
0,0.36,0.72,4.1,0,0,0,0,0,0,0,0,0,0,0,0.019,0.019,0,1.714,34,180,1
1.47,0,1.47,5.88,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.214,3,17,1
0,0,0.53,1.6,0,0,0,0,0,0,0,0,0,0,0,0.877,0,0,3.4,61,187,1
1.12,0,0.56,3.93,0,0,0,0,0,0,0,0,0,0,0,1.083,0.333,0,4.974,140,194,1
0.03,0.14,0.67,3.43,0.63,0,0,0,0.03,0,0,0,0,0,0,0.613,0.532,0.137,7.3,763,2453,1
0,0.46,1.38,2.77,0,0,0,0,0,0,0,0,0,0,0,0.082,0.823,0,3.4,12,102,1
0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0.094,0.662,0,0,10.068,131,292,1
2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,0,1.285,7,36,1
0.33,0.84,1.51,2.18,0.33,0,0,0,0,0,0,0,0,0,0,1.194,0.054,0,5.567,101,657,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.431,0,4,25,76,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,11,1
0,0,0.72,0.72,0.72,0,0,0,0,0,0,0,0,0,0.063,0.063,0.126,0,2.562,35,123,1
0,2.98,0.54,2.17,0.27,0,0,0,0,0,0,0,0,0,0,0.565,0.121,0,1.617,18,131,1
0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375,11,38,1
0,0,2.13,0.85,0.42,0,0,0,0,0,0,0,0,0,0,1.088,0,0,5.714,107,200,1
0.57,0,1.15,4.62,0.57,0,0,0,0,0,0,0,0,0,0,0.518,0,0,10.117,33,172,1
0,2.34,1.56,3.12,0,0,0,0,0,0,0,0,0,0,0,0.889,0,0,2.13,15,49,1
0,0,1.34,4.03,0.44,0,0,0,0,0,0,0,0,0,0,0.944,0.145,0.072,2.451,28,152,1
0.08,0.25,0.51,3.01,0.34,0,0,0,0,0,0,0,0,0,0,0.258,0.258,0.113,5.297,300,694,1
3.12,0,3.12,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.428,60,66,1
0.14,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.585,0.046,0.046,5.02,132,979,1
0.86,0,0.43,1.29,1.29,0,0,0,0,0,0,0,0,0,0.14,0.915,0,0,3.891,47,144,1
1.04,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.812,11,61,1
0,0.71,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0.937,0,0,11.888,116,214,1
0,0,1.51,3.29,0,0,0,0,0,0,0,0,0,0,0,0.041,0.124,0.124,3.181,32,210,1
0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.117,0,0,1.206,7,117,1
0.16,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.906,0.663,0,5.289,52,1116,1
0,0,1.23,2.46,0,0,0,0,0,0,0,0,0,0,0,1.284,0,0,1.357,5,19,1
0.32,0.32,0.32,2.28,0.32,0,0,0,0,0,0,0,0,0,0,0,0.157,0,1.494,10,139,1
0.17,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0.754,0.681,0,4.74,52,967,1
0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,5.538,41,72,1
0,1.29,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.31,0.062,0,1.477,8,65,1
0,0,2.52,4.44,0.96,0,0,0,0,0,0,0,0,0,0,0.101,0.202,0,3.548,54,479,1
0.33,0.33,0.33,2.64,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,2.517,9,141,1
0,0,0.31,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,22,115,1
0.08,0,1.43,3.58,0.17,0,0,0,0,0,0,0,0,0,0,0.369,0.109,0.027,4.896,119,1278,1
0,0,0.58,2.35,0.44,0,0,0,0,0,0,0,0,0,0,0.153,0.153,0.102,2.705,73,368,1
