@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_money numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.38,0.77,0,0,0,0.19,2.11,1.15,1.15,0.77,0,0,0,0,0,0,0.027,0.438,0.191,921,1
0,0,0,1.09,0,0,2.18,0,0.54,0,0,0,0,0,0,0,0.208,0.166,0.083,243,1
0,0,0,0,0,0,3.12,0,0.78,0,0,0,0,0,0,0,0,0.889,0,49,1
0,0.27,0,0.36,0,0,2.01,0,3.38,0.09,0,0,0,0,0,0,0.048,0.257,0.032,535,1
0.4,0.33,0,0.13,0.13,0.27,3.2,0,1.45,0.6,0,0,0,0,0,0,0.071,0.456,0.5,2220,1
0,0.32,0,0.64,0.32,0.32,2.27,0,3.24,0.32,0,0,0,0,0,0,0.111,0,0.166,139,1
0.08,0.35,0,1.52,0.08,0.53,3.58,0,0.89,0.17,0,0,0,0,0,0,0.054,0.369,0.109,1278,1
0,0,0,0.87,0,0,0.87,0,0.87,0.43,0,0,0,0,0,0,0,0.942,0,179,1
0.9,0,0,0,0,0.9,3.63,0,2.72,0,0,0,0,0,0,0,0,0.17,0.17,94,1
0,0.6,0,0,0,0.3,2.72,0,1.21,0.6,0,0,0,0,0,0,0.142,0.19,0.142,199,1
0,0.18,0,1.57,0.06,0,4.54,0.24,1.09,0.06,0,0,0,0,0,0,0.052,0.01,0.167,442,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.392,0.196,82,1
0,0.16,0,0.27,0,0.38,2.85,0,1.2,0.16,0,0.05,0,0.1,0,0,0.029,0.019,0.058,539,1
0.1,0.71,0,0.61,0.4,0.1,2.23,0.5,2.03,0.3,0,0,0,0,0,0,0,0.975,0.396,1042,1
1.92,0,0,1.92,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.037,0,208,1
0.95,0.95,0,0,0,0,0.47,0.47,1.91,0.47,0.47,0,0,0,0,0,0.202,0.269,0,464,1
0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0,0,0.6,0.6,0,2.42,0,0,0.6,0,0,0,0,0,0,0,0,0.412,0.206,237,1
0,0,0,0.52,0.26,0.26,1.82,2.08,0.26,0,0,0,0,0,0,0,0.073,0.813,0.036,339,1
0.72,1.81,0,0,0,0.36,1.08,0,2.53,0,0,0,0,1.08,0,0,0.334,1.203,0.467,736,1
0,0.36,0,0.36,1.1,0.36,2.58,0,1.1,1.1,0,0,0,0,0,0,0.186,0.435,0.062,300,1
0.41,0.41,0,2.06,1.65,2.47,2.47,0,0.82,0,0,0,0,0,0,0,0.265,0.199,0,445,1
0.22,0.45,0,0.68,0.22,0.68,3.86,0,1.13,0.45,0,0,0,0,0,0,0.033,1.103,0.133,430,1
0.33,0.5,13.63,0,0,0.5,2.02,0.33,0.84,1.17,0,0,0,0,0,0,0.204,0.613,0.229,888,1
0.11,0.47,0,0,0.23,0.11,3.76,0,1.29,0,0,0,0,0,0,0,0.233,0.287,0.107,509,1
0,0,0,0,0,0.6,1.21,0,0,0,0,0,0,0,0,0,0.518,0.31,0,191,1
0.62,0.62,0,0.31,0,0.31,2.51,0,1.25,0,0,0,0,0,0,0,0.051,0.777,0,278,1
1.14,1.14,0,0,0,0,0,0,3.44,1.14,0,0,0,0,0,0,0,0,0.197,81,1
0,0,0,0,0,1.44,5.79,0,1.44,0,0,0,0,0,0,0,0,0.542,0.271,41,1
0,0,0,0,1.47,0,0,1.47,2.94,0,0,0,0,1.47,0,0,0.147,0.294,0.147,288,1
0.49,0.59,0,0.39,0,0,3.74,0.09,1.08,0.09,0,0,0,0,0,0,0.037,5.828,1.308,768,1
0,0,0,0,1.16,4.65,3.48,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0.1,0.7,0,0.6,0.4,0.1,2.22,0.4,1.92,0.3,0,0,0,0,0,0,0,0.991,0.39,1044,1
0,0.3,0,1.23,0,0.3,1.85,0,1.08,0.3,0,0,0,0,0.46,0,0.128,0.615,0.025,186,1
0.22,0.62,0,0.11,0.05,0,3.46,0,1.76,0.34,0,0,0,0,0,0,0.2,0.441,0.421,1449,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,0,126,1
1.63,0,0,0,1.63,0,1.63,0,3.27,0,0,0,0,0,0,0,0,0,0,12,1
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,110,1
0,0.64,0,1.28,0.64,0.64,1.28,0,2.56,0,0,0,0,0,0,0,0,0.554,0.369,119,1
