@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Spam {1,0}

@data
0,0.16,0.16,0,0.65,0.16,0.98,0,0,0.49,0,0,0,0.32,0,0,0,0,0.693,0.67,1
0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0,1
0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0.145,0.291,1
0,0,0,0,0.66,0.44,1.32,0.22,0.22,0,0,0,0,0,0,0,0,0.065,0.13,0.196,1
0,0,0.32,0.64,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0.157,1
0,0,0.16,0.16,0,0,2.37,0,0,0,0,0,0.33,0,0,0,0,0,0.08,0.107,1
0.26,0,0.08,0.08,0.97,0.62,4.16,0,0.17,0,0,0,0,0,0.08,0,0,0,0.339,0.162,1
0,0,2.01,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0.305,0,1
0,0,0,1.08,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0.191,0.383,1
0.62,0,0.62,0,0,0,1.25,0,0.62,0,0,0,0,0,0,0,0,0,0.456,0.273,1
0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0.963,0,1
0,0,0.96,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0.616,0,1
0,0,1.33,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0.213,1.492,1
0,0,1.11,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,1.158,0.331,1
0,0,0,0,0,0.55,1.67,0,0,0,0,0,0,0,0,0,0,0,0.893,0,1
0.58,0,0.58,0,0,0.19,4.29,0,0.78,0,0,0,0,0,0,0,0,0,0.067,0.135,1
0,0,0.96,0,0,0.48,3.36,0,0,0,0,0,0,0,0,0,0,0,0.149,0.074,1
0.41,0,0,0,0.41,0.83,1.66,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.29,0,0.29,1.78,4.16,0,0,0,0,0,0,0,0,0,0,0,0.045,0.045,1
0.42,0,0.42,0,0,0.21,3.21,5.78,0.21,0,0,0,0.21,0,0,0,0,0,0.263,0.075,1
0.07,0,0.57,0.14,1.14,0.5,1.5,0,0.35,0,0,0,0,0,0,0,0.07,0,0.309,0.103,1
0,0,0,0,0.24,0,1.2,0,0.48,0,0,0.24,0,0,0,0,0,0,0.036,0.184,1
0,0,0,0,0,0,1.09,0.36,0.36,0,0,0,0,0,0,0,0,0,0.604,0.181,1
0.09,0,0,0.18,0.09,0,2,0,0.36,0,0,0,0,0,0,0,0,0.015,0.237,0.031,1
0.09,0,0,0,0.09,0.39,3.74,0,0,0,0,0,0,0,0,0,0,0.765,5.828,1.308,1
1.63,0,0,0,1.63,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0.759,0.253,1
0.14,0,0,0,1.03,0.29,2.36,0,0,0,0,0,0,0,0.29,0,0,0,0.153,0.128,1
0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.121,0,1
0,0,1.11,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0.138,0.138,1
0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0.092,1
0.16,0,0.49,0.32,0.65,0.49,2.38,0,0.9,0,0,0,0,0,0,0,0,0,0.241,0.228,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,1
0,19.16,0.18,0,0,0,0.56,9.48,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,0,0,1.41,0.35,0.35,2.12,0,0.35,0,0,0,0,0,0,0,0,0,0.353,0,1
0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.275,0.137,1
0,1.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684,0,1
0.23,0,0,0,0.82,1.18,4.84,0,0,0,0,0,0,0,0,0,0,0,0.13,0.168,1
0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,3.79,0,1
0.25,0,0.25,0,0,0,1.52,0,0,0,0,0,0,0.25,0,0.25,0,0,0.082,0.041,1
0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0.424,0,1
1.24,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0.481,0.549,1
0,0,0.7,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0.38,0,1
1.03,0,0.68,0,0,0.68,5.86,0,0.34,0,0,0,0,0,0,0,0,0,0.503,0.062,1
0.26,0,0.06,0.33,0.72,0.46,3.5,0,0.06,0,0,0,0,0,0,0,0,0,0.101,0.101,1
0.17,0.44,0,0,0,0,4.04,1.23,0,0,0,0,0,0.17,0,0,0,0.709,0,0,1
0,0,1.28,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0.085,0.17,1
0.35,0,0,0.52,0.61,1.76,2.64,0,0.61,0,0,0,0,0,0,0,0,0,0.556,0.069,1
0,0,0.16,0,0.5,0,0.66,0,0,0.33,0,0,0,0,0,0,0,0,0.884,0.752,1
0,0,0,0,0.91,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.531,0,1
0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,1.081,0,1
0.3,0,0.61,0.92,0.3,0.3,2.47,0,1.23,0,0,0,0,0,0,0,0,0,0.728,0.182,1
0,0,0,0,2.48,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.265,1
0.1,0,0,0,0.1,0.4,3.81,0,0,0,0,0,0,0,0,0,0,0.78,5.942,1.334,1
0,0,0,0.53,0,0,2.65,0,1.59,0,0,0,0,0,0,0,0,0,0.095,0.478,1
0.34,0,0,0,0.75,0.23,3.01,0,0.17,0,0,0,0,0,0,0,0,0,0.13,0.186,1
0.38,0,0,0.19,0.58,0.66,3.11,0,0.46,0,0,0,0,0,0,0,0,0.006,0.36,0.524,1
0.05,0,0,0,0.57,0.05,1.15,0,0,0,0,0,0,0,0,0.11,0,0.019,0.089,0.079,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.13,0,0.13,0,0,0.39,0.39,0,0,0,0,0,0,0,0,0,0,0,0.366,0,1
0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0.292,0,1
0,0,1.15,0,0,0,4.61,0,1.92,0,0,0,0,0,0,0,0,0,0.486,0.347,1
0,0,0.2,0,0.2,0.61,2.89,0,0,0,0,0,0,0,0,0,0,0.098,0.816,0.065,1
0,0,0.9,0,0,0.9,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.36,0,0,0,2.21,0,1.47,0,0,0,0,0,0,0,0,0,0.435,0.932,1
0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0.94,0,0,0,1
0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.35,0,1.07,2.85,0,1.42,0,0,0,0,0,0,0,0,0,0.24,0.24,1
0,0,0,1.36,0,0,3.4,0,0.68,0,0,0,0,0,0,0,0,0,0.238,0.238,1
0,0,0,0,0,0,3.37,0,2.24,0,0,0,0,0,0,0,0,0,0.218,0,1
0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0.8,0.177,1
0.49,0,0,0.28,0.28,0.98,2.24,0,0.07,0,0,0,0,0,0,0,0,0,0.768,0.312,1
0,0,0.19,0,0,0.57,0.19,0,0,0,0,0,0,0,0,0,0,0,0.632,0.03,1
0.12,0,0,0.12,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0.063,0.042,0.042,1
0.09,0,0,0,0.19,0.38,2.51,0,0,0,0,0,0,0,0,0,0,0,0.374,0.059,1
0,0,0,0,0.24,0,1.2,0,0.48,0,0,0.24,0,0,0,0,0,0,0.036,0.184,1
0.09,0,0,0.18,0.09,0,2.01,0,0.36,0,0,0,0,0,0,0,0,0.015,0.249,0.031,1
0.09,0,0,0.09,0,0.19,1.52,0,0,0,0,0,0,0,0,0,0,0.044,0.591,0,1
0.59,0,0.03,0.14,0.56,0.67,3.43,0,0.59,0,0,0,0,0,0,0,0,0,0.612,0.531,1
0.43,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0.061,0,1
0,0,1.43,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0.073,0.295,1
0.1,0,0.4,0.1,1.42,0.81,2.23,0,0,0,0,0,0,0,0,0,0,0,0.976,0.397,1
0.86,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,1.765,0.481,1
0.06,0,0,0.17,0.17,0.17,0.45,0,0.03,1.18,0,0,0,1.36,0,0,0,0.179,0.029,0.011,1
0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,1
0.23,0,0.11,0.05,0.05,0.47,3.93,0,0.47,0,0,0,0,0,0,0,0,0,0.492,0.338,1
0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0.986,0,1
0,0,0,0,0,1.29,3.24,0,0,0,0,0,0,0,0,0,0,0,0.574,0,1
0,0,0,0.27,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0.582,0.291,1
0,0,0,0,0,0.33,1.68,0,0,0,0,0,0,0,0,0,0.33,0.28,0.112,0.336,1
0,0,0.14,0,0.57,0.14,0.57,0,0,0,0,0,0,0,0,0,0,0,0.826,0.745,1
0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.11,0,1
0,0,0,0,0,0.65,0.21,6.75,0,0.21,0,0,0,0,0,0,0,0,0.146,0.146,1
0.05,0,0,0,0.57,0.05,1.04,0,0,0,0,0,0,0,0,0.11,0,0.019,0.089,0.079,1
0,0,0,0,0,0,1.25,1.87,0,0,0,0,0,0,0,0,0,0,1.285,0.075,1
0.25,0,0.25,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0.044,0.354,0,1
0.8,0,0,0,0,0,1.61,0,0.8,0,0,0,0,0,0,0,0,0,1.562,0.36,1
0,0,0.13,0,0,0.26,3.14,7.33,0.13,0,0,0,0,0,0,0,0,0,0.022,0.022,1
0,0,0.91,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1.32,0,0,0.44,0,0,0,0,0,0,0,0.072,0.291,0,1
0,0,0.08,1.06,0.53,1.59,1.86,0,0.08,0,0,0,0.08,0,0,0,0.08,0.098,0.353,0.254,1
0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.18,0.37,0.75,2.45,0,0,0,0,0,0,0,0,0,0,0,0.241,0.107,1
0.12,0,0.06,0,0.57,0.5,3.82,0,0,0,0,0,0,0,0,0.06,0,0,0.133,0.041,1
0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,2.631,0,1
0,0,0,0,0,0,1.58,0,0.79,0,0,0,0,0.79,0,0,0,0.115,0.462,0,1
0.87,0,0,0.04,0.29,0.42,3.47,0,0.34,0,0,0,0,0,0,0,0,0.016,0.639,0.165,1
0,0,0.91,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0.455,0,1
0,0,0.38,0,0.38,1.94,2.72,0,0,0,0,0,0,0,0,0,0,0,0.057,0.057,1
0.28,0,0.14,0,0.42,0,1.82,10.82,0.84,0,0,0,0,0,0,0,0,0,0.045,0.342,1
0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0.935,0,1
0,0,1.65,0.82,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0.199,0,1
0,0,1.2,1.2,1.2,1.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0.331,0,1
0,0,0.76,0.51,0,1.02,1.53,0,0.76,0,0,0,0,0,0,0,0,0,0.458,0.499,1
0,0,0,0.56,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.046,0,1
0.17,0,0.17,0.34,0.17,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.873,0,1
0,1.16,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,2.766,0.829,1
0,0,0.98,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0.064,0.645,0.064,1
0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0.212,1
0,0,0,0,0,0,0,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0,1
0,0,0.61,0.4,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,1.232,0,1
0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0,1
0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.241,0.06,1
0,0,0,1.45,0,0,1.45,0,0.72,0,0,0,0,0,0,0,0,0,0.495,0,1
0.38,0,0,0,0.38,0.38,0.38,0,0,0.38,0,0,0,0,0,0,0,0,1.008,0.059,1
0.54,0,0,0.05,0.35,0.16,3.56,0,1.14,0,0,0,0,0,0,0,0,0,0.268,0.15,1
0,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,3.768,0,1
0,0,0,0.36,0.72,1.08,1.08,0,0,0,0,0,0,1.08,0,0,0,0,1.203,0.467,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0.634,1
0,0,0,0.35,0,1.07,2.85,0,1.42,0,0,0,0,0,0,0,0,0,0.233,0.233,1
0,0,0.45,0,0.9,0.45,1.36,0,0,0,0,0,0,0,0,0,0,0,0.64,0.16,1
0.31,0,0.15,0.79,0.15,0.63,2.05,0,0.15,0,0,0,0,0,0,0,0,0,1.3,0.127,1
0,0,0,0,0,1.63,3.27,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,1
0.14,0,0,0,1.02,0.29,2.35,0,0,0,0,0,0,0,0.29,0,0,0,0.153,0.153,1
0.33,0,0.67,0,0.33,0,3.03,0,0,0,0,0,0.33,0,0,0,0,0,0.156,0.104,1
0,0,1.03,0.51,0,0.51,2.07,0,0,0,0,0,0,0,0,0,0,0,0.6,0.429,1
0,0,0,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0.878,0.175,1
0,0,2.23,0,0,0.55,3.35,0,0,0,0,0,0,0,0,0,0,0,0.479,0,1
0.82,0,0.82,0,0,0,2.46,0,0.41,0,0,0,0,0,0,0,0,0,0.513,0.114,1
0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,5.844,0,1
0.56,0,0,0.84,0.28,0.28,0.84,0,0.28,0,0,0,0,0,0,0,0,0,1.289,0.042,1
0.7,0,0.7,0,0.7,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0.23,0,1
0,0,0,0,0.91,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.572,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,1
0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0.201,1
0,0,0.69,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0.701,0.116,1
0,0,0,0,0,0.83,0.27,8.58,0,0,0,0,0,0,0,0,0,0,0,0.185,1
0,0,0.5,0.5,0,1.01,2.03,0,0.76,0,0,0,0,0,0,0,0,0,0.412,0.412,1
0,0,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,1.443,0,1
0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,1.235,0,1
0.98,0,0,0.16,0,0.49,2.37,0,0.49,0,0,0,0,0,0,0,0,0,0.736,0.256,1
