@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,9,12,16-18,20,25,30,34,39-41,44,52-54,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0.31,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0.135,0,0,1
0,0,1.28,0.96,0,0.32,0,0,0,0,0,0,0,0,0.164,0.054,0,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.809,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0.196,0,1
0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,2.112,0,0,1
0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0.198,0.596,0,1
0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,1.478,0,0,1
1.04,0,1.04,0,1.04,0,0,0,0,0,0,0,0,0,0.615,0.061,0.061,1
0,0,0.45,0.45,0,0.91,0,0,0,0,0,0,0,0,1.501,0,0,1
0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,1.366,0,0,1
0.46,0,0,1.86,0,0,0.46,0,0,0,0,0.46,0,0,0.571,0.214,0,1
0,0.1,0.3,0,0,0.5,0.3,0.05,0,0,0,0,0,0.05,0.054,0.118,0,1
0,0.57,0.73,0.23,0.42,0,0,0,0,0,0,0,0,0,0.335,1.281,0.125,1
0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.121,0,0,1
0,0,0.33,0.66,0.66,0,0,0,0,0,0,0,0,0,0.12,0.541,0,1
0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.484,0,0,1
0,0,0.71,0.35,0,1.42,0,0,0,0,0,0,0,0,0.7,0,0,1
0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.892,0,0,1
0,0.11,0.17,0.05,0,0.53,0.35,0,0,0,0,0,0,0,0.032,0.14,0,1
