@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,9,16-17,19-20,22-24,29-30,33,37,39-40,44,46,49-50,53-55,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,1
0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.37,0,35.461,1
0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,4,1
0,0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,1
0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,1.7,1
0,0,1.28,0,2.56,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0.181,0,0,3.071,1
0,0,0.43,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,2.81,1
0.7,0,2.83,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,1
0,0.1,0,0,1.55,0.3,0,0.15,0.2,0,0,0,0,0,0,0.05,0,0,0.036,0.118,0,2.379,1
0.16,0,0.16,0,0.16,0.16,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.024,0.049,5.709,1
0,0,0.66,0.66,2.33,0,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0.06,0.541,0,5.428,1
0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.147,0,2.333,1
0.08,0.08,0,0.17,1.2,0,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0.081,0.013,0,4.07,1
0,0,0.38,0.77,2.7,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0.061,0.184,0,3.923,1
0,0.48,0.96,0.96,1.44,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.133,0.267,0,3.315,1
0.32,0,0.32,0.32,2.28,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.105,0.158,0,1.494,1
0.15,0.63,1.11,0,0.79,0,0,0,0,0,0,0,0.31,0,0.15,0,0,0,0.088,0.707,0.022,5.423,1
0,0,0,0,0.39,0,0,0,0,0,0.39,0,0,0,0,0.39,0,0,0,0,0,2.5,1
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.153,1
0.33,0,0.33,0.33,1.98,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.108,0.162,0.054,2.195,1
3.12,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.428,1
0.15,0.61,0.92,0,0.61,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.083,0.753,0.02,5.058,1
0.06,0.06,0,0.72,4.48,0.24,0,0.84,0.06,0,0,0,0,0,0,0,0,0.01,0.052,0.167,0,1.733,1
0.32,0,0.32,0.32,2.27,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.105,0.157,0,1.494,1
0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.055,1
0.32,0,0.32,0.32,2.28,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.106,0.159,0,1.494,1
0,0,0.08,0.23,0.4,0.16,0,0,0,0,0,0,0.08,0,0,0.16,0,0,0.228,0.038,0,2.811,1
0,0,0.05,0.1,0.07,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.017,0.017,3.922,1
0,0.2,0.2,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.338,0.03,1102.5,1
0,0,0,0,4.46,0.89,0,0.44,0,0,0,0,0,0,0,0,0,0.078,0.078,0,0,1.541,1
0.48,0,0,0.96,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,1.696,1
0.7,0,0.7,0,5.96,0,0,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0.061,0,1.88,1
0.49,0,0.49,0.99,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.165,0,5.113,1
0,0,0.94,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,1.3,1
0.12,0,0.12,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.037,0.094,0,1.246,1
0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,1.44,1
0.35,0,0.35,0,0.53,0,0,0.35,0,0,0,0,0.35,0,0,0,0,0,0.057,0.171,0,1.974,1
0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,1
0,0.93,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0,2.166,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.09,0.19,0.87,0.19,1.66,4.1,0,0.39,0.19,0,0,0,0,0,0,0,0,0,0.136,0.151,0,6.813,1
0,0,0,2.22,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,5.16,1
0.1,0.2,0.91,0.2,1.72,4.26,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0.093,0.156,0,6.8,1
0.44,0,0,0,0.88,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017,8.033,1
0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.204,0.408,0,4.1,1
0,0,0,0.48,2.41,0,0,3.38,0,0,0,0,0,0.48,0.48,0,0,0,0.084,0.761,0,5.322,1
0,0.61,0,0.7,2.64,0,0,0.61,0.7,0,0,0,0,0.08,0.17,0,0,0,0.081,0.069,0.011,19.234,1
0.06,0.72,0.59,0.19,3.5,0.06,0,0.06,0.06,0,0,0,0,0,0.06,0,0,0,0.131,0.101,0.202,4.398,1
0,0.09,0,0,2.01,0,0,0.36,0.09,0,0,0,0,0,0,0,0,0.015,0.046,0.031,0.031,3.689,1
0,0,0,0.47,2.83,0,0,1.41,0,0,0,0,0,0.47,0.47,0,0,0,0.164,0.41,0,5.074,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0.632,0,3.75,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.61,0,4.133,1
0.56,0,1.41,0.28,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0.153,9.25,1
0,0,0,0,1.67,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0.265,0.353,0,2.571,1
0,0,0,0,4.41,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,2.333,1
0,0.49,0.66,0.33,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,5.778,1
0,0,0,0,3.4,0,0,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0.232,0,2.232,1
0.64,0.32,0.32,0.32,2.25,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.156,0.156,0,1.752,1
1.36,0,1.82,0.45,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,1
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,14.5,1
0,1.02,0,0.45,3.53,0,0,0.45,0.45,0,0,0,0,0,0.11,0,0,0.018,0.17,0.132,0,4.215,1
0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,6.611,1
0,0.68,0,0,0.34,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,664,1
0.82,0,0,0.41,2.46,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0.171,0.114,0,2.953,1
0.23,0.35,0.11,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.107,0.035,3.439,1
0.49,0,0.49,0.99,1.98,0.74,0,0,0.49,0,0,0,0,0,0,0,0,0,0.179,0.077,0,3.219,1
0.98,0.32,0.49,0.65,0.98,0.16,0,0,0,0,0,0,0,0,0.16,0,0,0,0.246,0.673,0,2.922,1
0.33,0.66,0,0,0.33,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,337.25,1
0,0.44,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.895,1
0.34,0,0.68,0.34,0.68,0.34,0,0,0,0,0,0,0,0,0.34,0,0,0,0.393,0.056,0,2.257,1
0.36,0,0.36,0,2.21,1.1,0,1.47,0,0,0,0,0,0,0,0,0,0,0.124,0.932,0.186,2.932,1
0.64,0,0,0,3.89,1.29,0,0,0,0,0,0,0,0,0.64,0,0,0,0.115,0.345,0,1.833,1
0.65,0,0,0.65,2.61,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.173,0,3.065,1
0,0.09,0,0,2,0,0,0.36,0.09,0,0,0,0,0,0,0,0,0.015,0.047,0.031,0.031,3.758,1
0,0,0,0,2.56,0,0,1.53,0,0,0,0,0,0.51,0.51,0,0,0,0.189,0.473,0,5.038,1
0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.212,0.424,0,4.1,1
0,0.75,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237,0,105.8,1
0.31,0,0.95,0.63,2.54,2.54,0,0,0.63,0,0,0,0,0,0,0,0,0,0.051,0,0.102,5.708,1
0.09,0.19,0.87,0.19,1.66,4.1,0,0.39,0.19,0,0,0,0,0,0,0,0,0,0.14,0.155,0,6.813,1
0.04,0.24,0,0.14,0.24,0.04,0,0.38,0.14,0,0,0,0,0,0.04,0.04,0,0,0.061,0.099,0,1.867,1
0.74,0,0,0.37,3.35,2.98,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.552,0,1.58,1
0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0.46,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0.249,0.083,49.866,1
0.49,0,2.94,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,12.148,1
0,0,0.47,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.168,0.084,57.23,1
0,0,1.33,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,2.25,1
1.04,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,1
0,0,1.57,0.78,1.57,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0.341,0,2.555,1
0.86,0,0.86,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,2.75,1
0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.204,0,0,2.588,1
1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,2.333,1
0,0,0,0,1.84,0,0,0.76,1.23,0,0,0,0,0,0,0,0,0,0.057,0.289,0.144,4.33,1
0.23,0,0,0.71,3.8,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,3.184,1
0.74,0,0.74,3.73,4.47,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.118,0.236,2.15,1
0,0,0.45,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.244,0.081,64.416,1
0,0,0.45,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.081,64.416,1
0,0,0,0,1.31,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0.212,0,4.818,1
0,0,0,0,1.31,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0.212,0,4.818,1
0,0.72,0.36,0.36,1.08,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0.334,0.467,0.066,18.4,1
0.5,0,0,1.01,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,1.792,1
0.14,0.42,0,0.28,1.82,2.53,10.82,0.84,0.28,0,0,0,0,0,0,0,0,0,0,0.342,1.233,14.88,1
0,1.63,1.63,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,2,1
0.32,0,0.32,0.32,2.28,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.111,0.166,0,1.494,1
0.05,0.05,0,0.64,4.21,0.23,0,0.82,0.05,0,0,0,0,0,0,0,0,0.01,0.052,0.167,0,1.818,1
0,0,0.81,0,3.27,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.826,1
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.153,1
0.27,0,0,0,2.45,0,0,0,0.27,0,0,0,0,0,0,0,0.27,0,0.04,0.04,0,2.121,1
0.2,0.8,0.4,0,3.44,3.03,0,0,0.4,0,0,0,0,0,0,0,0,0.033,0.066,0.066,0,2.704,1
0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,3,1
0,0,0.72,0,2.54,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.113,0.17,2.622,1
0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,2.95,1
0,0,0.3,0.3,2.12,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.211,0.211,0.052,1.745,1
0.58,0,0.58,0.58,0.58,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0.239,0,3.338,1
0.29,0,0.87,0.58,2.61,2.61,0,0,0.58,0,0,0,0,0,0,0,0,0,0.046,0,0.14,4.892,1
0.05,0.44,0.1,0.44,3.21,0,0,1.01,0.33,0,0,0,0,0,0,0,0,0,0.068,0.793,0.159,6.05,1
0.36,0,0.36,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,18.37,1
0.55,0,0.55,2.79,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.345,0,4.761,1
0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0.173,0.519,0.692,0,4.941,1
