@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,6,9,12-18,20,27,37,52-53,57-58'

@attribute Word_freq_address numeric
@attribute Word_freq_over numeric
@attribute Word_freq_order numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_george numeric
@attribute Word_freq_1999 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,461,1
0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.352,0,36,1
0,0,0,1.17,0,0,0,0,1.17,0,0,0,0,0.886,0,59,1
0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0.302,17,1
0,1.28,0,0,0,0,0,1.28,0,0,0,0,0,0.724,0,43,1
0.43,0,0,0.43,0,0,0,0.43,0,0.86,0,0,0,0.736,0,222,1
0,0,0,0,0,0,0,2.83,0,0,0,0,0,0.38,0,30,1
0.3,0.05,0.1,0.3,0.2,0,0.05,0,0,0.5,0.3,0,0,0.054,0.118,583,1
0.32,0,0,0,0.16,0,0.16,0.16,0,0.8,0.16,0,0,0.271,0.024,982,1
0,0.66,0,0.33,0.66,0,0,0.66,0.66,0,0,0,0,0.12,0.541,304,1
0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.294,0.147,63,1
0,0.08,0.08,0.6,0.17,0.17,0,0,0.17,0.08,0,0,0,0.108,0.013,574,1
0,0,0,0.38,0,0,0,0.38,0.77,0,0,0,0,0.985,0.184,255,1
0,0,0.48,0,0,0,0,0.96,0.96,0,0,0,0,0.468,0.267,242,1
0,0.65,0,0.32,0.32,0,0,0.32,0.32,0,0,0,0,0,0.158,139,1
0,0,0.63,0,0,0,0,1.11,0,1.27,0,0,0.31,0.862,0.707,1128,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1
0,0,0,0,0,0,0,4,0,0,0,0,0,2.453,0,54,1
0,0.99,0,0.33,0.33,0,0,0.33,0.33,0,0,0,0,0,0.162,202,1
0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,66,1
0,0,0.61,0,0,0,0,0.92,0,1.53,0,0,0.3,0.732,0.753,1128,1
0,0.36,0.06,0.54,0.3,0.06,0,0,0.72,0.06,0.24,0,0,0.01,0.167,442,1
0,0.64,0,0.32,0.32,0,0,0.32,0.32,0,0,0,0,0,0.157,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,127,1
0,0.65,0,0.32,0.32,0,0,0.32,0.32,0,0,0,0,0,0.159,139,1
0,0,0,0.23,0,0,0,0.08,0.23,0,0.16,0,0.08,0.406,0.038,1254,1
0.02,0,0,0.02,0,0,0,0.05,0.1,0.38,0.2,0,0,0.107,0.017,3271,1
0.81,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.831,0.338,2205,1
0,0.44,0,0,0,0,0,0,0,0,0.89,0,0,0,0,37,1
0,0.48,0,0,0,0,0,0,0.96,0,0,0,0,0.163,0,95,1
0,0,0,0.7,0,0,0.35,0.7,0,0.35,0,0,0,0.367,0.061,94,1
0,0,0,0.99,0,0,0,0.49,0.99,0,0,0,0,0.497,0.165,225,1
0,0,0,0,0,0,0,0.94,0,0,0,0,0,3.571,0,52,1
0,0.12,0,0.48,0.12,0.12,0,0.12,0,0.6,0,0,0,0.056,0.094,389,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.007,0,36,1
0,0,0,0.35,0,0,0,0.35,0,0.17,0,0,0.35,0.057,0.171,229,1
0,0,0,0,0,0,0,0,0,0,0,0,0,5.844,0,15,1
0,0,0.93,0,0,0,0,0,0,0,0,0,0,0.536,0,65,1
0,0,0,0,0,0,0,0,0,0,0,0,0,4.347,0,2,1
0,0.09,0.19,0.48,0,0.58,0,0.87,0.19,0,4.1,0,0,0.318,0.151,1458,1
0,0.74,0,0,0.74,0,0,0,2.22,0,0,0,0,1.096,0,289,1
0,0.1,0.2,0.5,0,0.6,0,0.91,0.2,0,4.26,0,0,0.297,0.156,1428,1
0,0.44,0,0.44,0,0,0,0,0,0,0,0,0,0.19,0,474,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0.408,82,1
0,0,0,0.96,0,0,1.93,0,0.48,0.48,0,0,0,0.084,0.761,165,1
0.08,0,0.61,0.26,0.79,0,0.26,0,0.7,0.35,0,0,0,0.556,0.069,3116,1
0.72,0.19,0.72,0.79,0.19,1.05,0.06,0.59,0.19,0.33,0.06,0,0,0.101,0.101,1280,1
0,0.09,0.09,0.73,0,0.36,0,0,0,0,0,0,0,0.249,0.031,535,1
0,0,0,0.94,0,0,1.88,0,0.47,0.47,0,0,0,0.082,0.41,137,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.632,60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.61,62,1
0.56,0,0,0.56,0.28,0,0,1.41,0.28,0,0,0,0,0.153,0,555,1
0.55,0.55,0,0,0,0,0,0,0,1.11,0,0,0.55,0.088,0.353,108,1
1.47,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,21,1
0,0,0.49,0,0,0.16,0,0.66,0.33,0,0,0,0,0.616,0,549,1
0,0,0,0.68,0,0,0,0,0,0,0,0,0,0.232,0.232,96,1
0,0.64,0.32,0.32,0.32,0,0,0.32,0.32,0.32,0,0,0,0,0.156,149,1
0.45,0,0,0.45,0,0,0,1.82,0.45,0,0,0,0,0.368,0,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1
0.22,0.45,1.02,0.34,0.22,0.11,2.16,0,0.45,0.11,0,0,0,0.265,0.132,666,1
0,0,0,0.89,0,0,0,0,0,0,0,0,0,1.336,0,238,1
0,0,0.68,0,0,0,0,0,0,0,1.02,0,0,0.902,0.106,1328,1
0,0,0,0.82,0,0,0,0,0.41,0,0,0,0,0.513,0.114,189,1
0.11,0.11,0.35,0.94,0.11,0,0,0.11,0,0,0,0,0,0.287,0.107,509,1
0,0,0,0.49,0,0,0,0.49,0.99,0.74,0.74,0,0,0.847,0.077,499,1
0.81,0,0.32,0.81,0,0,0.32,0.49,0.65,0,0.16,0,0,0.179,0.673,640,1
0,0,0.66,0,0,0,0,0,0,0,0.99,0,0,0.859,0.101,1349,1
0,0,0.44,0.44,0,0,0,0,0,0.89,0,0,0,0.305,0,163,1
0,0,0,0.34,0,0,0,0.68,0.34,0.34,0.34,0,0,0.225,0.056,158,1
0,1.1,0,0.36,0,0,0,0.36,0,0,1.1,0,0,0.435,0.932,173,1
0,0,0,0.64,0.64,0,0,0,0,0,1.29,0,0,0.921,0.345,55,1
0,0.32,0,0.98,0.32,0,0,0,0.65,0,0,0,0,0.288,0.173,141,1
0,0.09,0.09,0.72,0,0.36,0,0,0,0,0,0,0,0.237,0.031,530,1
0,0,0,1.02,0,0,2.05,0,0,0.51,0,0,0,0.094,0.473,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.424,82,1
1.51,0,0.75,2.27,0,0,1.51,0,0.75,0,0,0,0,2.249,1.237,529,1
0,0.31,0,0.95,0,0,0,0.95,0.63,0.31,2.54,0,0,0.102,0,274,1
0,0.09,0.19,0.48,0,0.58,0,0.87,0.19,0,4.1,0,0,0.326,0.155,1458,1
0,0.24,0.24,0.52,0.04,0.09,0,0,0.14,0,0.04,0,0,0.007,0.099,521,1
0,0,0,0.37,0,0,0,0,0.37,0,2.98,0,0,0.368,0.552,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0.92,0,0,2.31,0,0.46,0,0.46,0,0,0,0,0,1.663,0.249,748,1
0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0.862,0,571,1
0.94,0,0,2.35,0,0.47,0,0.47,0,0,0,0,0,1.68,0.168,744,1
0,0.44,0,0.44,0,0,0,1.33,0,0,0,0,0,0,0,144,1
2.08,0,0,2.08,0,0,0,0,0,4.16,0,0,0,0.263,0,20,1
0,0,0,0,0,0,0,1.57,0.78,0,0,0,0,0.682,0.341,115,1
0,0,0,0,0,0,0,0.86,0,1.73,0,0,0,0.759,0,55,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,277,1
0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,119,1
0,0.46,0,0.3,1.07,0,0,0,0,0,0,0,0,0.52,0.289,446,1
0,0.23,0,0.23,0,0,0,0,0.71,0,0,0,0,0.238,0,242,1
0,0,0,0.74,0,0,0,0.74,3.73,0,0,0,0,0.355,0.118,43,1
0.9,0,0,2.26,0,0.45,0,0.45,0,0,0,0,0,1.631,0.244,773,1
0.91,0,0,2.29,0,0.91,0,0.45,0,0,0,0,0,1.633,0.245,773,1
0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0.212,53,1
0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0.212,53,1
0.72,0.36,0.72,0.72,0,0.36,0,0.36,0.36,0.36,0,0,1.08,1.203,0.467,736,1
0,0.5,0,0,0,0,0,0,1.01,1.01,0,0,0,0.178,0,95,1
0.14,0,0.42,0.98,0,0,0,0,0.28,0,2.53,0,0,0.045,0.342,1622,1
0,0,1.63,0,0,0,0,1.63,0,0,0,0,0,0.8,0.266,36,1
0,0.65,0,0.32,0.32,0,0,0.32,0.32,0,0,0,0,0,0.166,139,1
0,0.35,0.05,0.52,0.29,0.05,0,0,0.64,0.05,0.23,0,0,0.01,0.167,462,1
0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0.258,0,65,1
0,0,0,0,0,0,0,4,0,0,0,0,0,2.597,0,54,1
0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.489,0.04,227,1
0,0,0.8,0.4,0,1.41,0.2,0.4,0,0,3.03,0,0,0.133,0.066,192,1
0.9,0,0,0.9,0,0,0,0,0,1.81,0,0,0,0.292,0,75,1
0,0.36,0,1.09,0,0,0,0.72,0,0,1.81,0,0,0.963,0.113,139,1
0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0.278,0,59,1
0,0.91,0,0.3,0.3,0,0,0.3,0.3,0.3,0,0,0,0,0.211,185,1
