@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_all numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,17,1
0,0,0.79,0,0,0,0,0.79,0,0.79,0,0,0,0,0,0,0,0,0.347,0.462,0,22,1
0,0.6,0.6,0,0,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0.047,0.189,0.141,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,15,1
0.07,0.81,0.29,0.07,0,0.07,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,44,1
0.6,0.36,0,0,0,0.24,1.32,0.6,0,0.72,0,0,0,0,0,0,0,0,0,0.102,0.224,54,1
0.13,0.52,0,0.13,0,0,0.39,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0.366,0,149,1
0,1.25,0.62,0,0,0,0,1.25,0,0.62,0,0,0,0,0,0,0,0,0,0.331,0.11,30,1
0,0.14,0,0.14,0,0.58,0,0.87,0,0,0,0.43,0,0,0,0,0,0,0,0.764,0.784,45,1
0.14,0.79,0.14,0.18,0.28,0.28,0.84,0.89,0.04,0.46,0,0,0,0,0.28,0,0,0.04,0,0.522,0.109,116,1
0,0.28,0.84,0.28,0,0.28,0.28,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0.05,0,34,1
0,0,0.54,1.63,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0.171,32,1
0.8,0.8,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,0,0,0,0,1.562,0.36,22,1
0,1.05,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.897,0,121,1
0,0.48,0,0,0.48,0,0,0,0,1.44,0,0,0,0,0.48,0,0,0,0,0.084,0.336,12,1
0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0.07,0.15,0.15,0,0.07,0.07,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0.023,10,1
0.3,0.61,0,0,0,0,0.92,2.15,0,0,0,0,0,0,0,0,0,0,0,1.053,0.351,66,1
0.6,0.36,0,0,0,0.24,1.32,0.6,0,0.72,0,0,0,0,0,0,0,0,0,0.102,0.205,54,1
0.05,0.4,0.05,0,0.05,0.1,0,0,0.3,0.15,0.05,0,0,0,0,0,0.05,0,0,0.054,0.118,96,1
0,0,0.27,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.091,11,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2.597,0,26,1
0,0.13,0.13,0,0,0.13,1.5,0.27,0,0.13,0,0,0,0,0,0,0,0,0,0.364,0.064,107,1
0.18,0.18,0.36,0,0.06,0.06,0.06,0,0.24,0.85,0,0,0,0,0,0.06,0,0,0,0.01,0.169,12,1
0.75,0.37,0.12,0,0.25,0.75,0.31,0.37,0.69,0.44,0,0,0,0,0.12,0.06,0,0,0.053,0.437,0.234,45,1
0,0.33,0.99,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.161,50,1
0,0.34,0,0.34,0,0,0.34,0.68,0.34,0,0,0,0,0,0.34,0,0,0,0,0.225,0.056,17,1
0.51,0,0,0.51,0,0,0.51,2.07,0,0,0,0,0,0,0,0,0,0,0,0.067,0,17,1
0,0.61,1.02,0,0.2,0.4,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.063,31,1
0.74,0,0,0.74,0,0,1.49,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0.355,0.118,7,1
