@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,4,7-10,19,22-23,25,28,30,33,37-38,42,46,49,52-53,58'

@attribute Word_freq_make numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Spam {1,0}

@data
0,0,0.96,0,0,1.92,3.84,0,0,0,0,0,0,0,0,0,0,0,0.462,0,1
0,0,0.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0.455,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,1
0.05,0,0.15,0.02,0.55,0,2.09,0,0.05,0,0,0,0,0.1,0,0,0,0.042,0.25,0.046,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.671,0,1
0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0.669,0,1
0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0.1,1
0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0.268,0,1
0,0,0,0,0,1.21,1.21,0,0.6,0,0,0,0,0,0,0,0,0.207,0.31,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.305,1.529,0,1
0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.542,0,1
0,0,0.59,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0.427,0,1
0,0,1.58,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0.558,0.279,1
0,0,1.12,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,1.32,0.33,1
0,0,0.45,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0.135,0,1
0,0,0.34,0,0,0.34,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.46,0,0,0.46,0,0,2.77,0,1.38,0,0,0,0,0,0,0,0,0,0.081,0.816,1
0,0,0.93,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0.135,0,1
0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,1.192,0,1
0.53,0,1.07,0,0,0,4.3,0,1.61,0,0,0,0,0,0,0,0,0,1.183,0.253,1
