@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,11-12,15-16,20,25,27-28,35-36,38,40-41,45-46,49,55,57-58'

@attribute Word_freq_address numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0.35,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,1.971,205,1
0.07,0.1,0.47,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0.042,2.565,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777,25,1
0.48,0,0.97,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,3.1,186,1
0.24,0.36,0.72,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,1.714,180,1
0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,17,1
0.53,0,0.53,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,3.4,187,1
0.56,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,4.974,194,1
0.44,0.29,0.67,0.03,0.22,0,0,0,0,0.03,0,0,0,0,0.07,0,0,7.3,2453,1
0,0,1.38,2.31,0,0,0,0,0,0,0,0,0.46,0,0,0,0,3.4,102,1
0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.094,10.068,292,1
0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,1.285,36,1
0,0.33,1.51,0,0,1.68,0,0,0,0,0,0,0.16,0,0,0,0,5.567,657,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,4,76,1
0,0,0,0,2.98,0,1.49,0,0,0,0,0,0,0,0,0,0,1.1,11,1
0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,2.562,123,1
0,0.27,0.54,0,0.81,1.35,0,0,0,0,0,0,0,0,0,0,0,1.617,131,1
0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,2.375,38,1
0,0,2.13,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,5.714,200,1
0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.117,172,1
