@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2-5,7,16,19-21,24,32-34,37,40,42,50,52-53,57-58'

@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_money numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.71,0,1.23,0.19,0.06,1.36,0.32,0.51,0.06,0,0,0,0,0.06,0,0.143,0.276,0.184,2259,1
0,0,0,0.63,0.31,0.31,3.18,0,0.31,0,0,0,0,0,0,0,0.137,0.137,0,191,1
0.42,0.42,0,1.27,0.42,1.27,1.7,0.42,1.27,0.42,0,0,0,1.27,0.42,0,0.063,0.572,0.063,249,1
0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0.436,0.873,0,29,1
0.48,0.48,0,1.46,0.48,0.48,0.97,0.48,1.95,0.48,0,0,0,1.46,0.48,0,0.073,0.589,0.294,194,1
0,0.61,0,0,0,2.15,5.53,0,1.23,0.3,0,0,0.3,0,0,0,0.1,1.053,0.351,303,1
0,0.48,0,1.44,0.48,0.48,2.41,0,2.41,0,0,0,0,0,0,0,0.081,0.486,0.243,236,1
0.35,0.7,0,0.35,0,1.05,2.11,0,1.4,0,0,0,0,0,0,0,0.122,1.284,0,313,1
0.41,1.24,0,0,0,0.41,3.73,0,1.24,0.41,0,0,0,0,0,0,0.065,0.461,0.527,114,1
0,0.64,0,0,0,0.64,2.59,0,0,0,0,0,0,0.64,0,0,0.189,0.662,0,292,1
0,0,0,0,0,0.79,1.58,0,0,0,0,0,0,0.79,0,0,0.231,0.462,0,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0.611,1.529,0,66,1
0,0,0,1.28,2.56,0,2.56,1.28,5.12,0,0,0,0,0,0,0,0,0.542,0,308,1
0,0.08,0,0.42,0.08,0,1.2,0,3.17,0.08,0,0,0,0,0,0,0.081,0.095,0.013,574,1
0.26,0.26,0,0.08,0.08,0.08,3.03,0,0.78,0.34,0,0,0,0,0,0,0.048,0.259,0.259,537,1
0,0,0,0.87,0,0,0.87,0,0.87,0.43,0,0,0,0,0,0,0,0.835,0,179,1
0,1.12,0,0.56,0,0.56,2.25,0,1.12,0,0,0,0,0,0,0,0.102,0.615,0,137,1
0,0.46,0,0,0,0,2.77,0,2.31,0,0,0,0,0,0.46,0,0.49,0.081,0.816,102,1
0,0.32,0,0.64,0.32,0.32,2.27,0,3.24,0.32,0,0,0,0,0,0,0.106,0,0.159,143,1
0,0.71,0,0.71,0,0.71,1.42,0,0.71,0,0,0,0,0,0,0,0.121,1.094,0,95,1
0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0.814,0,39,1
0,1.42,0,0.71,0,0,1.42,0,3.57,0,0,0,0,0,0,0,0,0.931,0,217,1
0,0.15,0,0.31,0.15,1.11,0.79,0,0,0,0,0,0,0.31,0.15,0,0.088,0.862,0.707,1128,1
0.46,0,0,1.15,0.23,0,2.76,0,1.84,0.23,0,0,0,0,0,0,0.036,0.841,0.036,285,1
0,1.63,0,0,0,1.63,3.27,0,3.27,0,0,0,0,0,0,0,0,0.759,0.253,36,1
1.32,0.56,0,0,0,0,2.45,0,0.94,0.18,0,0,0,0,0,0,0.08,0.242,0.107,244,1
0,0,0,0,0,0,0.91,0,2.75,0,0,0,0,0,0,0,0.133,0.532,0,87,1
0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0.309,0,56,1
0,0,0,1.29,0.43,0.43,1.72,0,0.86,0,0,0,0,0,0,0,0.129,0.129,0,116,1
0,0.29,0,0.23,0.05,0.76,1.53,0.29,1.3,0.05,0,0,0,0,0,0,0.129,0.102,0.259,660,1
0,0,0,1.48,1.48,0.74,2.22,0,3.7,0,0,0,0,0,0,0,0,0.108,0,61,1
0.08,0.76,0,0.85,0.25,0.25,1.61,0.17,0.42,0.08,0,0,0,0,0.08,0,0.063,0.394,0.114,1407,1
0,0.14,0,0.28,0.14,0,2.86,2.14,2,0,0,0,0,0,0,0,0.048,0.241,0.072,1229,1
0.09,0.09,0,0.29,0,0.09,3.19,0.09,1.69,0.99,0,0,0,0,0,0,0.078,0.334,0.133,2541,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,41,1
1.72,0,0,0,0,1.72,0.86,0,0,0,0,0,0,0,0,0,0.125,0.251,0.251,91,1
0.1,0.52,0,1.26,0,0,4.53,0,2,1.47,0,0,0,0,0,0,0.028,0.141,3.305,1016,1
0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,2.631,0,15,1
0,0.32,0,0.64,0.64,0.32,2.27,0,3.24,0.32,0,0,0,0,0,0,0.156,0,0.156,157,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0.191,0.383,79,1
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,1
0.29,0.64,0,0.17,0.11,0.05,3.93,0,2.05,0.29,0,0,0,0,0,0,0.133,0.492,0.338,1460,1
0.54,0,0,0,1.08,2.17,3.26,0,1.08,0,0,0,0,0,0,0,0,0.334,0,53,1
0,0,0,0,0.9,0,1.81,0,2.72,0.9,0,0,0,0,0,0,0,0.546,0,62,1
0,0,0,0,0.79,0,2.37,0,2.76,0.79,0,0,0,0,0,0,0.061,0.612,0.183,75,1
0,0,0,0,0,1.43,4.31,0,1.43,0.71,0,0,0,0,0,0,0.265,0.132,0,72,1
0.19,0.29,0,1.07,0.19,0,3.71,0.68,1.75,0.29,0,0,0,0,0.09,0,0,0.404,0.224,870,1
0,0,0,0,2.94,0,0,1.47,4.41,0,0,0,0,1.47,0,0,0.142,0.427,0.142,277,1
0,0,0,0,0,6.52,2.17,0,2.17,0,0,0,0,0,0,0,0,1.149,0,91,1
0,0,0,0,1.94,2.91,1.94,0,1.94,1.94,0,0,0,0,0.97,0,0.13,0.52,0.13,94,1
0.3,0.75,0,0.3,0.15,0.15,0.15,0.15,0.6,0,0,0.15,0,0,0,0,0.02,0.352,0.02,1057,1
0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.7,1.05,0,0.35,0,0.35,2.46,0,1.4,0,0,0,0,0,0,0,0.056,0.897,0,350,1
0.42,0,0,0.42,0,0.42,4.2,0,0,0,0,0,0,0,0,0,0.08,0.644,0.161,111,1
0.1,0.71,0,0.51,0.2,0.1,2.15,0.41,1.84,0.3,0,0,0,0,0,0,0,0.974,0.396,1028,1
0,0.47,0.95,0,0,0.47,0,0,0.95,0.47,0,0.47,0,0,0,0,0.791,0.169,0.452,723,1
0.2,1.01,0,0.8,0.5,0.1,1.31,0.2,0.7,0.1,0,0,0,0,0,0,0.11,0.49,0.158,1351,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0.36,0,0,0,1.47,0.36,2.2,0,0.73,0,0,0,0,0,0,0,0.183,0.367,0.061,264,1
0.53,0.53,0,0.8,0.26,0,2.15,0.26,0.8,0,0,0.53,0,0,0,0,0,0,0.04,164,1
0,0.52,0,1.58,1.05,0.52,1.05,0,0.52,0,0,0,0,0,0,0,0.25,0,0,110,1
0,0.24,0,0,0.24,1.68,1.92,0,1.68,0,0,0,0,0,0,0,0,0.677,0.828,429,1
0,0.56,0,0,0,0,1.69,0,0.56,0,0,0,0,0,0,0,0.493,0.394,0,237,1
0.08,0.26,0,0.53,0.08,0.35,4.16,0.26,2.21,1.5,0,0,0,0,0,0,0.044,0.339,0.162,753,1
0,0.18,0,0.55,0.18,0,0.74,0,0.37,0,0,0.55,0,0,0,0,0.081,0,0.027,363,1
0,0,0,0,0,0,3.87,0,0.64,0,0,0,0,0,0,0,0,1.179,0.117,63,1
0,0,0,0.49,0.98,0,1.47,0,2.46,0,0,0,0,0,0,0,0.466,0,0,197,1
0.27,0.82,0,1.37,0.82,0.82,2.75,0,1.1,0.27,0,0.27,0,0,0,0,0.235,0.235,0.188,298,1
0.56,0.28,0,0,0.56,1.41,1.97,0,1.12,0,0,0,0,0,0,0,0.118,0.158,0,555,1
0.67,0.33,0,0.33,0.33,1,2.68,2.68,3.02,0.67,0,0,0,0,0,0,0.053,0.16,0,275,1
0,1.11,0,0,1.11,2.22,3.33,0,3.33,0,0,0,0,0,0,0,0.138,0.138,0.138,54,1
0,0.1,0,0.4,0.1,0.91,1.72,4.26,1.72,0.2,0,0,0,0,0,0,0.096,0.336,0.16,1426,1
